0x004069e0:0x00406a00, __cxx_global_var_init
0x00407a30:0x00407a55, __cxx_global_var_init.1_11
0x00407a60:0x00407a85, __cxx_global_var_init.2_4
0x00407a90:0x00407ab5, __cxx_global_var_init.3_2
0x00407ac0:0x00407ad3, _GLOBAL__sub_I_startup.cc
0x00407ae0:0x00407b00, __cxx_global_var_init_35
0x00407b00:0x00407b02, _GLOBAL__sub_I_cmathfunction.cc
0x00407b10:0x00407b30, __cxx_global_var_init_36
0x00407b30:0x00407b55, __cxx_global_var_init.1_12
0x00407b60:0x00407b85, __cxx_global_var_init.2_5
0x00407b90:0x00407bb5, __cxx_global_var_init.3_3
0x00407bc0:0x00407be5, __cxx_global_var_init.4_2
0x00407bf0:0x00407c08, _GLOBAL__sub_I_eventlogfilemgr.cc
0x00407c10:0x00407c30, __cxx_global_var_init_37
0x00407c30:0x00407c32, _GLOBAL__sub_I_nedtypeinfo.cc
0x00407c40:0x00407c60, __cxx_global_var_init_38
0x00407c60:0x00407c62, _GLOBAL__sub_I_cdoubleparimpl.cc
0x00407c70:0x00407c90, __cxx_global_var_init_39
0x00407c90:0x00407cb5, __cxx_global_var_init.1_13
0x00407cc0:0x00407ce5, __cxx_global_var_init.2_6
0x00407cf0:0x00407cfe, _GLOBAL__sub_I_chistogram.cc
0x00407d00:0x00407d20, __cxx_global_var_init_40
0x00407d20:0x00407d45, __cxx_global_var_init.1_14
0x00407d50:0x00407d59, _GLOBAL__sub_I_cmessageheap.cc
0x00407d60:0x00407d80, __cxx_global_var_init_41
0x00407d80:0x00407da5, __cxx_global_var_init.6_1
0x00407db0:0x00407db9, _GLOBAL__sub_I_simtime.cc
0x00407dc0:0x00407de0, __cxx_global_var_init_42
0x00407de0:0x00407de2, _GLOBAL__sub_I_cregistrationlist.cc
0x00407df0:0x00407e10, __cxx_global_var_init_43
0x00407e10:0x00407e12, _GLOBAL__sub_I_cdetect.cc
0x00407e20:0x00407e40, __cxx_global_var_init_44
0x00407e40:0x00407e42, _GLOBAL__sub_I_csimplemodule.cc
0x00407e50:0x00407e70, __cxx_global_var_init_45
0x00407e70:0x00407e95, __cxx_global_var_init.1_15
0x00407ea0:0x00407ea9, _GLOBAL__sub_I_carray.cc
0x00407eb0:0x00407ed0, __cxx_global_var_init_46
0x00407ed0:0x00407ed2, _GLOBAL__sub_I_runattributes.cc
0x00407ee0:0x00407f00, __cxx_global_var_init_47
0x00407f00:0x00407f02, _GLOBAL__sub_I_expr.tab.cc
0x00407f10:0x00407f30, __cxx_global_var_init_48
0x00407f30:0x00407f55, __cxx_global_var_init.1_16
0x00407f60:0x00407f85, __cxx_global_var_init.2_7
0x00407f90:0x00407fb5, __cxx_global_var_init.3_4
0x00407fc0:0x00407fe5, __cxx_global_var_init.4_3
0x00407ff0:0x00408015, __cxx_global_var_init.5_1
0x00408020:0x00408045, __cxx_global_var_init.6_2
0x00408050:0x00408075, __cxx_global_var_init.7_0
0x00408080:0x004080a5, __cxx_global_var_init.8_1
0x004080b0:0x004080d5, __cxx_global_var_init.9_0
0x004080e0:0x00408105, __cxx_global_var_init.10_1
0x00408110:0x00408130, __cxx_global_var_init.11_0
0x00408130:0x0040816b, _GLOBAL__sub_I_sectionbasedconfig.cc
0x00408170:0x00408190, __cxx_global_var_init_49
0x00408190:0x00408192, _GLOBAL__sub_I_ccommbuffer.cc
0x004081a0:0x004081c0, __cxx_global_var_init_50
0x004081c0:0x004081c2, _GLOBAL__sub_I_clongparimpl.cc
0x004081d0:0x004081f0, __cxx_global_var_init_51
0x004081f0:0x00408215, __cxx_global_var_init.1_17
0x00408220:0x00408229, _GLOBAL__sub_I_cmsgpar.cc
0x00408230:0x00408250, __cxx_global_var_init_52
0x00408250:0x00408275, __cxx_global_var_init.1_18
0x00408280:0x004082a5, __cxx_global_var_init.2_8
0x004082b0:0x004082be, _GLOBAL__sub_I_cnamedobject.cc
0x004082c0:0x004082e0, __cxx_global_var_init_53
0x004082e0:0x00408305, __cxx_global_var_init.1_19
0x00408310:0x00408319, _GLOBAL__sub_I_cksplit.cc
0x00408320:0x00408340, __cxx_global_var_init_54
0x00408340:0x00408342, _GLOBAL__sub_I_cxmlelement.cc
0x00408350:0x00408370, __cxx_global_var_init_55
0x00408370:0x00408372, _GLOBAL__sub_I_ned2generator.cc
0x00408380:0x004083a0, __cxx_global_var_init_56
0x004083a0:0x004083a2, _GLOBAL__sub_I_cboolparimpl.cc
0x004083b0:0x004083d0, __cxx_global_var_init_57
0x004083d0:0x004083f5, __cxx_global_var_init.1_20
0x00408400:0x00408409, _GLOBAL__sub_I_cdelaychannel.cc
0x00408410:0x00408430, __cxx_global_var_init_58
0x00408430:0x00408455, __cxx_global_var_init.1_21
0x00408460:0x00408469, _GLOBAL__sub_I_cenum.cc
0x00408470:0x00408490, __cxx_global_var_init_59
0x00408490:0x00408492, _GLOBAL__sub_I_onstartup.cc
0x004084a0:0x004084c0, __cxx_global_var_init_60
0x004084c0:0x004084e5, __cxx_global_var_init.1_22
0x004084f0:0x004084f9, _GLOBAL__sub_I_cfsm.cc
0x00408500:0x00408520, __cxx_global_var_init_61
0x00408520:0x00408522, _GLOBAL__sub_I_lex.expressionyy.cc
0x00408530:0x00408550, __cxx_global_var_init_62
0x00408550:0x00408552, _GLOBAL__sub_I_fsutils.cc
0x00408560:0x00408580, __cxx_global_var_init_63
0x00408580:0x00408582, _GLOBAL__sub_I_cdynamicmoduletype.cc
0x00408590:0x004085b0, __cxx_global_var_init_64
0x004085b0:0x004085b2, _GLOBAL__sub_I_cdensityestbase.cc
0x004085c0:0x004085e0, __cxx_global_var_init_65
0x004085e0:0x00408605, __cxx_global_var_init.1_23
0x00408610:0x00408619, _GLOBAL__sub_I_ctopology.cc
0x00408620:0x00408640, __cxx_global_var_init_66
0x00408640:0x00408665, __cxx_global_var_init.1_24
0x00408670:0x00408695, __cxx_global_var_init.2_9
0x004086a0:0x004086ae, _GLOBAL__sub_I_cnednetworkbuilder.cc
0x004086b0:0x004086d0, __cxx_global_var_init_67
0x004086d0:0x004086d2, _GLOBAL__sub_I_cproperties.cc
0x004086e0:0x00408700, __cxx_global_var_init_68
0x00408700:0x00408702, _GLOBAL__sub_I_cexception.cc
0x00408710:0x00408730, __cxx_global_var_init_69
0x00408730:0x00408732, _GLOBAL__sub_I_cxmldoccache.cc
0x00408740:0x00408760, __cxx_global_var_init_70
0x00408760:0x00408762, _GLOBAL__sub_I_cparsimcomm.cc
0x00408770:0x00408790, __cxx_global_var_init_71
0x00408790:0x004087b5, __cxx_global_var_init.1_25
0x004087c0:0x004087e2, __cxx_global_var_init.2_10
0x004087f0:0x004087fe, _GLOBAL__sub_I_cownedobject.cc
0x00408800:0x00408820, __cxx_global_var_init_72
0x00408820:0x00408822, _GLOBAL__sub_I_nedelement.cc
0x00408830:0x00408850, __cxx_global_var_init_73
0x00408850:0x00408852, _GLOBAL__sub_I_cneddeclaration.cc
0x00408860:0x00408880, __cxx_global_var_init_74
0x00408880:0x004088a5, __cxx_global_var_init.1_26
0x004088b0:0x004088ea, __cxx_global_var_init.14_0
0x004088f0:0x0040891a, __cxx_global_array_dtor
0x00408920:0x0040892e, _GLOBAL__sub_I_cdynamicexpression.cc
0x00408930:0x00408950, __cxx_global_var_init_75
0x00408950:0x00408952, _GLOBAL__sub_I_cnedfunction.cc
0x00408960:0x00408980, __cxx_global_var_init_76
0x00408980:0x004089a5, __cxx_global_var_init.1_27
0x004089b0:0x004089b9, _GLOBAL__sub_I_cproperty.cc
0x004089c0:0x004089e0, __cxx_global_var_init_77
0x004089e0:0x004089ee, __cxx_global_var_init.1_28
0x004089f0:0x00408a01, __cxx_global_var_init.2_11
0x00408a10:0x00408a23, __cxx_global_var_init.3_5
0x00408a30:0x00408a41, __cxx_global_var_init.4_4
0x00408a50:0x00408a64, __cxx_global_var_init.5_2
0x00408a70:0x00408a86, __cxx_global_var_init.6_3
0x00408a90:0x00408a9a, __cxx_global_var_init.7_1
0x00408aa0:0x00408aa5, __cxx_global_var_init.8_2
0x00408ab0:0x00408ac2, __cxx_global_var_init.22_0
0x00408ad0:0x00408ae2, __cxx_global_var_init.23_0
0x00408af0:0x00408b02, __cxx_global_var_init.24_0
0x00408b10:0x00408b4e, _GLOBAL__sub_I_bigdecimal.cc
0x00408b50:0x00408b70, __cxx_global_var_init_78
0x00408b70:0x00408b95, __cxx_global_var_init.1_29
0x00408ba0:0x00408ba9, _GLOBAL__sub_I_ccomponent.cc
0x00408bb0:0x00408bd0, __cxx_global_var_init_79
0x00408bd0:0x00408bf5, __cxx_global_var_init.1_30
0x00408c00:0x00408c09, _GLOBAL__sub_I_clinkedlist.cc
0x00408c10:0x00408c30, __cxx_global_var_init_80
0x00408c30:0x00408c32, _GLOBAL__sub_I_cnedloader.cc
0x00408c40:0x00408c60, __cxx_global_var_init_81
0x00408c60:0x00408c62, _GLOBAL__sub_I_cpar.cc
0x00408c70:0x00408c90, __cxx_global_var_init_82
0x00408c90:0x00408c92, _GLOBAL__sub_I_cclassdescriptor.cc
0x00408ca0:0x00408cc0, __cxx_global_var_init_83
0x00408cc0:0x00408cc2, _GLOBAL__sub_I_minixpath.cc
0x00408cd0:0x00408cf0, __cxx_global_var_init_84
0x00408cf0:0x00408d15, __cxx_global_var_init.1_31
0x00408d20:0x00408d29, _GLOBAL__sub_I_cstlwatch.cc
0x00408d30:0x00408d50, __cxx_global_var_init_85
0x00408d50:0x00408d75, __cxx_global_var_init.1_32
0x00408d80:0x00408da5, __cxx_global_var_init.2_12
0x00408db0:0x00408dd5, __cxx_global_var_init.3_6
0x00408de0:0x00408df3, _GLOBAL__sub_I_coutvector.cc
0x00408e00:0x00408e20, __cxx_global_var_init_86
0x00408e20:0x00408e45, __cxx_global_var_init.1_33
0x00408e50:0x00408e59, _GLOBAL__sub_I_cqueue.cc
0x00408e60:0x00408e80, __cxx_global_var_init_87
0x00408e80:0x00408ea0, __cxx_global_var_init.1_34
0x00408ea0:0x00408ea9, _GLOBAL__sub_I_ned2.tab.cc
0x00408eb0:0x00408ed0, __cxx_global_var_init_88
0x00408ed0:0x00408ed2, _GLOBAL__sub_I_cclassfactory.cc
0x00408ee0:0x00408f00, __cxx_global_var_init_89
0x00408f00:0x00408f02, _GLOBAL__sub_I_distrib.cc
0x00408f10:0x00408f30, __cxx_global_var_init_90
0x00408f30:0x00408f55, __cxx_global_var_init.1_35
0x00408f60:0x00408f85, __cxx_global_var_init.2_13
0x00408f90:0x00408fa2, __cxx_global_var_init.40
0x00408fb0:0x00408fc3, _GLOBAL__sub_I_cstddev.cc
0x00408fd0:0x00408ff0, __cxx_global_var_init_91
0x00408ff0:0x00408ff2, _GLOBAL__sub_I_cstatistic.cc
0x00409000:0x00409020, __cxx_global_var_init_92
0x00409020:0x00409022, _GLOBAL__sub_I_ccomponenttype.cc
0x00409030:0x00409050, __cxx_global_var_init_93
0x00409050:0x00409052, _GLOBAL__sub_I_cobject.cc
0x00409060:0x00409080, __cxx_global_var_init_94
0x00409080:0x004090a5, __cxx_global_var_init.1_36
0x004090b0:0x004090b9, _GLOBAL__sub_I_cchannel.cc
0x004090c0:0x004090e0, __cxx_global_var_init_95
0x004090e0:0x00409105, __cxx_global_var_init.1_37
0x00409110:0x00409135, __cxx_global_var_init.2_14
0x00409140:0x0040914e, _GLOBAL__sub_I_filesnapshotmgr.cc
0x00409150:0x00409170, __cxx_global_var_init_96
0x00409170:0x00409190, __cxx_global_var_init.1_38
0x00409190:0x00409199, _GLOBAL__sub_I_lex.ned2yy.cc
0x004091a0:0x004091c0, __cxx_global_var_init_97
0x004091c0:0x004091e5, __cxx_global_var_init.1_39
0x004091f0:0x004091f9, _GLOBAL__sub_I_cdefaultlist.cc
0x00409200:0x00409220, __cxx_global_var_init_98
0x00409220:0x00409240, __cxx_global_var_init.2_15
0x00409240:0x00409249, _GLOBAL__sub_I_util.cc
0x00409250:0x00409270, __cxx_global_var_init_99
0x00409270:0x00409295, __cxx_global_var_init.1_40
0x004092a0:0x004092c5, __cxx_global_var_init.2_16
0x004092d0:0x004092f5, __cxx_global_var_init.3_7
0x00409300:0x00409313, _GLOBAL__sub_I_cscheduler.cc
0x00409320:0x00409340, __cxx_global_var_init_100
0x00409340:0x00409365, __cxx_global_var_init.1_41
0x00409370:0x00409395, __cxx_global_var_init.2_17
0x004093a0:0x004093c5, __cxx_global_var_init.3_8
0x004093d0:0x004093f5, __cxx_global_var_init.4_5
0x00409400:0x00409425, __cxx_global_var_init.5_3
0x00409430:0x00409455, __cxx_global_var_init.6_4
0x00409460:0x00409485, __cxx_global_var_init.7_2
0x00409490:0x004094b5, __cxx_global_var_init.8_3
0x004094c0:0x004094e5, __cxx_global_var_init.9_1
0x004094f0:0x00409515, __cxx_global_var_init.10_2
0x00409520:0x00409545, __cxx_global_var_init.11_1
0x00409550:0x00409575, __cxx_global_var_init.12_0
0x00409580:0x004095a5, __cxx_global_var_init.13_0
0x004095b0:0x004095d5, __cxx_global_var_init.14_1
0x004095e0:0x00409605, __cxx_global_var_init.15_0
0x00409610:0x00409635, __cxx_global_var_init.16_0
0x00409640:0x00409665, __cxx_global_var_init.17_0
0x00409670:0x00409695, __cxx_global_var_init.18_0
0x004096a0:0x004096c5, __cxx_global_var_init.19_0
0x004096d0:0x004096f0, __cxx_global_var_init.20_0
0x004096f0:0x00409715, __cxx_global_var_init.21_0
0x00409720:0x00409745, __cxx_global_var_init.22_1
0x00409750:0x00409775, __cxx_global_var_init.23_1
0x00409780:0x004097a5, __cxx_global_var_init.24_1
0x004097b0:0x004097d5, __cxx_global_var_init.25_0
0x004097e0:0x00409805, __cxx_global_var_init.26
0x00409810:0x00409835, __cxx_global_var_init.27_0
0x00409840:0x00409865, __cxx_global_var_init.28
0x00409870:0x00409895, __cxx_global_var_init.29
0x004098a0:0x004098c5, __cxx_global_var_init.30
0x004098d0:0x004098f5, __cxx_global_var_init.31
0x00409900:0x00409925, __cxx_global_var_init.32
0x00409930:0x00409955, __cxx_global_var_init.33
0x00409960:0x00409985, __cxx_global_var_init.34
0x00409990:0x004099b5, __cxx_global_var_init.35
0x004099c0:0x004099e5, __cxx_global_var_init.36
0x004099f0:0x00409a15, __cxx_global_var_init.37
0x00409a20:0x00409a45, __cxx_global_var_init.38
0x00409a50:0x00409a75, __cxx_global_var_init.39
0x00409a80:0x00409aa5, __cxx_global_var_init.40_0
0x00409ab0:0x00409ad5, __cxx_global_var_init.41
0x00409ae0:0x00409b05, __cxx_global_var_init.42
0x00409b10:0x00409b35, __cxx_global_var_init.43
0x00409b40:0x00409b65, __cxx_global_var_init.44
0x00409b70:0x00409b95, __cxx_global_var_init.45
0x00409ba0:0x00409bc5, __cxx_global_var_init.46
0x00409bd0:0x00409bf5, __cxx_global_var_init.47
0x00409c00:0x00409c25, __cxx_global_var_init.48
0x00409c30:0x00409c55, __cxx_global_var_init.49
0x00409c60:0x00409c85, __cxx_global_var_init.50
0x00409c90:0x00409cb5, __cxx_global_var_init.51
0x00409cc0:0x00409ce5, __cxx_global_var_init.52
0x00409cf0:0x00409d15, __cxx_global_var_init.53
0x00409d20:0x00409d45, __cxx_global_var_init.54
0x00409d50:0x00409d75, __cxx_global_var_init.55
0x00409d80:0x00409da5, __cxx_global_var_init.56
0x00409db0:0x00409dd5, __cxx_global_var_init.57
0x00409de0:0x00409e05, __cxx_global_var_init.58
0x00409e10:0x00409e35, __cxx_global_var_init.59
0x00409e40:0x00409e65, __cxx_global_var_init.60
0x00409e70:0x00409e95, __cxx_global_var_init.61
0x00409ea0:0x00409ec5, __cxx_global_var_init.62
0x00409ed0:0x00409ef5, __cxx_global_var_init.63
0x00409f00:0x00409f25, __cxx_global_var_init.64
0x00409f30:0x00409f55, __cxx_global_var_init.65
0x00409f60:0x00409f85, __cxx_global_var_init.66
0x00409f90:0x00409fb5, __cxx_global_var_init.67
0x00409fc0:0x00409fe5, __cxx_global_var_init.68
0x00409ff0:0x0040a14b, _GLOBAL__sub_I_nedfunctions.cc
0x0040a150:0x0040a170, __cxx_global_var_init_101
0x0040a170:0x0040a195, __cxx_global_var_init.1_42
0x0040a1a0:0x0040a1c5, __cxx_global_var_init.2_18
0x0040a1d0:0x0040a1f5, __cxx_global_var_init.3_9
0x0040a200:0x0040a213, _GLOBAL__sub_I_cmersennetwister.cc
0x0040a220:0x0040a240, __cxx_global_var_init_102
0x0040a240:0x0040a265, __cxx_global_var_init.1_43
0x0040a270:0x0040a295, __cxx_global_var_init.2_19
0x0040a2a0:0x0040a2c5, __cxx_global_var_init.8_4
0x0040a2d0:0x0040a2f5, __cxx_global_var_init.26_0
0x0040a300:0x0040a325, __cxx_global_var_init.32_0
0x0040a330:0x0040a355, __cxx_global_var_init.36_0
0x0040a360:0x0040a385, __cxx_global_var_init.38_0
0x0040a390:0x0040a3b5, __cxx_global_var_init.45_0
0x0040a3c0:0x0040a3e5, __cxx_global_var_init.52_0
0x0040a3f0:0x0040a415, __cxx_global_var_init.59_0
0x0040a420:0x0040a445, __cxx_global_var_init.64_0
0x0040a450:0x0040a475, __cxx_global_var_init.80
0x0040a480:0x0040a4a5, __cxx_global_var_init.84
0x0040a4b0:0x0040a4d5, __cxx_global_var_init.86
0x0040a4e0:0x0040a505, __cxx_global_var_init.88
0x0040a510:0x0040a535, __cxx_global_var_init.95
0x0040a540:0x0040a565, __cxx_global_var_init.114
0x0040a570:0x0040a595, __cxx_global_var_init.126
0x0040a5a0:0x0040a5c5, __cxx_global_var_init.128
0x0040a5d0:0x0040a5f5, __cxx_global_var_init.129
0x0040a600:0x0040a625, __cxx_global_var_init.133
0x0040a630:0x0040a655, __cxx_global_var_init.135
0x0040a660:0x0040a685, __cxx_global_var_init.138
0x0040a690:0x0040a6b5, __cxx_global_var_init.169
0x0040a6c0:0x0040a6e5, __cxx_global_var_init.174
0x0040a6f0:0x0040a715, __cxx_global_var_init.219
0x0040a720:0x0040a745, __cxx_global_var_init.235
0x0040a750:0x0040a775, __cxx_global_var_init.256
0x0040a780:0x0040a7a5, __cxx_global_var_init.258
0x0040a7b0:0x0040a7d5, __cxx_global_var_init.260
0x0040a7e0:0x0040a805, __cxx_global_var_init.276
0x0040a810:0x0040a835, __cxx_global_var_init.278
0x0040a840:0x0040a865, __cxx_global_var_init.280
0x0040a870:0x0040a895, __cxx_global_var_init.282
0x0040a8a0:0x0040a8c5, __cxx_global_var_init.284
0x0040a8d0:0x0040a8f5, __cxx_global_var_init.286
0x0040a900:0x0040a925, __cxx_global_var_init.288
0x0040a930:0x0040a955, __cxx_global_var_init.290
0x0040a960:0x0040a985, __cxx_global_var_init.292
0x0040a990:0x0040a9b5, __cxx_global_var_init.294
0x0040a9c0:0x0040a9e5, __cxx_global_var_init.296
0x0040a9f0:0x0040aa15, __cxx_global_var_init.298
0x0040aa20:0x0040aa45, __cxx_global_var_init.300
0x0040aa50:0x0040aa75, __cxx_global_var_init.306
0x0040aa80:0x0040aaa5, __cxx_global_var_init.313
0x0040aab0:0x0040aad5, __cxx_global_var_init.324
0x0040aae0:0x0040ab05, __cxx_global_var_init.333
0x0040ab10:0x0040ab35, __cxx_global_var_init.347
0x0040ab40:0x0040ab65, __cxx_global_var_init.353
0x0040ab70:0x0040ab95, __cxx_global_var_init.357
0x0040aba0:0x0040abc5, __cxx_global_var_init.363
0x0040abd0:0x0040abf5, __cxx_global_var_init.368
0x0040ac00:0x0040ac25, __cxx_global_var_init.372
0x0040ac30:0x0040ac55, __cxx_global_var_init.376
0x0040ac60:0x0040ac85, __cxx_global_var_init.395
0x0040ac90:0x0040acb5, __cxx_global_var_init.397
0x0040acc0:0x0040ace5, __cxx_global_var_init.399
0x0040acf0:0x0040ad15, __cxx_global_var_init.401
0x0040ad20:0x0040ad45, __cxx_global_var_init.426
0x0040ad50:0x0040ad75, __cxx_global_var_init.430
0x0040ad80:0x0040ada5, __cxx_global_var_init.437
0x0040adb0:0x0040add5, __cxx_global_var_init.438
0x0040ade0:0x0040ae05, __cxx_global_var_init.445
0x0040ae10:0x0040af52, _GLOBAL__sub_I_sim_std_m.cc
0x0040af60:0x0040af80, __cxx_global_var_init_103
0x0040af80:0x0040afa5, __cxx_global_var_init.1_44
0x0040afb0:0x0040afd5, __cxx_global_var_init.2_20
0x0040afe0:0x0040b005, __cxx_global_var_init.3_10
0x0040b010:0x0040b035, __cxx_global_var_init.4_6
0x0040b040:0x0040b065, __cxx_global_var_init.5_4
0x0040b070:0x0040b095, __cxx_global_var_init.6_5
0x0040b0a0:0x0040b0c5, __cxx_global_var_init.7_3
0x0040b0d0:0x0040b0f5, __cxx_global_var_init.8_5
0x0040b100:0x0040b125, __cxx_global_var_init.9_2
