0x00400ba0:0x00400bca, _start
0x0040b810:0x0040b870, _Z8psq_evalP7state_tP12t_eval_comps
0x0040b870:0x0040b8d4, _Z14init_psq_scoreP7state_t
0x0040b8e0:0x0040bb0e, _Z18preprocess_preparev
0x0040bb10:0x0040c695, _Z7qsearchP7state_tiiii
0x0040c6a0:0x0040c856, _ZL17search_time_checkP7state_t
0x0040c860:0x0040ef86, _Z6searchP7state_tiiiii
0x0040ef90:0x0040f465, _ZL11order_movesP7state_tPiS1_ij
0x0040f470:0x0040fd39, _ZL12history_goodP7state_tii
0x0040fd40:0x0040fd54, _Z14rootmovesearchP7state_tiiiii
0x0040fd60:0x00410bce, _Z11search_rootP7state_tiii
0x00410bd0:0x00410c43, _Z21reset_search_countersP7state_t
0x00410c50:0x00410cd9, _Z17reset_search_dataP7state_t
0x00410ce0:0x00411621, _Z5thinkP11gamestate_tP7state_t
0x00411630:0x004119dc, _Z3seeP7state_tiiii
0x004119e0:0x00411b43, main
0x00411b50:0x00411b6c, _Z8clear_ttv
0x00411b70:0x00411b88, _Z11clear_dp_ttv
0x00411b90:0x00411e6a, _Z18initialize_zobristP7state_t
0x00411e70:0x00411ee1, _Z15initialize_hashP7state_t
0x00411ef0:0x00412224, _Z7StoreTTP7state_tiiijiiii
0x00412230:0x0041243e, _Z7ProbeTTP7state_tPiiiPjS1_S1_S1_S1_i
0x00412440:0x00412499, _Z10alloc_hashv
0x004124a0:0x004124ba, _Z9free_hashv
0x004124c0:0x00412510, _Z12elo_to_depthi
0x00412510:0x00412562, _Z14elo_to_blunderi
0x00412570:0x0041259f, _Z12compact_movei
0x004125a0:0x004125ba, _Z4logLi
0x004125c0:0x004125c1, _Z14dumpsearchstatP7state_t
0x004125d0:0x00412729, _Z13allocate_timeP11gamestate_ti
0x00412730:0x00412ad6, _Z11comp_to_sanP7state_tiPc
0x00412ae0:0x00412c51, _Z13comp_to_coordP7state_tiPc
0x00412c60:0x00412eaa, _Z13display_boardP7state_ti
0x00412eb0:0x00412f91, _Z8myprintfPKcz
0x00412fa0:0x00413097, _Z9init_gameP11gamestate_tP7state_t
0x004130a0:0x004131a7, _Z18reset_piece_squareP7state_t
0x004131b0:0x004131ff, _Z7is_movePc
0x00413200:0x004132d8, _Z20extract_current_pathP7state_t
0x004132e0:0x004133f7, _Z19extract_ponder_moveP7state_t
0x00413400:0x0041343d, _Z24extract_current_bestlineP7state_t
0x00413440:0x00413615, _ZL15hash_extract_pvP7state_tiPc
0x00413620:0x00413633, _Z12stringize_pvP7state_tPc
0x00413640:0x00413899, _Z13post_thinkingP7state_tiiPci
0x004138a0:0x004138a3, _Z9rdifftimeii
0x004138b0:0x004138b3, _Z5rtimev
0x004138c0:0x00413a28, _Z16post_fh_thinkingP7state_tiiPci
0x00413a30:0x00413b87, _Z16post_fl_thinkingP7state_tiiPci
0x00413b90:0x00413f5c, _Z21post_multipv_thinkingP7state_tiii
0x00413f60:0x0041409e, _Z6rinputPciP8_IO_FILE
0x004140a0:0x004140ac, _Z8start_upv
0x004140b0:0x00414170, _Z12verify_coordP7state_tPcPi
0x00414170:0x00414353, _Z17input_causes_stopv
0x00414360:0x00414363, _Z9interruptv
0x00414370:0x004143da, _Z11reset_boardP7state_t
0x004143e0:0x004144f6, _Z15make_text_movesP11gamestate_tP7state_tPc
0x00414500:0x00414563, _Z8myrandomv
0x00414570:0x004145a8, _Z7mysrandj
0x004145b0:0x00414615, __libc_csu_init
0x00414620:0x00414622, __libc_csu_fini
