0x004022c0:0x004022f5, _GLOBAL__sub_I_userio.cpp
0x00408e10:0x00409198, _ZN3povL17bezier_subdividerEPNS_10Ray_StructEPNS_20Bicubic_Patch_StructEPA4_A4_A3_dddddiPNS_13istack_structE
0x004091a0:0x0040951b, _ZN3povL25bezier_subpatch_intersectEPNS_10Ray_StructEPNS_20Bicubic_Patch_StructEPA4_A4_A3_dddddPNS_13istack_structE
0x00409520:0x00409a1b, _ZN3povL18intersect_subpatchEPNS_20Bicubic_Patch_StructEPNS_10Ray_StructEPA3_dPdS6_S6_S6_S6_S6_S6_
0x00409a20:0x00409d97, _ZN3povL12bezier_valueEPA4_A4_A3_dddPdS4_
0x00409da0:0x0040ad59, _ZN3povL22All_Blob_IntersectionsEPNS_13Object_StructEPNS_10Ray_StructEPNS_13istack_structE
0x0040ad60:0x0040af9c, _ZN3povL11Inside_BlobEPdPNS_13Object_StructE
0x0040afa0:0x0040b27f, _ZN3povL11Blob_NormalEPdPNS_13Object_StructEPNS_10istk_entryE
0x0040b280:0x0040b405, _ZN3povL9Copy_BlobEPNS_13Object_StructE
0x0040b410:0x0040b47a, _ZN3povL14Translate_BlobEPNS_13Object_StructEPdPNS_16Transform_StructE
0x0040b480:0x0040b4ea, _ZN3povL11Rotate_BlobEPNS_13Object_StructEPdPNS_16Transform_StructE
0x0040b4f0:0x0040b55a, _ZN3povL10Scale_BlobEPNS_13Object_StructEPdPNS_16Transform_StructE
0x0040b560:0x0040b5ca, _ZN3povL14Transform_BlobEPNS_13Object_StructEPNS_16Transform_StructE
0x0040b5d0:0x0040b5d5, _ZN3povL11Invert_BlobEPNS_13Object_StructE
0x0040b5e0:0x0040b74a, _ZN3povL12Destroy_BlobEPNS_13Object_StructE
0x0040b750:0x0040b7f3, _ZN3pov11Create_BlobEv
0x0040b800:0x0040b83c, _ZN3pov24Create_Blob_List_ElementEv
0x0040b840:0x0040bde1, _ZN3pov9Make_BlobEPNS_11Blob_StructEdPNS_16Blob_List_StructEi
0x0040bdf0:0x0040be74, _ZN3pov17Test_Blob_OpacityEPNS_11Blob_StructE
0x0040be80:0x0040c35d, _ZN3pov23Determine_Blob_TexturesEPNS_11Blob_StructEPdPiPPNS_14Texture_StructES2_
0x0040c360:0x0040c3e1, _ZN3pov22Translate_Blob_ElementEPNS_19Blob_Element_StructEPd
0x0040c3f0:0x0040c42f, _ZN3pov22Transform_Blob_ElementEPNS_19Blob_Element_StructEPNS_16Transform_StructE
0x0040c430:0x0040c48a, _ZN3pov19Rotate_Blob_ElementEPNS_19Blob_Element_StructEPd
0x0040c490:0x0040c54a, _ZN3pov18Scale_Blob_ElementEPNS_19Blob_Element_StructEPd
0x0040c550:0x0040c563, _ZN3pov19Invert_Blob_ElementEPNS_19Blob_Element_StructE
0x0040c570:0x0040c93e, _ZN3pov32Create_Blob_Element_Texture_ListEPNS_11Blob_StructEPNS_16Blob_List_StructEi
0x0040c940:0x0040d267, _ZN3povL17intersect_elementEPdS0_PNS_19Blob_Element_StructEdS0_S0_
0x0040d270:0x0040d41c, _ZN3povL10insert_hitEPNS_19Blob_Element_StructEddPNS_20Blob_Interval_StructEPj
0x0040d420:0x0040d581, _ZN3povL23calculate_element_fieldEPNS_19Blob_Element_StructEPd
0x0040d590:0x0040d813, _ZN3povL14element_normalEPdS0_PNS_19Blob_Element_StructE
0x0040d820:0x0040d9b0, _ZN3povL27get_element_bounding_sphereEPNS_19Blob_Element_StructEPdS2_
0x0040d9b0:0x0040dbbf, _ZN3povL21All_Box_IntersectionsEPNS_13Object_StructEPNS_10Ray_StructEPNS_13istack_structE
0x0040dbc0:0x0040dc62, _ZN3povL10Inside_BoxEPdPNS_13Object_StructE
0x0040dc70:0x0040dd85, _ZN3povL10Box_NormalEPdPNS_13Object_StructEPNS_10istk_entryE
0x0040dd90:0x0040df53, _ZN3povL11Box_UVCoordEPdPNS_13Object_StructEPNS_10istk_entryE
0x0040df60:0x0040e054, _ZN3pov8Copy_BoxEPNS_13Object_StructE
0x0040e060:0x0040e1a6, _ZN3povL13Translate_BoxEPNS_13Object_StructEPdPNS_16Transform_StructE
0x0040e1b0:0x0040e25c, _ZN3povL10Rotate_BoxEPNS_13Object_StructEPdPNS_16Transform_StructE
0x0040e260:0x0040e417, _ZN3povL9Scale_BoxEPNS_13Object_StructEPdPNS_16Transform_StructE
0x0040e420:0x0040e4cc, _ZN3povL13Transform_BoxEPNS_13Object_StructEPNS_16Transform_StructE
0x0040e4d0:0x0040e4d5, _ZN3povL10Invert_BoxEPNS_13Object_StructE
0x0040e4e0:0x0040e500, _ZN3pov11Destroy_BoxEPNS_13Object_StructE
0x0040e500:0x0040eb4f, _ZN3pov13Intersect_BoxEPNS_10Ray_StructEPNS_16Transform_StructEPdS4_S4_S4_PiS5_
0x0040eb50:0x0040ebdc, _ZN3pov10Create_BoxEv
0x0040ebe0:0x0040ec54, _ZN3pov16Compute_Box_BBoxEPNS_10Box_StructE
0x0040ec60:0x0040ece1, _ZN3pov31Build_Bounding_Sphere_HierarchyEPPNS_19BSphere_Tree_StructEiPS2_
0x0040ecf0:0x0040f8ee, _ZN3povL14sort_and_splitEPPNS_19BSphere_Tree_StructEPS2_Piii
0x0040f8f0:0x0040f962, _ZN3pov33Destroy_Bounding_Sphere_HierarchyEPNS_19BSphere_Tree_StructE
0x0040f970:0x0040f9af, _ZN3povL13comp_elementsEPKvS1_
0x0040f9b0:0x0040f9db, _ZN3pov16Translate_CameraEPNS_13Camera_StructEPd
0x0040f9e0:0x0040fa43, _ZN3pov13Rotate_CameraEPNS_13Camera_StructEPd
0x0040fa50:0x0040fa9c, _ZN3pov16Transform_CameraEPNS_13Camera_StructEPNS_16Transform_StructE
0x0040faa0:0x0040fb03, _ZN3pov12Scale_CameraEPNS_13Camera_StructEPd
0x0040fb10:0x0040fc15, _ZN3pov13Create_CameraEv
0x0040fc20:0x0040fe13, _ZN3pov11Copy_CameraEPNS_13Camera_StructE
0x0040fe20:0x0040fe56, _ZN3pov14Destroy_CameraEPNS_13Camera_StructE
0x0040fe60:0x0041028e, _ZN3pov6chdtriEdd
0x00410290:0x004105b6, _ZN3povL4lgamEd
0x004105c0:0x00410854, _ZN3povL5igamcEdd
0x00410860:0x0041088b, _ZN3pov13Create_ColourEv
0x00410890:0x004108e3, _ZN3pov11Copy_ColourEPf
0x004108f0:0x0041090d, _ZN3pov19Create_BMap_EntriesEi
0x00410910:0x004109ce, _ZN3pov17Copy_BMap_EntriesEPNS_15Blend_Map_EntryEii
0x004109d0:0x00410a01, _ZN3pov16Create_Blend_MapEv
0x00410a10:0x00410a24, _ZN3pov14Copy_Blend_MapEPNS_16Blend_Map_StructE
0x00410a30:0x00410a69, _ZN3pov15Colour_DistanceEPfS0_
0x00410a70:0x00410abb, _ZN3pov20Colour_Distance_RGBTEPfS0_
0x00410ac0:0x00410b09, _ZN3pov10Add_ColourEPfS0_S0_
0x00410b10:0x00410b7d, _ZN3pov12Scale_ColourEPfS0_d
0x00410b80:0x00410c60, _ZN3pov11Clip_ColourEPfS0_
0x00410c60:0x00410d2f, _ZN3pov17Destroy_Blend_MapEPNS_16Blend_Map_StructE
0x00410d30:0x00410e11, _ZN3pov8RGBtoHueEPf
0x00410e20:0x00410ed1, _ZN3pov13gamma_correctEPf
0x00410ee0:0x0041108c, _ZN3pov14extract_colorsEPfPhS1_S1_S1_Pd
0x00411090:0x0041119f, _ZN3pov24extract_colors_nocorrectEPfPhS1_S1_S1_Pd
0x004111a0:0x00411237, _ZN3pov17colour2photonRgbeEPhPf
0x00411240:0x004112b2, _ZN3pov17photonRgbe2colourEPfPh
0x004112c0:0x004113b6, _ZN3pov19prepare_output_lineEPA5_f
0x004113c0:0x004113d2, _ZN3pov11ClipColorAAEPf
0x004113e0:0x00411a06, _ZN3povL22All_Cone_IntersectionsEPNS_13Object_StructEPNS_10Ray_StructEPNS_13istack_structE
0x00411a10:0x00411ae2, _ZN3povL11Inside_ConeEPdPNS_13Object_StructE
0x00411af0:0x00411bdb, _ZN3povL11Cone_NormalEPdPNS_13Object_StructEPNS_10istk_entryE
0x00411be0:0x00411d1d, _ZN3povL9Copy_ConeEPNS_13Object_StructE
0x00411d20:0x00411d80, _ZN3povL14Translate_ConeEPNS_13Object_StructEPdPNS_16Transform_StructE
0x00411d80:0x00411de0, _ZN3povL11Rotate_ConeEPNS_13Object_StructEPdPNS_16Transform_StructE
0x00411de0:0x00411e40, _ZN3povL10Scale_ConeEPNS_13Object_StructEPdPNS_16Transform_StructE
0x00411e40:0x00411e9d, _ZN3povL14Transform_ConeEPNS_13Object_StructEPNS_16Transform_StructE
0x00411ea0:0x00411ea5, _ZN3povL11Invert_ConeEPNS_13Object_StructE
0x00411eb0:0x00411ed0, _ZN3povL12Destroy_ConeEPNS_13Object_StructE
0x00411ed0:0x00411f9d, _ZN3pov11Create_ConeEv
0x00411fa0:0x00412079, _ZN3pov15Create_CylinderEv
0x00412080:0x004122c0, _ZN3pov17Compute_Cone_DataEPNS_13Object_StructE
0x004122c0:0x004123ce, _ZN3pov21Compute_Cylinder_DataEPNS_13Object_StructE
0x004123d0:0x0041241f, _ZN3pov17Compute_Cone_BBoxEPNS_11Cone_StructE
0x00412420:0x004126e2, _ZN3povL27All_CSG_Union_IntersectionsEPNS_13Object_StructEPNS_10Ray_StructEPNS_13istack_structE
0x004126f0:0x00412743, _ZN3povL16Inside_CSG_UnionEPdPNS_13Object_StructE
0x00412750:0x00412834, _ZN3povL8Copy_CSGEPNS_13Object_StructE
0x00412840:0x00412891, _ZN3povL13Translate_CSGEPNS_13Object_StructEPdPNS_16Transform_StructE
0x004128a0:0x004128f1, _ZN3povL10Rotate_CSGEPNS_13Object_StructEPdPNS_16Transform_StructE
0x00412900:0x00412951, _ZN3povL9Scale_CSGEPNS_13Object_StructEPdPNS_16Transform_StructE
0x00412960:0x004129a8, _ZN3povL13Transform_CSGEPNS_13Object_StructEPNS_16Transform_StructE
0x004129b0:0x004129ee, _ZN3povL16Invert_CSG_UnionEPNS_13Object_StructE
0x004129f0:0x00412a10, _ZN3povL11Destroy_CSGEPNS_13Object_StructE
0x00412a10:0x00412cf0, _ZN3povL27All_CSG_Merge_IntersectionsEPNS_13Object_StructEPNS_10Ray_StructEPNS_13istack_structE
0x00412cf0:0x00412ef5, _ZN3povL31All_CSG_Intersect_IntersectionsEPNS_13Object_StructEPNS_10Ray_StructEPNS_13istack_structE
0x00412f00:0x00412f50, _ZN3povL23Inside_CSG_IntersectionEPdPNS_13Object_StructE
0x00412f50:0x00412f8e, _ZN3povL23Invert_CSG_IntersectionEPNS_13Object_StructE
0x00412f90:0x00412ffe, _ZN3pov16Create_CSG_UnionEv
0x00413000:0x00413064, _ZN3pov16Create_CSG_MergeEv
0x00413070:0x004130d4, _ZN3pov23Create_CSG_IntersectionEv
0x004130e0:0x004135fd, _ZN3pov16Compute_CSG_BBoxEPNS_13Object_StructE
0x00413600:0x004137ef, _ZN3pov22Determine_CSG_TexturesEPNS_10CSG_StructEPdPiPPNS_14Texture_StructES2_
0x004137f0:0x0041387d, _ZN3povL17Find_CSG_TexturesEPNS_10CSG_StructEPdPiPPNS_14Texture_StructE
0x00413880:0x00413931, _ZN3pov11Create_DiscEv
0x00413940:0x004139c5, _ZN3pov12Compute_DiscEPNS_11Disc_StructE
0x004139d0:0x00413bb4, _ZN3povL22All_Disc_IntersectionsEPNS_13Object_StructEPNS_10Ray_StructEPNS_13istack_structE
0x00413bc0:0x00413bff, _ZN3povL11Inside_DiscEPdPNS_13Object_StructE
0x00413c00:0x00413c21, _ZN3povL11Disc_NormalEPdPNS_13Object_StructEPNS_10istk_entryE
0x00413c30:0x00413d51, _ZN3povL9Copy_DiscEPNS_13Object_StructE
0x00413d60:0x00413e5e, _ZN3povL14Translate_DiscEPNS_13Object_StructEPdPNS_16Transform_StructE
0x00413e60:0x00413f5e, _ZN3povL11Rotate_DiscEPNS_13Object_StructEPdPNS_16Transform_StructE
0x00413f60:0x0041405e, _ZN3povL10Scale_DiscEPNS_13Object_StructEPdPNS_16Transform_StructE
0x00414060:0x00414161, _ZN3povL14Transform_DiscEPNS_13Object_StructEPNS_16Transform_StructE
0x00414170:0x00414175, _ZN3povL11Invert_DiscEPNS_13Object_StructE
0x00414180:0x004141a0, _ZN3povL12Destroy_DiscEPNS_13Object_StructE
0x004141a0:0x00414230, _ZN3pov17Parse_Float_ParamEv
0x00414230:0x00414a3e, _ZN3povL13Parse_ExpressEPdPi
0x00414a40:0x00414b7e, _ZN3pov18Parse_Float_Param2EPdS0_
0x00414b80:0x00414bf2, _ZN3pov11Parse_FloatEv
0x00414c00:0x00417f8a, _ZN3povL16Parse_Num_FactorEPdPi
0x00417f90:0x00418528, _ZN3povL16Parse_Rel_FactorEPdPi
0x00418530:0x0041862b, _ZN3pov11Allow_FloatEd
0x00418630:0x00418760, _ZN3pov12Allow_VectorEPd
0x00418760:0x0041880a, _ZN3pov12Parse_VectorEPd
0x00418810:0x004188b4, _ZN3pov14Parse_Vector4DEPd
0x004188c0:0x00418961, _ZN3pov13Parse_UV_VectEPd
0x00418970:0x004189ef, _ZN3pov20Parse_Unknown_VectorEPdbPb
0x004189f0:0x00418b1f, _ZN3pov18Parse_Scale_VectorEPd
0x00418b20:0x004197fb, _ZN3pov12Parse_ColourEPf
0x00419800:0x00419b2b, _ZN3pov15Parse_Blend_MapEii
0x00419b30:0x00419f3b, _ZN3pov16Parse_Blend_ListEiPNS_16Blend_Map_StructEi
0x00419f40:0x0041a013, _ZN3pov26Parse_Item_Into_Blend_ListEi
0x0041a020:0x0041a412, _ZN3pov16Parse_Colour_MapEv
0x0041a420:0x0041a654, _ZN3pov12Parse_SplineEv
0x0041a660:0x0041a676, _ZN3pov22Init_Random_GeneratorsEv
0x0041a680:0x0041a6be, _ZN3pov25Destroy_Random_GeneratorsEv
0x0041a6c0:0x0041a74e, _ZN3pov18Parse_Signed_FloatEv
0x0041a750:0x0041b734, _ZN3povL14Parse_Rel_TermEPdPi
0x0041b740:0x0041ba7a, _ZN3povL11Parse_TraceEPd
0x0041ba80:0x0041bfd2, _ZN3povL14Parse_Num_TermEPdPi
0x0041bfe0:0x0041c135, _ZN3pov6FNCodeC2EPNS_12FunctionCodeEbPKc
0x0041c140:0x0041c237, _ZN3pov6FNCode9ParameterEv
0x0041c240:0x0041c56a, _ZN3pov6FNCode7CompileEPNS_14ExprNodeStructE
0x0041c570:0x0041c621, _ZN3pov6FNCode19compile_instructionEjjjj
0x0041c630:0x0041cad0, _ZN3pov6FNCode18compile_parametersEv
0x0041cad0:0x0041e2e1, _ZN3pov6FNCode17compile_recursiveEPNS_14ExprNodeStructE
0x0041e2f0:0x0041e355, _ZN3pov6FNCode19compile_instructionEjjjjj
0x0041e360:0x0041e4e5, _ZN3pov11FNCode_CopyEPNS_12FunctionCodeES1_
0x0041e4f0:0x0041e654, _ZN3pov13FNCode_DeleteEPNS_12FunctionCodeE
0x0041e660:0x0041e661, _ZN3pov6FNCode7SetFlagEjPc
0x0041e670:0x0041e81c, _ZN3pov6FNCode19compile_push_resultEv
0x0041e820:0x0041eb53, _ZN3pov6FNCode16compile_variableEPc
0x0041eb60:0x0041f510, _ZN3pov6FNCode14compile_memberEPc
0x0041f510:0x004203e3, _ZN3pov6FNCode12compile_callEPNS_14ExprNodeStructEjiPc
0x004203f0:0x00420566, _ZN3pov6FNCode18compile_pop_resultEj
0x00420570:0x00420987, _ZN3pov6FNCode14compile_selectEPNS_14ExprNodeStructE
0x00420990:0x0042106d, _ZN3pov6FNCode27compile_float_function_callEPNS_14ExprNodeStructEjPc
0x00421070:0x00421784, _ZN3pov6FNCode28compile_vector_function_callEPNS_14ExprNodeStructEjPc
0x00421790:0x00422129, _ZN3pov6FNCode14compile_seq_opEPNS_14ExprNodeStructEjd
0x00422130:0x004222bd, _ZN3pov6FNCode14compile_inlineEPNS_12FunctionCodeE
0x004222c0:0x00422401, _ZN3pov12f_algbr_cyl1EPdj
0x00422410:0x00422560, _ZN3pov12f_algbr_cyl2EPdj
0x00422560:0x004226a8, _ZN3pov12f_algbr_cyl3EPdj
0x004226b0:0x00422811, _ZN3pov12f_algbr_cyl4EPdj
0x00422820:0x00422881, _ZN3pov8f_bicornEPdj
0x00422890:0x004228f7, _ZN3pov9f_bifoliaEPdj
0x00422900:0x0042298a, _ZN3pov6f_blobEPdj
0x00422990:0x00422a20, _ZN3pov7f_blob2EPdj
0x00422a20:0x00422b45, _ZN3pov13f_boy_surfaceEPdj
0x00422b50:0x00422cb6, _ZN3pov7f_commaEPdj
0x00422cc0:0x00422dbc, _ZN3pov18f_cross_ellipsoidsEPdj
0x00422dc0:0x00422df4, _ZN3pov16f_crossed_troughEPdj
0x00422e00:0x00422e4e, _ZN3pov14f_cubic_saddleEPdj
0x00422e50:0x00422f00, _ZN3pov9f_cushionEPdj
0x00422f00:0x00422f85, _ZN3pov14f_devils_curveEPdj
0x00422f90:0x004230de, _ZN3pov17f_devils_curve_2dEPdj
0x004230e0:0x0042327b, _ZN3pov14f_dupin_cyclidEPdj
0x00423280:0x004232d7, _ZN3pov11f_ellipsoidEPdj
0x004232e0:0x004233c9, _ZN3pov9f_enneperEPdj
0x004233d0:0x004234aa, _ZN3pov14f_flange_coverEPdj
0x004234b0:0x0042351d, _ZN3pov16f_folium_surfaceEPdj
0x00423520:0x00423687, _ZN3pov19f_folium_surface_2dEPdj
0x00423690:0x004236ea, _ZN3pov6f_globEPdj
0x004236f0:0x00423784, _ZN3pov7f_heartEPdj
0x00423790:0x00423972, _ZN3pov15f_helical_torusEPdj
0x00423980:0x00423b91, _ZN3pov8f_helix1EPdj
0x00423ba0:0x00423cd8, _ZN3pov8f_helix2EPdj
0x00423ce0:0x00423df4, _ZN3pov7f_hex_xEPdj
0x00423e00:0x00423f1e, _ZN3pov7f_hex_yEPdj
0x00423f20:0x00424109, _ZN3pov11f_hetero_mfEPdj
0x00424110:0x004241b8, _ZN3pov14f_hunt_surfaceEPdj
0x004241c0:0x0042428b, _ZN3pov18f_hyperbolic_torusEPdj
0x00424290:0x00424390, _ZN3pov18f_isect_ellipsoidsEPdj
0x00424390:0x00424408, _ZN3pov20f_kampyle_of_eudoxusEPdj
0x00424410:0x0042456f, _ZN3pov23f_kampyle_of_eudoxus_2dEPdj
0x00424570:0x0042460c, _ZN3pov14f_klein_bottleEPdj
0x00424610:0x004246a2, _ZN3pov19f_kummer_surface_v1EPdj
0x004246b0:0x00424769, _ZN3pov19f_kummer_surface_v2EPdj
0x00424770:0x004247ca, _ZN3pov22f_lemniscate_of_geronoEPdj
0x004247d0:0x00424933, _ZN3pov25f_lemniscate_of_gerono_2dEPdj
0x00424940:0x00424cc7, _ZN3pov7f_mesh1EPdj
0x00424cd0:0x00424d50, _ZN3pov7f_mitreEPdj
0x00424d50:0x00424db8, _ZN3pov13f_nodal_cubicEPdj
0x00424dc0:0x00424e7a, _ZN3pov5f_oddEPdj
0x00424e80:0x00424f05, _ZN3pov18f_ovals_of_cassiniEPdj
0x00424f10:0x00424f5d, _ZN3pov12f_paraboloidEPdj
0x00424f60:0x00425019, _ZN3pov17f_parabolic_torusEPdj
0x00425020:0x00425059, _ZN3pov4f_phEPdj
0x00425060:0x004250b1, _ZN3pov8f_pillowEPdj
0x004250c0:0x00425126, _ZN3pov10f_piriformEPdj
0x00425130:0x00425291, _ZN3pov13f_piriform_2dEPdj
0x004252a0:0x00425329, _ZN3pov7f_poly4EPdj
0x00425330:0x00425484, _ZN3pov11f_polytubesEPdj
0x00425490:0x00425583, _ZN3pov9f_quantumEPdj
0x00425590:0x004255e3, _ZN3pov20f_quartic_paraboloidEPdj
0x004255f0:0x00425643, _ZN3pov16f_quartic_saddleEPdj
0x00425650:0x004256c7, _ZN3pov18f_quartic_cylinderEPdj
0x004256d0:0x00425703, _ZN3pov3f_rEPdj
0x00425710:0x004259aa, _ZN3pov7f_ridgeEPdj
0x004259b0:0x00425c03, _ZN3pov11f_ridged_mfEPdj
0x00425c10:0x00425d2d, _ZN3pov13f_rounded_boxEPdj
0x00425d30:0x00425d80, _ZN3pov8f_sphereEPdj
0x00425d80:0x00425e96, _ZN3pov8f_spikesEPdj
0x00425ea0:0x00425f28, _ZN3pov11f_spikes_2dEPdj
0x00425f30:0x004260f5, _ZN3pov8f_spiralEPdj
0x00426100:0x00426176, _ZN3pov16f_steiners_romanEPdj
0x00426180:0x004261fd, _ZN3pov11f_strophoidEPdj
0x00426200:0x00426368, _ZN3pov14f_strophoid_2dEPdj
0x00426370:0x0042642f, _ZN3pov16f_superellipsoidEPdj
0x00426430:0x0042643e, _ZN3pov4f_thEPdj
0x00426440:0x004264bc, _ZN3pov7f_torusEPdj
0x004264c0:0x004265a0, _ZN3pov8f_torus2EPdj
0x004265a0:0x00426632, _ZN3pov15f_torus_gumdropEPdj
0x00426640:0x0042668d, _ZN3pov10f_umbrellaEPdj
0x00426690:0x004266f2, _ZN3pov17f_witch_of_agnesiEPdj
0x00426700:0x00426848, _ZN3pov20f_witch_of_agnesi_2dEPdj
0x00426850:0x00426875, _ZN3pov9f_noise3dEPdj
0x00426880:0x004268de, _ZN3pov9f_patternEPdj
0x004268e0:0x0042691e, _ZN3pov17f_noise_generatorEPdj
0x00426920:0x004269f5, _ZN3pov9f_pigmentEPdjj
0x00426a00:0x00426a8b, _ZN3pov11f_transformEPdjj
