0x00400ba0:0x00400bca, _start
0x0040a570:0x0040a5d4, _Z14init_psq_scoreP7state_t
0x0040a5e0:0x0040a6e5, _Z18preprocess_preparev
0x0040a6f0:0x0040b26f, _Z7qsearchP7state_tiiii
0x0040b270:0x0040b42c, _ZL17search_time_checkP7state_t
0x0040b430:0x0040d6f8, _Z6searchP7state_tiiiii
0x0040d700:0x0040db6a, _ZL11order_movesP7state_tPiS1_ij
0x0040db70:0x0040e0f9, _ZL12history_goodP7state_tii
0x0040e100:0x0040e114, _Z14rootmovesearchP7state_tiiiii
0x0040e120:0x0040ef3e, _Z11search_rootP7state_tiii
0x0040ef40:0x0040efb3, _Z21reset_search_countersP7state_t
0x0040efc0:0x0040f049, _Z17reset_search_dataP7state_t
0x0040f050:0x0040f96b, _Z5thinkP11gamestate_tP7state_t
0x0040f970:0x0040fccd, _Z3seeP7state_tiiii
0x0040fcd0:0x0040fe33, main
0x0040fe40:0x0040fe5c, _Z8clear_ttv
0x0040fe60:0x0040fe78, _Z11clear_dp_ttv
0x0040fe80:0x0040ff10, _Z18initialize_zobristP7state_t
0x0040ff10:0x0040ff81, _Z15initialize_hashP7state_t
0x0040ff90:0x004102c4, _Z7StoreTTP7state_tiiijiiii
0x004102d0:0x004104c2, _Z7ProbeTTP7state_tPiiiPjS1_S1_S1_S1_i
0x004104d0:0x00410529, _Z10alloc_hashv
0x00410530:0x0041054a, _Z9free_hashv
0x00410550:0x004105a0, _Z12elo_to_depthi
0x004105a0:0x004105f2, _Z14elo_to_blunderi
0x00410600:0x0041062f, _Z12compact_movei
0x00410630:0x0041064a, _Z4logLi
0x00410650:0x00410651, _Z14dumpsearchstatP7state_t
0x00410660:0x0041079c, _Z13allocate_timeP11gamestate_ti
0x004107a0:0x00410b46, _Z11comp_to_sanP7state_tiPc
0x00410b50:0x00410cc1, _Z13comp_to_coordP7state_tiPc
0x00410cd0:0x00410f1a, _Z13display_boardP7state_ti
0x00410f20:0x00411001, _Z8myprintfPKcz
0x00411010:0x00411107, _Z9init_gameP11gamestate_tP7state_t
0x00411110:0x00411217, _Z18reset_piece_squareP7state_t
0x00411220:0x0041126f, _Z7is_movePc
0x00411270:0x00411348, _Z20extract_current_pathP7state_t
0x00411350:0x00411467, _Z19extract_ponder_moveP7state_t
0x00411470:0x004114ad, _Z24extract_current_bestlineP7state_t
0x004114b0:0x00411685, _ZL15hash_extract_pvP7state_tiPc
0x00411690:0x004116a3, _Z12stringize_pvP7state_tPc
0x004116b0:0x004118fc, _Z13post_thinkingP7state_tiiPci
0x00411900:0x00411903, _Z9rdifftimeii
0x00411910:0x00411913, _Z5rtimev
0x00411920:0x00411a88, _Z16post_fh_thinkingP7state_tiiPci
0x00411a90:0x00411be7, _Z16post_fl_thinkingP7state_tiiPci
0x00411bf0:0x00411fbc, _Z21post_multipv_thinkingP7state_tiii
0x00411fc0:0x004120fe, _Z6rinputPciP8_IO_FILE
0x00412100:0x0041210c, _Z8start_upv
0x00412110:0x004121d0, _Z12verify_coordP7state_tPcPi
0x004121d0:0x004123b3, _Z17input_causes_stopv
0x004123c0:0x004123c3, _Z9interruptv
0x004123d0:0x0041243a, _Z11reset_boardP7state_t
0x00412440:0x00412556, _Z15make_text_movesP11gamestate_tP7state_tPc
0x00412560:0x004125c3, _Z8myrandomv
0x004125d0:0x00412608, _Z7mysrandj
0x00412610:0x00412675, __libc_csu_init
0x00412680:0x00412682, __libc_csu_fini
