0x004017a0:0x004017c3, initres
0x0042c070:0x0042c09b, rt_errormsg
0x0042c0a0:0x0042c0ce, rt_errormsg_s
0x0042c0d0:0x0042c101, rt_errormsg_2s
0x0042c110:0x0042c13d, rt_errormsg_d
0x0042c140:0x0042c38b, chirvol
0x0042c390:0x0042c3d2, spec_srand
0x0042c3e0:0x0042c422, spec_init_genrand
0x0042c430:0x0042c56c, spec_init_by_array
0x0042c570:0x0042c6fd, spec_genrand_int32
0x0042c700:0x0042c709, spec_lrand48
0x0042c710:0x0042c752, spec_rand
0x0042c760:0x0042c769, spec_genrand_int31
0x0042c770:0x0042c7b2, spec_genrand_real1
0x0042c7c0:0x0042c802, spec_genrand_real2
0x0042c810:0x0042c853, spec_genrand_real3
0x0042c860:0x0042c89c, spec_genrand_res53
0x0042c8a0:0x0042c90d, othercase
0x0042c910:0x0042cac4, p_b_symbol
0x0042cad0:0x0042cd47, doinsert
0x0042cd50:0x0042d63a, repeat
0x0042d640:0x0042e3ea, p_bracket
0x0042e3f0:0x0042e565, ordinary
0x0042e570:0x004304a0, p_ere
0x004304a0:0x004318a9, p_bre
0x004318b0:0x00432050, regcomp
0x00432050:0x00432285, regerror
0x00432290:0x00432944, sbackref
0x00432950:0x00433004, lbackref
0x00433010:0x00433416, sstep
0x00433420:0x004337bf, lstep
0x004337c0:0x00433c3f, lslow
0x00433c40:0x0043403b, ldissect
0x00434040:0x00434888, sslow
0x00434890:0x00434c43, sdissect
0x00434c50:0x00436283, regexec
0x00436290:0x00436305, regfree
0x00436310:0x00436375, __libc_csu_init
0x00436380:0x00436382, __libc_csu_fini
