0x004016a0:0x004016ca, _start
0x0040c170:0x0040c2f8, x264_frame_expand_border_filtered
0x0040c300:0x0040c354, x264_frame_expand_border_lowres
0x0040c360:0x0040c4a9, x264_frame_expand_border_mod16
0x0040c4b0:0x0040c4b7, x264_frame_cond_broadcast
0x0040c4c0:0x0040c4d3, x264_frame_cond_wait
0x0040c4e0:0x0040c503, x264_frame_push
0x0040c510:0x0040c53b, x264_frame_pop
0x0040c540:0x0040c589, x264_frame_unshift
0x0040c590:0x0040c5b1, x264_frame_shift
0x0040c5c0:0x0040c5db, x264_frame_push_unused
0x0040c5e0:0x0040c670, x264_frame_pop_unused
0x0040c670:0x0040c686, x264_frame_push_blank_unused
0x0040c690:0x0040c6d1, x264_frame_pop_blank_unused
0x0040c6e0:0x0040c745, x264_frame_sort
0x0040c750:0x0040c813, x264_weight_scale_plane
0x0040c820:0x0040c868, x264_frame_delete_list
0x0040c870:0x0040c8bb, x264_synch_frame_list_init
0x0040c8c0:0x0040c8c8, x264_synch_frame_list_delete
0x0040c8d0:0x0040c8f2, x264_synch_frame_list_push
0x0040c900:0x0040c978, x264_dct_init
0x0040c980:0x0040ca53, sub4x4_dct
0x0040ca60:0x0040cb9c, add4x4_idct
0x0040cba0:0x0040cbfa, sub8x8_dct
0x0040cc00:0x0040cc89, sub8x8_dct_dc
0x0040cc90:0x0040ccd9, add8x8_idct
0x0040cce0:0x0040cd2d, add8x8_idct_dc
0x0040cd30:0x0040cd99, sub16x16_dct
0x0040cda0:0x0040cdf2, add16x16_idct
0x0040ce00:0x0040ce5d, add16x16_idct_dc
0x0040ce60:0x0040d0bf, sub8x8_dct8
0x0040d0c0:0x0040d3f1, add8x8_idct8
0x0040d400:0x0040d469, sub16x16_dct8
0x0040d470:0x0040d4c2, add16x16_idct8
0x0040d4d0:0x0040d59c, dct4x4dc
0x0040d5a0:0x0040d65f, idct4x4dc
0x0040d660:0x0040d6e8, x264_dct_init_weights
0x0040d6f0:0x0040d757, x264_zigzag_init
0x0040d760:0x0040d95f, zigzag_scan_8x8_field
0x0040d960:0x0040d99b, zigzag_scan_4x4_field
0x0040d9a0:0x0040de83, zigzag_sub_8x8_field
0x0040de90:0x0040dfdb, zigzag_sub_4x4_field
0x0040dfe0:0x0040e12c, zigzag_sub_4x4ac_field
0x0040e130:0x0040e32f, zigzag_scan_8x8_frame
0x0040e330:0x0040e3af, zigzag_scan_4x4_frame
0x0040e3b0:0x0040e893, zigzag_sub_8x8_frame
0x0040e8a0:0x0040e9eb, zigzag_sub_4x4_frame
0x0040e9f0:0x0040eb3c, zigzag_sub_4x4ac_frame
0x0040eb40:0x0040eba4, zigzag_interleave_8x8_cavlc
0x0040ebb0:0x0040ebff, pixel_sub_wxh
0x0040ec00:0x0040ec10, x264_clip_uint8_1
0x0040ec10:0x0040ec9f, sub4x4_dct_dc
0x0040eca0:0x0040ed13, add4x4_idct_dc
0x0040ed20:0x0040ed23, x264_cpu_detect
0x0040ed30:0x0040ed36, x264_cpu_num_processors
0x0040ed40:0x0040edca, x264_cabac_context_init
0x0040edd0:0x0040ede6, x264_clip3_0
0x0040edf0:0x0040edfd, x264_cabac_encode_init_core
0x0040ee00:0x0040ee25, x264_cabac_encode_init
0x0040ee30:0x0040ee7a, x264_cabac_encode_decision_c
0x0040ee80:0x0040ee9e, x264_cabac_encode_renorm
0x0040eea0:0x0040eeb2, x264_cabac_encode_bypass_c
0x0040eec0:0x0040ef3d, x264_cabac_putbyte
0x0040ef40:0x0040efd7, x264_cabac_encode_ue_bypass
0x0040efe0:0x0040efe9, x264_cabac_encode_terminal_c
0x0040eff0:0x0040f085, x264_cabac_encode_flush
0x0040f090:0x0040f0ee, spec_strdup
0x0040f0f0:0x0040f387, x264_param_default
0x0040f390:0x0040f3dd, x264_log_default
0x0040f3e0:0x0040f42a, x264_param_default_preset
0x0040f430:0x0040f76f, x264_param_apply_preset
0x0040f770:0x0040fb3c, x264_param_apply_tune
0x0040fb40:0x0040fb98, x264_param_apply_fastfirstpass
0x0040fba0:0x0040fcbd, x264_param_apply_profile
0x0040fcc0:0x0040fd9f, x264_log
0x0040fda0:0x00411b64, x264_param_parse
0x00411b70:0x00411c05, x264_atobool
0x00411c10:0x00411c41, x264_atoi
0x00411c50:0x00411c7f, x264_atof
0x00411c80:0x00411cde, parse_enum
0x00411ce0:0x00411d9c, parse_cqm
0x00411da0:0x00411db3, x264_clip3_1
0x00411dc0:0x00411e4f, x264_picture_alloc
0x00411e50:0x00411ea0, x264_malloc
0x00411ea0:0x00411ed4, x264_picture_clean
0x00411ee0:0x00411eef, x264_free
0x00411ef0:0x00411f9b, x264_nal_encode
0x00411fa0:0x00411fe7, x264_reduce_fraction
0x00411ff0:0x004120db, x264_slurp_file
0x004120e0:0x0041286e, x264_param2string
0x00412870:0x00412876, x264_mdate
0x00412880:0x00412896, x264_macroblock_cache_mv_4_4
0x004128a0:0x00412999, x264_macroblock_cache_rect_0
0x004129a0:0x004129b9, x264_macroblock_cache_mv_2_4
0x004129c0:0x004129d9, x264_macroblock_cache_mv_4_2
0x004129e0:0x004129f9, x264_macroblock_cache_mv_2_2
0x00412a00:0x00412a19, x264_macroblock_cache_mv_2_1
0x00412a20:0x00412a39, x264_macroblock_cache_mv_1_2
0x00412a40:0x00412a59, x264_macroblock_cache_mv_1_1
0x00412a60:0x00412a79, x264_macroblock_cache_mvd_4_4
0x00412a80:0x00412a99, x264_macroblock_cache_mvd_2_4
0x00412aa0:0x00412ab9, x264_macroblock_cache_mvd_4_2
0x00412ac0:0x00412ad9, x264_macroblock_cache_mvd_2_2
0x00412ae0:0x00412af9, x264_macroblock_cache_mvd_2_1
0x00412b00:0x00412b19, x264_macroblock_cache_mvd_1_2
0x00412b20:0x00412b39, x264_macroblock_cache_mvd_1_1
0x00412b40:0x00412b59, x264_macroblock_cache_ref_4_4
0x00412b60:0x00412b79, x264_macroblock_cache_ref_2_4
0x00412b80:0x00412b99, x264_macroblock_cache_ref_4_2
0x00412ba0:0x00412bb9, x264_macroblock_cache_ref_2_2
0x00412bc0:0x00412bd9, x264_macroblock_cache_ref_2_1
0x00412be0:0x00412bf9, x264_macroblock_cache_ref_1_2
0x00412c00:0x00412c19, x264_macroblock_cache_ref_1_1
0x00412c20:0x0041353f, x264_cqm_init
0x00413540:0x004136b2, x264_cqm_delete
0x004136c0:0x00413845, x264_cqm_parse_file
0x00413850:0x004139db, x264_cqm_parse_jmlist
0x004139e0:0x00413aa8, x264_quant_init
0x00413ab0:0x00413b21, quant_8x8
0x00413b30:0x00413b8b, quant_4x4
0x00413b90:0x00413be9, quant_4x4_dc
0x00413bf0:0x00413c94, quant_2x2_dc
0x00413ca0:0x00413d5e, dequant_4x4
0x00413d60:0x00413e1c, dequant_4x4_dc
0x00413e20:0x00413ee7, dequant_8x8
0x00413ef0:0x00413f4b, x264_denoise_dct
0x00413f50:0x00413f5e, x264_decimate_score15
0x00413f60:0x00413f6a, x264_decimate_score16
0x00413f70:0x00413f7a, x264_decimate_score64
0x00413f80:0x00413f8a, x264_coeff_last4
0x00413f90:0x00413f9a, x264_coeff_last15
0x00413fa0:0x00413faa, x264_coeff_last16
0x00413fb0:0x00413fba, x264_coeff_last64
0x00413fc0:0x00414069, x264_coeff_level_run4
0x00414070:0x00414119, x264_coeff_level_run15
0x00414120:0x004141c9, x264_coeff_level_run16
0x004141d0:0x004142aa, x264_decimate_score_internal
0x004142b0:0x004142f6, x264_coeff_last_internal
0x00414300:0x00414bc1, x264_frame_deblock_row
0x00414bd0:0x00414c7c, munge_cavlc_nnz
0x00414c80:0x00414d55, munge_cavlc_nnz_row
0x00414d60:0x00414df9, deblock_edge_intra
0x00414e00:0x00414eee, deblock_edge
0x00414ef0:0x00414f48, restore_cavlc_nnz_row
0x00414f50:0x00414f98, x264_deblock_init
0x00414fa0:0x00414fb4, deblock_v_luma_c
0x00414fc0:0x00414fd6, deblock_h_luma_c
0x00414fe0:0x00414ff4, deblock_v_chroma_c
0x00415000:0x00415016, deblock_h_chroma_c
0x00415020:0x00415031, deblock_v_luma_intra_c
0x00415040:0x00415053, deblock_h_luma_intra_c
0x00415060:0x00415071, deblock_v_chroma_intra_c
0x00415080:0x00415093, deblock_h_chroma_intra_c
0x004150a0:0x004152c5, deblock_strength_c
0x004152d0:0x00415527, deblock_luma_c
0x00415530:0x0041553d, x264_clip3_2
0x00415540:0x00415550, x264_clip_uint8_2
0x00415550:0x004156db, deblock_chroma_c
0x004156e0:0x004158f7, deblock_luma_intra_c
0x00415900:0x004159a1, deblock_chroma_intra_c
0x004159b0:0x00415b20, x264_init_vlc_tables
0x00415b20:0x00415c56, x264_mb_predict_mv
0x00415c60:0x00415cae, x264_median_mv
0x00415cb0:0x00415d78, x264_mb_predict_mv_16x16
0x00415d80:0x00415dc0, x264_mb_predict_mv_pskip
0x00415dc0:0x00415fd6, x264_mb_predict_mv_direct16x16
0x00415fe0:0x00416466, x264_mb_predict_mv_direct16x16_spatial
0x00416470:0x00416782, x264_mb_predict_mv_direct16x16_temporal
0x00416790:0x00416a83, x264_mb_predict_mv_ref16x16
0x00416a90:0x00416ab9, x264_median
0x00416ac0:0x00416af2, x264_macroblock_cache_ref
0x00416b00:0x00416b3b, x264_macroblock_cache_mv
0x00416b40:0x00416c39, x264_macroblock_cache_rect_1
0x00416c40:0x00416c49, pack16to32_mask
0x00416c50:0x00416dea, x264_rd_cost_part
0x00416df0:0x00416eb2, x264_rd_cost_mb
0x00416ec0:0x00416f9f, x264_rd_cost_subpart
0x00416fa0:0x004170fe, ssd_plane
0x00417100:0x0041758f, x264_partition_size_cabac
0x00417590:0x004177e2, x264_partition_size_cavlc
0x004177f0:0x0041791a, x264_rdo_init
0x00417920:0x00417938, x264_cabac_size_decision2
0x00417940:0x004179cd, x264_quant_dc_trellis
0x004179d0:0x00418359, quant_trellis_cabac
0x00418360:0x004183f3, x264_quant_4x4_trellis
0x00418400:0x00418468, x264_quant_8x8_trellis
0x00418470:0x00418667, x264_analyse_init_costs
0x00418670:0x00418685, bs_size_te
0x00418690:0x0041871b, x264_analyse_free_costs
0x00418720:0x00418883, x264_analyse_weight_frame
0x00418890:0x0041a5be, x264_macroblock_analyse
0x0041a5c0:0x0041ab71, x264_mb_analyse_init
0x0041ab80:0x0041abec, x264_mb_init_fenc_cache
0x0041abf0:0x0041b5be, x264_mb_analyse_intra
0x0041b5c0:0x0041b68f, x264_intra_rd
0x0041b690:0x0041bdac, x264_intra_rd_refine
0x0041bdb0:0x0041be78, x264_mb_analyse_init_qp
0x0041be80:0x0041bef7, x264_mb_analyse_load_costs
0x0041bf00:0x0041c2bb, x264_mb_analyse_inter_p16x16
0x0041c2c0:0x0041c81e, x264_mb_analyse_inter_p8x8_mixed_ref
0x0041c820:0x0041cb97, x264_mb_analyse_inter_p8x8
0x0041cba0:0x0041ceb4, x264_mb_analyse_inter_p4x4
0x0041cec0:0x0041d171, x264_mb_analyse_inter_p8x4
0x0041d180:0x0041d486, x264_mb_analyse_inter_p4x8
0x0041d490:0x0041d659, x264_mb_cache_mv_p8x8
0x0041d660:0x0041da55, x264_mb_analyse_inter_p16x8
0x0041da60:0x0041de1e, x264_mb_analyse_inter_p8x16
0x0041de20:0x0041e0a9, x264_mb_analyse_intra_chroma
0x0041e0b0:0x0041e3eb, x264_mb_analyse_p_rd
0x0041e3f0:0x0041e46c, x264_mb_analyse_transform_rd
0x0041e470:0x0041eaed, x264_analyse_update_cache
0x0041eaf0:0x0041eb25, x264_macroblock_cache_ref_0
0x0041eb30:0x0041eb94, ssd_mb
0x0041eba0:0x0041ec63, x264_mb_analyse_inter_direct
0x0041ec70:0x0041f3b0, x264_mb_analyse_inter_b16x16
0x0041f3b0:0x0041f5d8, x264_mb_analyse_b_rd
0x0041f5e0:0x0041fca4, x264_mb_analyse_inter_b8x8_mixed_ref
0x0041fcb0:0x0042026e, x264_mb_analyse_inter_b8x8
0x00420270:0x00420829, x264_mb_analyse_inter_b16x8
0x00420830:0x00420db2, x264_mb_analyse_inter_b8x16
0x00420dc0:0x00420f63, x264_refine_bidir
0x00420f70:0x00420ff5, x264_mb_analyse_transform
0x00421000:0x0042130e, x264_mb_analyse_qp_rd
0x00421310:0x0042137e, x264_psy_trellis_init
0x00421380:0x0042148e, x264_weight_plane_analyse
0x00421490:0x0042192a, x264_weights_analyse
0x00421930:0x00421981, x264_weight_get_h264
0x00421990:0x0042199d, x264_clip3_3
0x004219a0:0x004219f6, x264_lowres_context_init
0x00421a00:0x00421ed6, x264_slicetype_frame_cost
0x00421ee0:0x0042203d, x264_weight_cost_init_luma
0x00422040:0x00422369, x264_weight_cost
0x00422370:0x00422bc7, x264_slicetype_analyse
0x00422bd0:0x00422d3f, scenecut
0x00422d40:0x00422ec7, x264_slicetype_path
0x00422ed0:0x00423376, x264_macroblock_tree
0x00423380:0x004237ee, x264_vbv_lookahead
0x004237f0:0x00423f63, x264_slicetype_decide
0x00423f70:0x00423fc6, x264_calculate_durations
0x00423fd0:0x004242f4, x264_rc_analyse_slice
0x00424300:0x004244a3, x264_slicetype_frame_cost_recalculate
0x004244b0:0x00424f2d, x264_macroblock_size_cabac
0x00424f30:0x004259a8, x264_macroblock_size_cavlc
0x004259b0:0x00425d40, x264_cabac_mb_type
0x00425d40:0x00425d5f, x264_cabac_mb_transform_size
0x00425d60:0x00425d9d, x264_mb_predict_intra4x4_mode
0x00425da0:0x00425e0b, x264_cabac_mb_intra4x4_pred_mode
0x00425e10:0x00425ec2, x264_cabac_mb_intra_chroma_pred_mode
0x00425ed0:0x00425f79, x264_cabac_mb_ref
0x00425f80:0x00426055, x264_cabac_mb_mvd
0x00426060:0x0042609a, x264_macroblock_cache_mvd
0x004260a0:0x004260f9, x264_cabac_mb_sub_p_partition
0x00426100:0x0042639f, x264_cabac_mb8x8_mvd
0x004263a0:0x00426422, x264_cabac_mb_sub_b_partition
0x00426430:0x004264fd, x264_cabac_mb_cbp_luma
0x00426500:0x00426596, x264_cabac_mb_cbp_chroma
0x004265a0:0x004265d5, x264_mb_transform_8x8_allowed
0x004265e0:0x004266a1, x264_cabac_mb_qp_delta
0x004266b0:0x00426765, x264_cabac_mb_cbf_ctxidxinc
0x00426770:0x0042678f, x264_cabac_size_decision
0x00426790:0x00426798, block_residual_write_cabac
0x004267a0:0x004267b6, block_residual_write_cabac_8x8
0x004267c0:0x004267d4, x264_cabac_size_decision_noup
0x004267e0:0x004268c0, x264_cabac_mb_type_intra
0x004268c0:0x004268fd, x264_cabac_mvd_sum
0x00426900:0x00426a70, x264_cabac_mb_mvd_cpn
0x00426a70:0x00426a77, pack8to16_0
0x00426a80:0x00426aa3, bs_size_ue_big
0x00426ab0:0x00426ba9, x264_macroblock_cache_rect_2
0x00426bb0:0x00426f3c, block_residual_write_cabac_internal
0x00426f40:0x00426f4b, bs_size_ue
0x00426f50:0x00426fc8, cavlc_mb_mvd
0x00426fd0:0x004270af, cavlc_mb8x8_mvd
0x004270b0:0x00427113, cavlc_qp_delta
0x00427120:0x00427153, x264_mb_predict_non_zero_code
0x00427160:0x004273ae, block_residual_write_cavlc
0x004273b0:0x0042755c, x264_macroblock_luma_write_cavlc
0x00427560:0x0042758b, bs_size_se
0x00427590:0x00427664, block_residual_write_cavlc_escape
0x00427670:0x0042773a, x264_copy_cabac_part
0x00427740:0x004278d9, x264_subpartition_size_cabac
0x004278e0:0x004279f1, x264_subpartition_size_cavlc
0x00427a00:0x00427a7f, cached_hadamard
0x00427a80:0x00427b30, cached_satd
0x00427b30:0x00427b3f, x264_cabac_size_decision_noup2
0x00427b40:0x00427b5d, predict_16x16_mode_available
0x00427b60:0x00427b80, predict_4x4_mode_available
0x00427b80:0x00427ba8, x264_macroblock_cache_intra8x8_pred
0x00427bb0:0x00427bcd, predict_8x8chroma_mode_available
0x00427bd0:0x00427c9d, x264_rd_cost_i8x8_chroma
0x00427ca0:0x00427d6e, x264_rd_cost_i4x4
0x00427d70:0x00427e56, x264_rd_cost_i8x8
0x00427e60:0x00427fd4, x264_i8x8_chroma_size_cabac
0x00427fe0:0x00428130, x264_i8x8_chroma_size_cavlc
0x00428130:0x004281d3, x264_partition_i4x4_size_cabac
0x004281e0:0x00428262, x264_partition_i4x4_size_cavlc
0x00428270:0x00428291, cavlc_intra4x4_pred_size
0x004282a0:0x0042831c, x264_partition_i8x8_size_cabac
0x00428320:0x00428377, x264_partition_i8x8_size_cavlc
0x00428380:0x004283be, x264_macroblock_cache_mv_0
0x004283c0:0x00428d4e, x264_mb_analyse_inter_p4x4_chroma
0x00428d50:0x00428d73, x264_macroblock_cache_skip_0
0x00428d80:0x0042901b, x264_mb_cache_mv_b8x8
0x00429020:0x004290e3, x264_mb_load_mv_direct8x8
0x004290f0:0x004292e7, x264_mb_cache_mv_b16x8
0x004292f0:0x004294de, x264_mb_cache_mv_b8x16
0x004294e0:0x0042a356, x264_slicetype_mb_cost
0x0042a360:0x0042a3ae, x264_median_mv_0
0x0042a3b0:0x0042a3d9, x264_median_0
0x0042a3e0:0x0042a56d, scenecut_internal
0x0042a570:0x0042a80f, x264_slicetype_path_cost
0x0042a810:0x0042ae58, x264_macroblock_tree_propagate
0x0042ae60:0x0042af6e, x264_macroblock_tree_finish
0x0042af70:0x0042af91, x264_log2
0x0042afa0:0x0042b028, x264_vbv_frame_cost
0x0042b030:0x0042b072, x264_exp2fix8
0x0042b080:0x0042f736, x264_me_search_ref
0x0042f740:0x0042f74d, x264_clip3_4
0x0042f750:0x0042f759, pack16to32_mask_0
0x0042f760:0x0042f7ea, x264_predictor_roundclip
0x0042f7f0:0x0042f844, x264_predictor_difference
