0x00400c00:0x00400c2a, _start
0x0040febf:0x00410034, _ZL15remove_one_fastPiS_S_i
0x00410034:0x00410d20, _Z7qsearchP7state_tiiii
0x00410d20:0x0041317d, _Z6searchP7state_tiiiii
0x0041317d:0x004131d5, _Z14rootmovesearchP7state_tiiiii
0x004131d5:0x004140e4, _Z11search_rootP7state_tiii
0x004140e4:0x004141b0, _Z21reset_search_countersP7state_t
0x004141b0:0x00414308, _Z17reset_search_dataP7state_t
0x00414308:0x00414eeb, _Z5thinkP11gamestate_tP7state_t
0x00414eeb:0x00414f13, _ZSt3maxIiERKT_S2_S2_
0x00414f13:0x00415604, _Z3seeP7state_tiiii
0x00415604:0x004157c6, main
0x004157c6:0x004157f9, _Z8clear_ttv
0x004157f9:0x00415825, _Z11clear_dp_ttv
0x00415825:0x004158d0, _Z18initialize_zobristP7state_t
0x004158d0:0x004159d1, _Z15initialize_hashP7state_t
0x004159d1:0x00415d29, _Z7StoreTTP7state_tiiijiiii
0x00415d29:0x00416069, _Z7ProbeTTP7state_tPiiiPjS1_S1_S1_S1_i
0x00416069:0x004160e8, _Z10alloc_hashv
0x004160e8:0x00416109, _Z9free_hashv
0x00416109:0x004161b7, _Z12elo_to_depthi
0x004161b7:0x00416265, _Z14elo_to_blunderi
0x00416265:0x004162c8, _Z12compact_movei
0x004162c8:0x004162ef, _Z4logLi
0x004162ef:0x004162fa, _Z14dumpsearchstatP7state_t
0x004162fa:0x004165d1, _Z13allocate_timeP11gamestate_ti
0x004165d1:0x00416f6b, _Z11comp_to_sanP7state_tiPc
0x00416f6b:0x004171dc, _Z13comp_to_coordP7state_tiPc
0x004171dc:0x00417493, _Z13display_boardP7state_ti
0x00417493:0x004175c6, _Z9init_gameP11gamestate_tP7state_t
0x004175c6:0x0041763a, _Z7is_movePc
0x0041763a:0x004177f2, _Z20extract_current_pathP7state_t
0x004177f2:0x00417b2d, _ZL15hash_extract_pvP7state_tiPc
0x00417b2d:0x00417d23, _Z19extract_ponder_moveP7state_t
0x00417d23:0x00417dc5, _Z24extract_current_bestlineP7state_t
0x00417dc5:0x00417e30, _Z12stringize_pvP7state_tPc
0x00417e30:0x004181b2, _Z13post_thinkingP7state_tiiPci
0x004181b2:0x0041848a, _Z16post_fh_thinkingP7state_tiiPci
0x0041848a:0x00418753, _Z16post_fl_thinkingP7state_tiiPci
0x00418753:0x004188ba, _ZL14resort_multipvv
0x004188ba:0x00418c73, _Z21post_multipv_thinkingP7state_tiii
0x00418c73:0x00418c84, _Z9rdifftimeii
0x00418c84:0x00418fbb, _Z18reset_piece_squareP7state_t
0x00418fbb:0x004190e7, _Z8myprintfPKcz
0x004190e7:0x00419291, _Z6rinputPciP8_IO_FILE
0x00419291:0x0041929c, _Z5rtimev
0x0041929c:0x004192b2, _Z8start_upv
0x004192b2:0x00419428, _Z12verify_coordP7state_tPcPi
0x00419428:0x004197cb, _Z17input_causes_stopv
0x004197cb:0x004197d6, _Z9interruptv
0x004197d6:0x0041985b, _Z11reset_boardP7state_t
0x0041985b:0x00419a83, _Z15make_text_movesP11gamestate_tP7state_tPc
0x00419a83:0x00419b34, _Z8myrandomv
0x00419b34:0x00419bab, _Z7mysrandj
0x00419bb0:0x00419c15, __libc_csu_init
0x00419c20:0x00419c22, __libc_csu_fini
