0x004021b0:0x004021d0, __cxx_global_var_init
0x004031a0:0x004031d0, _ZN3pov19Translate_SkysphereEPNS_16Skysphere_StructEPd
0x004031d0:0x0040346d, _ZN3povL10ground_fogEPNS_10Ray_StructEddPNS_10Fog_StructEPf
0x00403470:0x00403573, _ZN3povL12constant_fogEPNS_10Ray_StructEddPNS_10Fog_StructEPf
0x00403580:0x0040359d, _ZN3pov13Assign_ColourEPfS0_
0x004035a0:0x004035b9, _ZN3pov12Make_ColourAEPffffff
0x004035c0:0x004035cf, _ZN3pov11Make_VectorEPdddd
0x004035d0:0x004035fb, _ZN3pov15CRGBAddScaledEqEPffPKf
0x00403600:0x0040362b, _ZN3pov12VEvaluateRayEPdPKddS2_
0x00403630:0x00403667, _ZN3pov9VLinComb2EPddPKddS2_
0x00403670:0x00403699, _ZN3pov4VDotERdPKdS2_
0x004036a0:0x004036a5, _ZN3pov3SqrEd
0x004036b0:0x004036ef, _ZN3pov5VHalfEPdPKdS2_
0x004036f0:0x0040371b, _ZN3pov11VEvaluateEqEPdPKd
0x00403720:0x00403730, _ZSt3minIdERKT_S2_S2_
0x00403730:0x00403740, _ZSt3maxIdERKT_S2_S2_
0x00403740:0x00403757, _ZN3pov11Make_ColourEPffff
0x00403760:0x00403777, _ZN3pov13Assign_VectorEPdS0_
0x00403780:0x00403789, _ZSt4fabsf
0x00403790:0x004037a4, _ZN3pov20Initialize_BBox_CodeEv
0x004037b0:0x00403802, _ZN3pov21Create_Priority_QueueEj
0x00403810:0x0040382f, _ZN3pov22Deinitialize_BBox_CodeEv
0x00403830:0x00403869, _ZN3pov22Destroy_Priority_QueueEPNS_21Priority_Queue_StructE
0x00403870:0x004038fa, _ZN3pov17Destroy_BBox_TreeEPNS_16BBox_Tree_StructE
0x00403900:0x00403b5a, _ZN3pov14Recompute_BBoxEPNS_19Bounding_Box_StructEPNS_16Transform_StructE
0x00403b60:0x00403dba, _ZN3pov22Recompute_Inverse_BBoxEPNS_19Bounding_Box_StructEPNS_16Transform_StructE
0x00403dc0:0x00403f64, _ZN3pov15Build_BBox_TreeEPPNS_16BBox_Tree_StructElRS2_lS2_
0x00403f70:0x0040424a, _ZN3povL14sort_and_splitEPPNS_16BBox_Tree_StructERS2_Plll
0x00404250:0x004042d2, _ZN3povL16create_bbox_nodeEi
0x004042e0:0x0040440d, _ZN3povL9calc_bboxEPNS_19Bounding_Box_StructEPPNS_16BBox_Tree_StructEll
0x00404410:0x004046ba, _ZN3pov20Build_Bounding_SlabsEPPNS_16BBox_Tree_StructE
0x004046c0:0x004046df, _ZN3pov22Destroy_Bounding_SlabsEv
0x004046e0:0x00404916, _ZN3pov19Intersect_BBox_TreeEPNS_16BBox_Tree_StructEPNS_10Ray_StructEPNS_10istk_entryEPPNS_13Object_StructEb
0x00404920:0x00404a0c, _ZN3pov14Create_RayinfoEPNS_10Ray_StructEPNS_14Rayinfo_StructE
0x00404a10:0x00404cbf, _ZN3pov17Check_And_EnqueueEPNS_21Priority_Queue_StructEPNS_16BBox_Tree_StructEPNS_19Bounding_Box_StructEPNS_14Rayinfo_StructE
0x00404cc0:0x00404d96, _ZN3pov21Priority_Queue_DeleteEPNS_21Priority_Queue_StructEPdPPNS_16BBox_Tree_StructE
0x00404da0:0x00404e81, _ZN3povL21priority_queue_insertEPNS_21Priority_Queue_StructEdPNS_16BBox_Tree_StructE
0x00404e90:0x00404fe3, _ZN3povL9find_axisEPPNS_16BBox_Tree_StructEll
0x00404ff0:0x00405056, _ZN3povL9compboxesEPKvS1_
0x00405060:0x004051e3, _ZN3povL16build_area_tableEPPNS_16BBox_Tree_StructEllPd
0x004051f0:0x00405219, _ZN3pov16Assign_BBox_VectERA3_dPf
0x00405220:0x0040527e, _ZN3pov22Make_BBox_from_min_maxERNS_19Bounding_Box_StructEPdS2_
0x00405280:0x00405285, _ZN3pov16Increase_CounterERx
0x00405290:0x004052ae, _ZN3pov9Make_BBoxERNS_19Bounding_Box_StructEffffff
0x004052b0:0x004052db, _ZN3pov4VSubEPdPKdS2_
0x004052e0:0x0040541d, _ZN3pov14Intersect_BCylEPNS_11BCyl_StructEPdS2_
0x00405420:0x00405665, _ZN3povL24intersect_bound_elementsEPNS_11BCyl_StructEPdS2_
0x00405670:0x00405842, _ZN3povL24intersect_thick_cylinderEPNS_11BCyl_StructEPNS_17BCyl_Entry_StructEPd
0x00405850:0x004058f6, _ZN3povL10insert_hitEPNS_24BCyl_Intersection_StructES1_Pi
0x00405900:0x00405dd3, _ZN3pov11Create_BCylEiPdS0_S0_S0_
0x00405de0:0x00405e99, _ZN3pov12Destroy_BCylEPNS_11BCyl_StructE
0x00405ea0:0x00405f10, _ZN3pov20Write_Benchmark_FileEPKcS1_
0x00405f10:0x00405f16, _ZN3pov21Get_Benchmark_VersionEv
0x00405f20:0x00406005, _ZN3pov23Precompute_Patch_ValuesEPNS_20Bicubic_Patch_StructE
0x00406010:0x004060d3, _ZN3povL12find_averageEiPA3_dPdS2_
0x004060e0:0x0040616c, _ZN3povL19bezier_tree_deleterEPNS_18Bezier_Node_StructE
0x00406170:0x004064f6, _ZN3povL19bezier_tree_builderEPNS_20Bicubic_Patch_StructEPA4_A4_A3_dddddiRi
0x00406500:0x004065ed, _ZN3pov20Create_Bicubic_PatchEv
0x004065f0:0x00406731, _ZN3pov26Compute_Bicubic_Patch_BBoxEPNS_20Bicubic_Patch_StructE
0x00406740:0x00406764, _ZN3povL22create_new_bezier_nodeEv
0x00406770:0x00406868, _ZN3povL22bezier_bounding_sphereEPA4_A4_A3_dPdS4_
0x00406870:0x0040689b, _ZN3povL11flat_enoughEPNS_20Bicubic_Patch_StructEPA4_A4_A3_d
0x004068a0:0x004068b9, _ZN3povL26create_bezier_vertex_blockEv
0x004068c0:0x00406a3e, _ZN3povL20bezier_split_up_downEPA4_A4_A3_dS3_S3_
0x00406a40:0x00406a59, _ZN3povL25create_bezier_child_blockEv
0x00406a60:0x00406bee, _ZN3povL23bezier_split_left_rightEPA4_A4_A3_dS3_S3_
0x00406bf0:0x00406f58, _ZN3povL27determine_subpatch_flatnessEPA4_A4_A3_d
0x00406f60:0x00407075, _ZN3povL15subpatch_normalEPdS0_S0_S0_S0_
0x00407080:0x004070f6, _ZN3povL20point_plane_distanceEPdS0_S0_
0x00407100:0x0040717a, _ZN3povL31All_Bicubic_Patch_IntersectionsEPNS_13Object_StructEPNS_10Ray_StructEPNS_13istack_structE
0x00407180:0x00407183, _ZN3povL20Inside_Bicubic_PatchEPdPNS_13Object_StructE
0x00407190:0x00407199, _ZN3povL20Bicubic_Patch_NormalEPdPNS_13Object_StructEPNS_10istk_entryE
0x004071a0:0x004071a9, _ZN3povL21Bicubic_Patch_UVCoordEPdPNS_13Object_StructEPNS_10istk_entryE
0x004071b0:0x00407314, _ZN3povL18Copy_Bicubic_PatchEPNS_13Object_StructE
0x00407320:0x00407394, _ZN3povL23Translate_Bicubic_PatchEPNS_13Object_StructEPdPNS_16Transform_StructE
0x004073a0:0x004073a8, _ZN3povL20Rotate_Bicubic_PatchEPNS_13Object_StructEPdPNS_16Transform_StructE
0x004073b0:0x00407424, _ZN3povL19Scale_Bicubic_PatchEPNS_13Object_StructEPdPNS_16Transform_StructE
0x00407430:0x004074a4, _ZN3povL23Transform_Bicubic_PatchEPNS_13Object_StructEPNS_16Transform_StructE
0x004074b0:0x004074b1, _ZN3povL20Invert_Bicubic_PatchEPNS_13Object_StructE
0x004074c0:0x00407514, _ZN3povL21Destroy_Bicubic_PatchEPNS_13Object_StructE
0x00407520:0x00407548, _ZN3povL24intersect_bicubic_patch0EPNS_10Ray_StructEPNS_20Bicubic_Patch_StructEPNS_13istack_structE
0x00407550:0x00407849, _ZN3povL18bezier_tree_walkerEPNS_10Ray_StructEPNS_20Bicubic_Patch_StructEPNS_18Bezier_Node_StructEPNS_13istack_structE
0x00407850:0x00407b78, _ZN3povL17bezier_subdividerEPNS_10Ray_StructEPNS_20Bicubic_Patch_StructEPA4_A4_A3_dddddiPNS_13istack_structE
0x00407b80:0x00407bf5, _ZN3povL22spherical_bounds_checkEPNS_10Ray_StructEPdd
0x00407c00:0x00407e94, _ZN3povL25bezier_subpatch_intersectEPNS_10Ray_StructEPNS_20Bicubic_Patch_StructEPA4_A4_A3_dddddPNS_13istack_structE
0x00407ea0:0x004082a8, _ZN3povL18intersect_subpatchEPNS_20Bicubic_Patch_StructEPNS_10Ray_StructEPA3_dPdS6_S6_S6_S6_S6_S6_
0x004082b0:0x0040832f, _ZN3povL18Compute_Texture_UVEPdPA2_dS0_
0x00408330:0x004086b2, _ZN3povL12bezier_valueEPA4_A4_A3_dddPdS4_
0x004086c0:0x00408701, _ZN3pov7VLengthERdPKd
0x00408710:0x00408772, _ZN3pov6VCrossEPdPKdS2_
0x00408780:0x004087a3, _ZN3pov7VSumSqrEPd
0x004087b0:0x004087d9, _ZN3pov13VInverseScaleEPdPKdd
0x004087e0:0x00408884, _ZN3pov20push_normal_uv_entryEdPdS0_S0_PNS_13Object_StructEPNS_13istack_structE
0x00408890:0x004088ad, _ZN3pov8VScaleEqEPdd
0x004088b0:0x004088cd, _ZN3pov6VScaleEPdPKdd
0x004088d0:0x004088fb, _ZN3pov4VAddEPdPKdS2_
0x00408900:0x0040892b, _ZN3pov6VAddEqEPdPKd
0x00408930:0x0040895b, _ZN3pov12VAddScaledEqEPddPKd
0x00408960:0x0040896f, _ZN3pov4itopEPNS_13istack_structE
0x00408970:0x0040897f, _ZN3pov14Assign_UV_VectEPdS0_
0x00408980:0x004089ab, _ZN3pov9VEvaluateEPdPKdS2_
0x004089b0:0x004094f1, _ZN3povL22All_Blob_IntersectionsEPNS_13Object_StructEPNS_10Ray_StructEPNS_13istack_structE
0x00409500:0x0040955d, _ZN3povL11Inside_BlobEPdPNS_13Object_StructE
0x00409560:0x00409783, _ZN3povL11Blob_NormalEPdPNS_13Object_StructEPNS_10istk_entryE
0x00409790:0x00409875, _ZN3povL9Copy_BlobEPNS_13Object_StructE
0x00409880:0x00409885, _ZN3povL14Translate_BlobEPNS_13Object_StructEPdPNS_16Transform_StructE
0x00409890:0x00409895, _ZN3povL11Rotate_BlobEPNS_13Object_StructEPdPNS_16Transform_StructE
0x004098a0:0x004098a5, _ZN3povL10Scale_BlobEPNS_13Object_StructEPdPNS_16Transform_StructE
0x004098b0:0x0040991a, _ZN3povL14Transform_BlobEPNS_13Object_StructEPNS_16Transform_StructE
0x00409920:0x00409925, _ZN3povL11Invert_BlobEPNS_13Object_StructE
0x00409930:0x00409aa6, _ZN3povL12Destroy_BlobEPNS_13Object_StructE
0x00409ab0:0x00409b6a, _ZN3pov11Create_BlobEv
0x00409b70:0x00409b9a, _ZN3pov24Create_Blob_List_ElementEv
0x00409ba0:0x00409be6, _ZN3povL17init_blob_elementEPNS_19Blob_Element_StructE
0x00409bf0:0x00409f0f, _ZN3pov9Make_BlobEPNS_11Blob_StructEdPNS_16Blob_List_StructEi
0x00409f10:0x0040a108, _ZN3povL17Compute_Blob_BBoxEPNS_11Blob_StructE
0x0040a110:0x0040a1dd, _ZN3povL24build_bounding_hierarchyEPNS_11Blob_StructE
0x0040a1e0:0x0040a257, _ZN3pov17Test_Blob_OpacityEPNS_11Blob_StructE
0x0040a260:0x0040a4a1, _ZN3pov23Determine_Blob_TexturesEPNS_11Blob_StructEPdPiPPNS_14Texture_StructES2_
0x0040a4b0:0x0040a54f, _ZN3povL25determine_element_textureEPNS_11Blob_StructEPNS_19Blob_Element_StructEPNS_14Texture_StructEPdPiPS5_S6_
0x0040a550:0x0040a5cb, _ZN3povL11insert_nodeEPNS_11Blob_StructEPNS_19BSphere_Tree_StructEPj
0x0040a5d0:0x0040a625, _ZN3pov22Translate_Blob_ElementEPNS_19Blob_Element_StructEPd
0x0040a630:0x0040a66e, _ZN3pov22Transform_Blob_ElementEPNS_19Blob_Element_StructEPNS_16Transform_StructE
0x0040a670:0x0040a6c8, _ZN3pov19Rotate_Blob_ElementEPNS_19Blob_Element_StructEPd
0x0040a6d0:0x0040a76a, _ZN3pov18Scale_Blob_ElementEPNS_19Blob_Element_StructEPd
0x0040a770:0x0040a783, _ZN3pov19Invert_Blob_ElementEPNS_19Blob_Element_StructE
0x0040a790:0x0040a9cc, _ZN3pov32Create_Blob_Element_Texture_ListEPNS_11Blob_StructEPNS_16Blob_List_StructEi
0x0040a9d0:0x0040abf2, _ZN3povL20determine_influencesEPdS0_PNS_11Blob_StructEdPNS_20Blob_Interval_StructE
0x0040ac00:0x0040acd0, _ZN3povL17intersect_elementEPdS0_PNS_19Blob_Element_StructEdS0_S0_
0x0040acd0:0x0040ae82, _ZN3povL10insert_hitEPNS_19Blob_Element_StructEddPNS_20Blob_Interval_StructEPj
0x0040ae90:0x0040af7a, _ZN3povL16intersect_sphereEPNS_19Blob_Element_StructEPdS2_dS2_S2_
0x0040af80:0x0040b0c3, _ZN3povL19intersect_ellipsoidEPNS_19Blob_Element_StructEPdS2_dS2_S2_
0x0040b0d0:0x0040b387, _ZN3povL20intersect_hemisphereEPNS_19Blob_Element_StructEPdS2_dS2_S2_
0x0040b390:0x0040b660, _ZN3povL18intersect_cylinderEPNS_19Blob_Element_StructEPdS2_dS2_S2_
0x0040b660:0x0040b7f5, _ZN3povL21calculate_field_valueEPNS_11Blob_StructEPd
0x0040b800:0x0040b983, _ZN3povL23calculate_element_fieldEPNS_19Blob_Element_StructEPd
0x0040b990:0x0040bbc8, _ZN3povL14element_normalEPdS0_PNS_19Blob_Element_StructE
0x0040bbd0:0x0040bdc2, _ZN3povL27get_element_bounding_sphereEPNS_19Blob_Element_StructEPdS2_
0x0040bdd0:0x0040bdf9, _ZN3pov15VInverseScaleEqEPdd
0x0040be00:0x0040be82, _ZN3pov10push_entryEdPdPNS_13Object_StructEPNS_13istack_structE
0x0040be90:0x0040beba, _ZN3pov10VNormalizeEPdPKd
0x0040bec0:0x0040bed0, _ZSt3maxIfERKT_S2_S2_
0x0040bed0:0x0040bfef, _ZN3povL21All_Box_IntersectionsEPNS_13Object_StructEPNS_10Ray_StructEPNS_13istack_structE
0x0040bff0:0x0040c085, _ZN3povL10Inside_BoxEPdPNS_13Object_StructE
0x0040c090:0x0040c13e, _ZN3povL10Box_NormalEPdPNS_13Object_StructEPNS_10istk_entryE
0x0040c140:0x0040c2a3, _ZN3povL11Box_UVCoordEPdPNS_13Object_StructEPNS_10istk_entryE
0x0040c2b0:0x0040c323, _ZN3pov8Copy_BoxEPNS_13Object_StructE
0x0040c330:0x0040c37d, _ZN3povL13Translate_BoxEPNS_13Object_StructEPdPNS_16Transform_StructE
0x0040c380:0x0040c388, _ZN3povL10Rotate_BoxEPNS_13Object_StructEPdPNS_16Transform_StructE
0x0040c390:0x0040c459, _ZN3povL9Scale_BoxEPNS_13Object_StructEPdPNS_16Transform_StructE
0x0040c460:0x0040c495, _ZN3povL13Transform_BoxEPNS_13Object_StructEPNS_16Transform_StructE
0x0040c4a0:0x0040c4a5, _ZN3povL10Invert_BoxEPNS_13Object_StructE
0x0040c4b0:0x0040c4d0, _ZN3pov11Destroy_BoxEPNS_13Object_StructE
0x0040c4d0:0x0040cb0f, _ZN3pov13Intersect_BoxEPNS_10Ray_StructEPNS_16Transform_StructEPdS4_S4_S4_PiS5_
0x0040cb10:0x0040cbfc, _ZN3pov10Create_BoxEv
0x0040cc00:0x0040cc4a, _ZN3pov16Compute_Box_BBoxEPNS_10Box_StructE
0x0040cc50:0x0040cc79, _ZN3pov16Assign_BBox_VectERA3_fPd
0x0040cc80:0x0040ccb7, _ZN3pov4VSubEPfPKdS2_
0x0040ccc0:0x0040cd3a, _ZN3pov13push_entry_i1EdPdPNS_13Object_StructEiPNS_13istack_structE
0x0040cd40:0x0040cd6b, _ZN3pov6VSubEqEPdPKd
0x0040cd70:0x0040cd9b, _ZN3pov6VDivEqEPdPKd
0x0040cda0:0x0040ce21, _ZN3pov31Build_Bounding_Sphere_HierarchyEPPNS_19BSphere_Tree_StructEiPS2_
0x0040ce30:0x0040d129, _ZN3povL14sort_and_splitEPPNS_19BSphere_Tree_StructEPS2_Piii
0x0040d130:0x0040d1a2, _ZN3pov33Destroy_Bounding_Sphere_HierarchyEPNS_19BSphere_Tree_StructE
0x0040d1b0:0x0040d30b, _ZN3povL9find_axisEPPNS_19BSphere_Tree_StructEii
0x0040d310:0x0040d34f, _ZN3povL13comp_elementsEPKvS1_
0x0040d350:0x0040d424, _ZN3povL16build_area_tableEPPNS_19BSphere_Tree_StructEiiPd
0x0040d430:0x0040d4d9, _ZN3povL15recompute_boundEPNS_19BSphere_Tree_StructE
0x0040d4e0:0x0040d633, _ZN3povL13merge_spheresEPdS0_S0_dS0_d
0x0040d640:0x0040d645, _ZN3pov16Translate_CameraEPNS_13Camera_StructEPd
0x0040d650:0x0040d680, _ZN3pov13Rotate_CameraEPNS_13Camera_StructEPd
0x0040d680:0x0040d6cc, _ZN3pov16Transform_CameraEPNS_13Camera_StructEPNS_16Transform_StructE
0x0040d6d0:0x0040d700, _ZN3pov12Scale_CameraEPNS_13Camera_StructEPd
0x0040d700:0x0040d840, _ZN3pov13Create_CameraEv
0x0040d840:0x0040d93c, _ZN3pov11Copy_CameraEPNS_13Camera_StructE
0x0040d940:0x0040d976, _ZN3pov14Destroy_CameraEPNS_13Camera_StructE
0x0040d980:0x0040d9c2, _ZN3pov6chdtriEdd
0x0040d9d0:0x0040db5a, _ZN3povL5igamiEdd
0x0040db60:0x0040dd0f, _ZN3povL5ndtriEd
0x0040dd10:0x0040dfe1, _ZN3povL4lgamEd
0x0040dff0:0x0040e1bf, _ZN3povL5igamcEdd
0x0040e1c0:0x0040e1e6, _ZN3povL6polevlEdPKdi
0x0040e1f0:0x0040e216, _ZN3povL5p1evlEdPKdi
0x0040e220:0x0040e318, _ZN3povL4igamEdd
0x0040e320:0x0040e35e, _ZN3pov13Create_ColourEv
0x0040e360:0x0040e38f, _ZN3pov11Copy_ColourEPf
0x0040e390:0x0040e3ad, _ZN3pov19Create_BMap_EntriesEi
0x0040e3b0:0x0040e45e, _ZN3pov17Copy_BMap_EntriesEPNS_15Blend_Map_EntryEii
0x0040e460:0x0040e491, _ZN3pov16Create_Blend_MapEv
0x0040e4a0:0x0040e4b4, _ZN3pov14Copy_Blend_MapEPNS_16Blend_Map_StructE
0x0040e4c0:0x0040e51c, _ZN3pov15Colour_DistanceEPfS0_
0x0040e520:0x0040e598, _ZN3pov20Colour_Distance_RGBTEPfS0_
0x0040e5a0:0x0040e5e9, _ZN3pov10Add_ColourEPfS0_S0_
0x0040e5f0:0x0040e65d, _ZN3pov12Scale_ColourEPfS0_d
0x0040e660:0x0040e740, _ZN3pov11Clip_ColourEPfS0_
0x0040e740:0x0040e7f4, _ZN3pov17Destroy_Blend_MapEPNS_16Blend_Map_StructE
0x0040e800:0x0040e93b, _ZN3pov8RGBtoHueEPf
0x0040e940:0x0040e9f1, _ZN3pov13gamma_correctEPf
0x0040ea00:0x0040eb06, _ZN3pov14extract_colorsEPfPhS1_S1_S1_Pd
0x0040eb10:0x0040ec1f, _ZN3pov24extract_colors_nocorrectEPfPhS1_S1_S1_Pd
0x0040ec20:0x0040ecb3, _ZN3pov17colour2photonRgbeEPhPf
0x0040ecc0:0x0040ed36, _ZN3pov17photonRgbe2colourEPfPh
0x0040ed40:0x0040ed8f, _ZN3pov19prepare_output_lineEPA5_f
0x0040ed90:0x0040eda2, _ZN3pov11ClipColorAAEPf
0x0040edb0:0x0040ee74, _ZN3povL22All_Cone_IntersectionsEPNS_13Object_StructEPNS_10Ray_StructEPNS_13istack_structE
0x0040ee80:0x0040ef52, _ZN3povL11Inside_ConeEPdPNS_13Object_StructE
0x0040ef60:0x0040eff5, _ZN3povL11Cone_NormalEPdPNS_13Object_StructEPNS_10istk_entryE
0x0040f000:0x0040f07f, _ZN3povL9Copy_ConeEPNS_13Object_StructE
0x0040f080:0x0040f085, _ZN3povL14Translate_ConeEPNS_13Object_StructEPdPNS_16Transform_StructE
0x0040f090:0x0040f095, _ZN3povL11Rotate_ConeEPNS_13Object_StructEPdPNS_16Transform_StructE
0x0040f0a0:0x0040f0a5, _ZN3povL10Scale_ConeEPNS_13Object_StructEPdPNS_16Transform_StructE
0x0040f0b0:0x0040f0c6, _ZN3povL14Transform_ConeEPNS_13Object_StructEPNS_16Transform_StructE
0x0040f0d0:0x0040f0d5, _ZN3povL11Invert_ConeEPNS_13Object_StructE
0x0040f0e0:0x0040f100, _ZN3povL12Destroy_ConeEPNS_13Object_StructE
0x0040f100:0x0040f20e, _ZN3pov11Create_ConeEv
0x0040f210:0x0040f324, _ZN3pov15Create_CylinderEv
0x0040f330:0x0040f4a5, _ZN3pov17Compute_Cone_DataEPNS_13Object_StructE
0x0040f4b0:0x0040f54d, _ZN3pov21Compute_Cylinder_DataEPNS_13Object_StructE
0x0040f550:0x0040f5aa, _ZN3pov17Compute_Cone_BBoxEPNS_11Cone_StructE
0x0040f5b0:0x0040fb22, _ZN3povL14intersect_coneEPNS_10Ray_StructEPNS_11Cone_StructEPNS_27Cone_Intersection_StructureE
0x0040fb30:0x0040fd3e, _ZN3povL27All_CSG_Union_IntersectionsEPNS_13Object_StructEPNS_10Ray_StructEPNS_13istack_structE
0x0040fd40:0x0040fd93, _ZN3povL16Inside_CSG_UnionEPdPNS_13Object_StructE
0x0040fda0:0x0040fe84, _ZN3povL8Copy_CSGEPNS_13Object_StructE
0x0040fe90:0x0040fee1, _ZN3povL13Translate_CSGEPNS_13Object_StructEPdPNS_16Transform_StructE
0x0040fef0:0x0040ff41, _ZN3povL10Rotate_CSGEPNS_13Object_StructEPdPNS_16Transform_StructE
0x0040ff50:0x0040ffa1, _ZN3povL9Scale_CSGEPNS_13Object_StructEPdPNS_16Transform_StructE
0x0040ffb0:0x0040fff8, _ZN3povL13Transform_CSGEPNS_13Object_StructEPNS_16Transform_StructE
0x00410000:0x0041003e, _ZN3povL16Invert_CSG_UnionEPNS_13Object_StructE
0x00410040:0x00410060, _ZN3povL11Destroy_CSGEPNS_13Object_StructE
0x00410060:0x00410294, _ZN3povL27All_CSG_Merge_IntersectionsEPNS_13Object_StructEPNS_10Ray_StructEPNS_13istack_structE
0x004102a0:0x00410409, _ZN3povL31All_CSG_Intersect_IntersectionsEPNS_13Object_StructEPNS_10Ray_StructEPNS_13istack_structE
0x00410410:0x00410460, _ZN3povL23Inside_CSG_IntersectionEPdPNS_13Object_StructE
0x00410460:0x0041049e, _ZN3povL23Invert_CSG_IntersectionEPNS_13Object_StructE
0x004104a0:0x0041052d, _ZN3pov16Create_CSG_UnionEv
0x00410530:0x004105b3, _ZN3pov16Create_CSG_MergeEv
0x004105c0:0x00410643, _ZN3pov23Create_CSG_IntersectionEv
0x00410650:0x00410bee, _ZN3pov16Compute_CSG_BBoxEPNS_13Object_StructE
0x00410bf0:0x00410cac, _ZN3pov22Determine_CSG_TexturesEPNS_10CSG_StructEPdPiPPNS_14Texture_StructES2_
0x00410cb0:0x00410d3b, _ZN3povL17Find_CSG_TexturesEPNS_10CSG_StructEPdPiPPNS_14Texture_StructE
0x00410d40:0x00410da7, _ZN3pov22Make_min_max_from_BBoxERA3_dS1_NS_19Bounding_Box_StructE
0x00410db0:0x00410dc8, _ZN3pov13BOUNDS_VOLUMEERdRKNS_19Bounding_Box_StructE
0x00410dd0:0x00410dec, _ZN3pov9pop_entryEPNS_13istack_structE
0x00410df0:0x00410e65, _ZN3pov9push_copyEPNS_13istack_structEPNS_10istk_entryE
0x00410e70:0x00410f7e, _ZN3pov11Create_DiscEv
0x00410f80:0x00410faa, _ZN3pov12Compute_DiscEPNS_11Disc_StructE
0x00410fb0:0x00411020, _ZN3povL17Compute_Disc_BBoxEPNS_11Disc_StructE
0x00411020:0x004110a6, _ZN3povL22All_Disc_IntersectionsEPNS_13Object_StructEPNS_10Ray_StructEPNS_13istack_structE
0x004110b0:0x004110ef, _ZN3povL11Inside_DiscEPdPNS_13Object_StructE
0x004110f0:0x004110fc, _ZN3povL11Disc_NormalEPdPNS_13Object_StructEPNS_10istk_entryE
0x00411100:0x0041117f, _ZN3povL9Copy_DiscEPNS_13Object_StructE
0x00411180:0x00411185, _ZN3povL14Translate_DiscEPNS_13Object_StructEPdPNS_16Transform_StructE
0x00411190:0x00411195, _ZN3povL11Rotate_DiscEPNS_13Object_StructEPdPNS_16Transform_StructE
0x004111a0:0x004111a5, _ZN3povL10Scale_DiscEPNS_13Object_StructEPdPNS_16Transform_StructE
0x004111b0:0x004111f4, _ZN3povL14Transform_DiscEPNS_13Object_StructEPNS_16Transform_StructE
0x00411200:0x00411205, _ZN3povL11Invert_DiscEPNS_13Object_StructE
0x00411210:0x00411230, _ZN3povL12Destroy_DiscEPNS_13Object_StructE
0x00411230:0x00411361, _ZN3povL14Intersect_DiscEPNS_10Ray_StructEPNS_11Disc_StructEPd
0x00411370:0x00411400, _ZN3pov17Parse_Float_ParamEv
0x00411400:0x00411500, _ZN3povL13Parse_ExpressEPdPi
0x00411500:0x00411572, _ZN3pov18Parse_Float_Param2EPdS0_
0x00411580:0x004115f2, _ZN3pov11Parse_FloatEv
0x00411600:0x00412c08, _ZN3povL16Parse_Num_FactorEPdPi
0x00412c10:0x00412d2b, _ZN3povL16Parse_Rel_FactorEPdPi
0x00412d30:0x00412dbe, _ZN3pov11Allow_FloatEd
0x00412dc0:0x00412e52, _ZN3pov12Allow_VectorEPd
0x00412e60:0x00412f0a, _ZN3pov12Parse_VectorEPd
0x00412f10:0x00412fb4, _ZN3pov14Parse_Vector4DEPd
0x00412fc0:0x00413061, _ZN3pov13Parse_UV_VectEPd
