0x00403a90:0x00403b01, playanim_window_zoom
0x004178b0:0x004179d0, wm_read_history
0x004179d0:0x004179e8, wm_history_read_exec
0x004179f0:0x00417aad, write_crash_blend
0x00417ab0:0x00417e95, wm_file_write
0x00417ea0:0x00417fd8, wm_homefile_write_exec
0x00417fe0:0x004180a3, wm_userpref_write_exec
0x004180b0:0x0041811b, wm_autosave_location
0x00418120:0x0041817c, WM_autosave_init
0x00418180:0x004182ca, wm_autosave_timer
0x004182d0:0x004182f5, wm_autosave_timer_ended
0x00418300:0x004183d7, wm_autosave_delete
0x004183e0:0x0041846e, wm_autosave_read
0x00418470:0x004184f5, wm_open_init_load_ui
0x00418500:0x00418575, wm_open_init_use_scripts
0x00418580:0x004185a0, draw_filled_lasso_px_cb
0x004185a0:0x00418812, wm_gesture_draw_lasso
0x004188a0:0x004188ae, wm_gesture_draw_rect
0x004189a0:0x00418b03, WM_gesture_new
0x00418b10:0x00418b65, WM_gesture_end
0x00418b70:0x00418bf5, WM_gestures_remove
0x00418c00:0x00418ce9, wm_gesture_evaluate
0x00418cf0:0x00418fe6, wm_gesture_draw
0x00419070:0x004190b2, wm_gesture_tag_redraw
0x004190c0:0x00419257, WM_init
0x00419260:0x004192c5, WM_init_splash
0x004192d0:0x0041957c, WM_init_game
0x00419580:0x00419899, WM_exit_ext
0x004198a0:0x004198d1, WM_exit
0x004198e0:0x00419907, do_job_thread
0x00419910:0x004199df, wm_jobs_kill_job
0x004199e0:0x00419a0d, WM_job_main_thread_lock_acquire
0x00419a10:0x00419a2c, WM_job_main_thread_lock_release
0x00419a30:0x00419b6a, WM_jobs_get
0x00419b70:0x00419be5, WM_jobs_test
0x00419bf0:0x00419c2a, WM_jobs_progress
0x00419c30:0x00419c62, WM_jobs_name
0x00419c70:0x00419cb0, WM_jobs_customdata
0x00419cb0:0x00419cf0, WM_jobs_customdata_from_type
0x00419cf0:0x00419cf5, WM_jobs_is_running
0x00419d00:0x00419d18, WM_jobs_customdata_get
0x00419d20:0x00419d56, WM_jobs_customdata_set
0x00419d60:0x00419d6c, WM_jobs_timer
0x00419d70:0x00419d81, WM_jobs_callbacks
0x00419d90:0x00419feb, WM_jobs_start
0x00419ff0:0x0041a0dd, WM_jobs_kill_all
0x0041a0e0:0x0041a1e9, WM_jobs_kill_all_except
0x0041a1f0:0x0041a286, WM_jobs_kill_type
0x0041a290:0x0041a2ce, WM_jobs_stop
0x0041a2d0:0x0041a3e7, WM_jobs_kill
0x0041a3f0:0x0041a428, wm_jobs_timer_ended
0x0041a430:0x0041a77e, wm_jobs_timer
0x0041a780:0x0041a7ad, WM_jobs_has_running
0x0041a7b0:0x0041aa29, wm_keymap_item_find_handlers
0x0041aa30:0x0041ac57, wm_keymap_item_find_props
0x0041ac60:0x0041ae6b, wm_keymap_copy
0x0041ae70:0x0041aed4, WM_keymap_properties_reset
0x0041aee0:0x0041af5b, WM_keymap_map_type_get
0x0041af60:0x0041afa5, WM_keyconfig_new
0x0041afb0:0x0041affc, WM_keyconfig_new_user
0x0041b000:0x0041b0ce, WM_keymap_free
0x0041b0d0:0x0041b11c, WM_keyconfig_free
0x0041b120:0x0041b1e7, WM_keyconfig_remove
0x0041b1f0:0x0041b239, WM_keymap_remove
0x0041b240:0x0041b3fd, WM_keymap_verify_item
0x0041b400:0x0041b599, WM_keymap_add_item
0x0041b5a0:0x0041b759, WM_keymap_add_menu
0x0041b760:0x0041b919, WM_keymap_add_menu_pie
0x0041b920:0x0041b997, WM_keymap_remove_item
0x0041b9a0:0x0041ba05, WM_keymap_list_find
0x0041ba10:0x0041bac8, WM_keymap_find
0x0041bad0:0x0041bb45, WM_keymap_find_all
0x0041bb50:0x0041bc9e, WM_modalkeymap_add
0x0041bca0:0x0041bce5, WM_modalkeymap_get
0x0041bcf0:0x0041be59, WM_modalkeymap_add_item
0x0041be60:0x0041bfd9, WM_modalkeymap_add_item_str
0x0041bfe0:0x0041c01e, WM_modalkeymap_find_propvalue
0x0041c020:0x0041c06a, WM_modalkeymap_assign
0x0041c070:0x0041c0c5, WM_key_event_string
0x0041c0d0:0x0041c2c1, WM_keymap_item_to_string
0x0041c2d0:0x0041c620, WM_key_event_operator_string
0x0041c620:0x0041c8c4, WM_key_event_operator_id
0x0041c8d0:0x0041ca12, WM_keymap_item_compare
0x0041ca20:0x0041ca40, WM_keyconfig_update_tag
0x0041ca40:0x0041ca48, WM_keyconfig_update_operatortype
0x0041ca50:0x0041e503, WM_keyconfig_update
0x0041e510:0x0041e548, WM_keyconfig_set_active
0x0041e550:0x0041e5cf, WM_keymap_active
0x0041e5d0:0x0041ea37, WM_keymap_restore_item_to_default
0x0041ea40:0x0041ead9, WM_keymap_restore_to_default
0x0041eae0:0x0041eb1b, WM_keymap_item_find_id
0x0041eb20:0x0041f985, WM_keymap_guess_opname
0x0041f990:0x0041f9a2, WM_bool_as_string
0x0041f9b0:0x0041f9b2, wm_block_splash_refreshmenu
0x0041f9c0:0x0041f9c6, wm_search_menu_exec
0x0041f9d0:0x0041f9d8, wm_revert_mainfile_poll
0x0041f9e0:0x0041f9f4, memory_statistics_exec
0x0041fa00:0x0041fa17, WM_operator_winactive
0x0041fa20:0x0041fa57, wm_operator_winactive_normal
0x0041fa60:0x0041fa8b, wm_userpref_autoexec_add_exec
0x0041fa90:0x0041fbda, WM_menu_invoke
0x0041fbe0:0x0041fbfb, wm_search_menu_invoke
0x0041fc00:0x0041fc1a, wm_splash_invoke
0x0041fc20:0x0041fd8f, wm_enum_search_menu
0x0041fd90:0x0041fdd1, wm_operator_ui_popup_cancel
0x0041fde0:0x0041fe89, wm_operator_ui_create
0x0041fe90:0x0041feb4, wm_operator_ui_popup_ok
0x0041fec0:0x00420011, wm_block_dialog_create
0x00420020:0x00420052, dialog_exec_cb
0x00420060:0x00420065, wm_block_splash_close
0x00420070:0x0042070d, radial_control_paint_cursor
0x004207c0:0x0042081e, wm_call_pie_menu_exec
0x00420820:0x00420877, wm_call_pie_menu_invoke
0x00420880:0x004208d8, wm_call_menu_exec
0x004208e0:0x00420a49, wm_block_search_menu
0x00420a50:0x00420e78, wm_block_create_splash
0x00420e80:0x00420ed7, wm_debug_menu_exec
0x00420ee0:0x00420f1a, dependency_relations_exec
0x00420f20:0x00420fa8, blend_save_check
0x00420fb0:0x0042101d, wm_recover_auto_save_invoke
0x00421020:0x004210fb, wm_link_append_invoke
0x00421100:0x00421178, wm_open_mainfile_ui
0x00421180:0x00421236, wm_open_mainfile_check
0x00421240:0x00421370, wm_open_mainfile_exec
0x00421370:0x00421384, wm_exit_blender_exec
0x00421390:0x004213ca, wm_userpref_autoexec_remove_exec
0x004213d0:0x00421403, wm_macro_cancel
0x00421410:0x00421446, dialog_check_cb
0x00421450:0x004218c3, wm_link_append_exec
0x004218d0:0x00421aa3, radial_control_get_path
0x00421ab0:0x00421b13, wm_search_menu_poll
0x00421b20:0x00421b41, wm_link_append_poll
0x00421b50:0x00421d66, wm_save_as_mainfile_exec
0x00421d70:0x00421e05, wm_open_mainfile_invoke
0x00421e10:0x00421eac, wm_recover_auto_save_exec
0x00421eb0:0x00421f45, wm_revert_mainfile_exec
0x00421f50:0x00421ff0, operatortype_ghash_free_cb
0x00421ff0:0x004220a4, radial_control_cancel
0x004220c0:0x004224d5, redraw_timer_exec
0x004224e0:0x00422550, wm_debug_menu_invoke
0x00422550:0x004225a2, wm_block_redo_cancel_cb
0x004225b0:0x00422624, wm_block_redo_cb
0x00422630:0x0042273e, wm_macro_exec
0x00422740:0x00422821, wm_macro_invoke_internal
0x00422830:0x00422880, wm_macro_invoke
0x00422880:0x00422a98, wm_macro_modal
0x00422aa0:0x00423191, radial_control_modal
0x004231a0:0x004232c1, wm_save_as_mainfile_invoke
0x004232d0:0x004233f6, wm_operator_defaults_exec
0x00423400:0x004234d5, WM_operator_confirm
0x004234e0:0x00423696, wm_block_create_redo
0x004236a0:0x004238f5, wm_save_mainfile_invoke_0
0x00423900:0x0042393c, wm_save_mainfile_invoke
0x00423940:0x0042406c, radial_control_invoke
0x00424070:0x0042416a, WM_operatortype_find
0x00424170:0x0042417c, WM_operatortype_iter
0x00424180:0x0042423a, WM_operatortype_append
0x00424240:0x004242ca, WM_operatortype_append_ptr
0x004242d0:0x004244c4, WM_operatortype_append_macro
0x004244d0:0x0042459a, WM_operatortype_append_macro_ptr
0x004245a0:0x00424655, WM_operatortype_remove_ptr
0x00424660:0x0042475a, WM_operatortype_remove
0x00424760:0x004247e1, WM_operatortype_last_properties_clear_all
0x004247f0:0x00424878, WM_operator_py_idname
0x00424880:0x0042491a, WM_operator_bl_idname
0x00424920:0x00424c1f, WM_operator_pystring_ex
0x00424c20:0x00424c33, WM_operator_pystring
0x00424c40:0x00424d3a, WM_operator_pystring_abbreviate
0x00424d40:0x004250d5, WM_prop_pystring_assign
0x004250e0:0x004250f0, WM_operator_properties_create_ptr
0x004250f0:0x0042520a, WM_operator_properties_create
0x00425210:0x004253a8, WM_operator_properties_alloc
0x004253b0:0x00425553, WM_operator_properties_sanitize
0x00425560:0x0042581a, WM_operatortype_macro_define
0x00425820:0x004259bd, WM_operator_properties_default
0x004259c0:0x00425a82, WM_operator_properties_reset
0x00425a90:0x00425aa2, WM_operator_properties_clear
0x00425ab0:0x00425ae2, WM_operator_properties_free
0x00425af0:0x00425c3a, WM_operator_view3d_unit_defaults
0x00425c40:0x00425c57, WM_operator_smooth_viewtx_get
0x00425c60:0x00425c7b, WM_enum_search_invoke
0x00425c80:0x00425d6f, WM_operator_confirm_message_ex
0x00425d70:0x00425e4d, WM_operator_confirm_message
0x00425e50:0x00425e93, WM_operator_filesel
0x00425ea0:0x00425f2f, WM_operator_filesel_ensure_ext_imtype
0x00425f30:0x004262f6, WM_operator_properties_filesel
0x00426300:0x00426321, WM_operator_properties_select_action
0x00426330:0x00426351, WM_operator_properties_select_action_simple
0x00426360:0x00426381, WM_operator_properties_select_all
0x00426390:0x004264a9, WM_operator_properties_border
0x004264b0:0x00426506, WM_operator_properties_border_to_rcti
0x00426510:0x0042659a, WM_operator_properties_border_to_rctf
0x004265a0:0x0042661c, WM_operator_properties_gesture_border
0x00426620:0x0042669d, WM_operator_properties_mouse_select
0x004266a0:0x00426811, WM_operator_properties_gesture_straightline
0x00426820:0x00426873, WM_operator_check_ui_enabled
0x00426880:0x004268c2, WM_operator_last_redo
0x004268d0:0x0042692d, WM_operator_ui_popup
0x00426930:0x004269c3, WM_operator_props_popup_confirm
0x004269d0:0x00426b42, WM_operator_props_popup_call
0x00426b50:0x00426c4b, WM_operator_props_popup
0x00426c50:0x00426cb0, WM_operator_props_dialog_popup
0x00426cb0:0x00426d5b, WM_operator_redo_popup
0x00426d60:0x00426e47, WM_recover_last_session
0x00426e50:0x00426e67, wm_recover_last_session_exec
0x00426e70:0x00426ebe, WM_paint_cursor_activate
0x00426ec0:0x00426f09, WM_paint_cursor_end
0x00426f10:0x00426f70, WM_border_select_invoke
0x00426f70:0x0042728b, WM_border_select_modal
0x00427290:0x004272f7, WM_border_select_cancel
0x00427300:0x0042733c, WM_gesture_circle_invoke
0x00427340:0x0042766f, WM_gesture_circle_modal
0x00427670:0x004276d7, WM_gesture_circle_cancel
0x004276e0:0x004278d4, wm_tweakevent_test
0x004278e0:0x00427951, WM_gesture_lasso_invoke
0x00427960:0x004279d1, WM_gesture_lines_invoke
0x004279e0:0x00427ca0, WM_gesture_lasso_modal
0x00427ca0:0x00427f60, WM_gesture_lines_modal
0x00427f60:0x00427fc7, WM_gesture_lasso_cancel
0x00427fd0:0x00428037, WM_gesture_lines_cancel
0x00428040:0x00428195, WM_gesture_lasso_path_to_array
0x004281a0:0x00428211, WM_gesture_straightline_invoke
0x00428220:0x0042850f, WM_gesture_straightline_modal
0x00428510:0x00428577, WM_gesture_straightline_cancel
0x00428580:0x004285a7, wm_operatortype_free
0x004285b0:0x00429f7d, wm_operatortype_init
0x00429f80:0x0042ad71, wm_window_keymap
0x0042ad80:0x0042aeca, RNA_action_itemf
0x0042aed0:0x0042b01a, RNA_group_itemf
0x0042b020:0x0042b17a, RNA_group_local_itemf
0x0042b180:0x0042b2ca, RNA_image_itemf
0x0042b2d0:0x0042b42a, RNA_image_local_itemf
0x0042b430:0x0042b57a, RNA_scene_itemf
0x0042b580:0x0042b6da, RNA_scene_local_itemf
0x0042b6e0:0x0042b82a, RNA_movieclip_itemf
0x0042b830:0x0042b98a, RNA_movieclip_local_itemf
0x0042b990:0x0042bada, RNA_mask_itemf
0x0042bae0:0x0042bc3a, RNA_mask_local_itemf
0x0042bc40:0x0042bccd, wmSubWindowScissorSet_0
0x0042bdc0:0x0042bde4, wm_subwindows_free
0x0042bdf0:0x0042be03, wm_subwindow_get_id
0x0042be10:0x0042be52, wm_subwindow_size_get
0x0042be60:0x0042be92, wm_subwindow_origin_get
0x0042bea0:0x0042bf40, wm_subwindow_matrix_get
0x0042bf40:0x0042bf72, wm_subwindow_rect_get
0x0042bf80:0x0042bfb2, wm_subwindow_rect_set
0x0042bfc0:0x0042c0d9, wm_subwindow_open
0x0042c130:0x0042c19d, wm_subwindow_close
0x0042c1a0:0x0042c331, wm_subwindow_position
0x0042c340:0x0042c4dd, wmSubWindowScissorSet
0x0042c510:0x0042c515, wmSubWindowSet
0x0042c520:0x0042c552, wmFrustum
0x0042c5b0:0x0042c5e2, wmOrtho
0x0042c640:0x0042c6dd, wmOrtho2
0x0042c6e0:0x0042c77c, wmOrtho2_region_pixelspace
0x0042c7d0:0x0042c848, wmOrtho2_pixelspace
0x0042c8a0:0x0042c936, wmOrtho2_region_ui
0x0042c980:0x0042ca54, index_to_framebuffer
0x0042ca60:0x0042cb38, WM_framebuffer_index_set
0x0042cb40:0x0042cc39, WM_framebuffer_to_index
0x0042cc40:0x0042cd16, wm_window_title_0
0x0042cd20:0x0042cd78, wm_get_screensize
0x0042cd80:0x0042cdd8, wm_get_desktopsize
0x0042cde0:0x0042cfd4, wm_window_free
0x0042cfe0:0x0042d04e, wm_window_new
0x0042d050:0x0042d142, wm_window_copy
0x0042d150:0x0042d270, wm_window_close
0x0042d270:0x0042ddb1, ghost_event_proc_0
0x0042ddc0:0x0042dde2, wm_window_title
0x0042ddf0:0x0042de0f, wm_window_pixelsize
0x0042de10:0x0042e1b1, wm_window_add_ghostwindows
0x0042e1c0:0x0042e27a, WM_window_open
0x0042e280:0x0042e5a3, WM_window_open_temp
0x0042e5b0:0x0042e6da, wm_window_duplicate_exec
0x0042e6e0:0x0042e736, wm_window_fullscreen_toggle_exec
0x0042e740:0x0042e7c2, wm_get_cursor_position
0x0042e7d0:0x0042e842, wm_window_make_drawable
0x0042e850:0x0042ea84, wm_window_process_events
0x0042ea90:0x0042eac0, wm_window_process_events_nosleep
0x0042eac0:0x0042eb24, wm_window_testbreak
0x0042eb30:0x0042eb7e, wm_ghost_init
0x0042eb80:0x0042ebb4, wm_ghost_exit
0x0042ebc0:0x0042ebf8, WM_event_timer_sleep
0x0042ec00:0x0042ec74, WM_event_add_timer
0x0042ec80:0x0042ed57, WM_event_remove_timer
0x0042ed60:0x0042ee0d, WM_clipboard_text_get
0x0042ee10:0x0042eedc, WM_clipboard_text_get_firstline
0x0042eee0:0x0042eef9, WM_clipboard_text_set
0x0042ef00:0x0042ef09, WM_progress_set
0x0042ef10:0x0042ef19, WM_progress_clear
0x0042ef20:0x0042ef2d, wm_window_get_position
0x0042ef30:0x0042ef39, wm_window_set_size
0x0042ef40:0x0042ef4e, wm_window_lower
0x0042ef50:0x0042ef5b, wm_window_raise
0x0042ef60:0x0042ef69, wm_window_swap_buffers
0x0042ef70:0x0042ef79, wm_window_set_swap_interval
0x0042ef80:0x0042ef92, wm_window_get_swap_interval
0x0042efa0:0x0042efdc, WM_init_state_size_set
0x0042efe0:0x0042eff2, WM_init_state_fullscreen_set
0x0042f000:0x0042f012, WM_init_state_normal_set
0x0042f020:0x0042f028, WM_init_native_pixels
0x0042f030:0x0042f0dd, WM_cursor_warp
0x0042f0e0:0x0042f10a, WM_cursor_pressure
0x0042f110:0x0042f133, WM_window_pixels_x
0x0042f140:0x0042f163, WM_window_pixels_y
0x0042f170:0x0042f179, WM_window_is_fullscreen
0x0042f180:0x0042f182, xxx_init
0x0042f190:0x0042f193, xxx_duplicate
0x0042f1a0:0x0042f1a2, xxx_operatortypes
0x0042f1b0:0x0042f1b2, xxx_keymap
0x0042f1c0:0x0042f1c3, xxx_new
0x0042f1d0:0x0042f1d2, xxx_free
0x0042f1e0:0x0042f2dc, ED_spacetypes_init
0x0042f2e0:0x0042f348, ED_spacemacros_init
0x0042f350:0x0042f424, ED_spacetypes_keymap
0x0042f430:0x0042f47b, ED_region_draw_cb_activate
0x0042f480:0x0042f4c6, ED_region_draw_cb_exit
0x0042f4d0:0x0042f4d5, ED_region_draw_cb_customdata
0x0042f4e0:0x0042f535, ED_region_draw_cb_draw
0x0042f540:0x0042f596, ED_spacetype_xxx
0x0042f5a0:0x0042f8f3, draw_channel_names
0x0042f900:0x0043039d, draw_channel_strips
0x004303a0:0x0043048c, act_new_exec
0x00430490:0x00430574, act_markers_make_local_exec
0x00430580:0x00430595, actkeys_framejump_poll
0x004305a0:0x004308bf, actkeys_viewall_exec
0x004308c0:0x00430a76, actkeys_insertkey_exec
0x00430a80:0x00430ba3, actkeys_duplicate_exec
0x00430bb0:0x00430cc4, actkeys_clean_exec
0x00430cd0:0x00430dbc, actkeys_sample_exec
0x00430dc0:0x00430f4d, actkeys_expo_exec
0x00430f50:0x0043106c, actkeys_ipo_exec
0x00431070:0x004311c4, actkeys_handletype_exec
0x004311d0:0x004312e4, actkeys_keytype_exec
0x004312f0:0x00431495, actkeys_framejump_exec
0x004314a0:0x004316fe, actkeys_snap_exec
0x00431700:0x004318fb, actkeys_mirror_exec
0x00431900:0x00431954, act_markers_make_local_poll
0x00431960:0x00431a72, actkeys_copy_exec
0x00431a80:0x00431bc3, actkeys_paste_exec
0x00431bd0:0x00431d56, actkeys_delete_exec
0x00431d60:0x00431e78, actkeys_duplicate_invoke
0x00431e80:0x00432179, actkeys_previewrange_exec
