0x004030f0:0x0040313e, __cxx_global_var_init
0x004064d0:0x004064db, _GLOBAL__sub_I_DatatypeValidatorFactory.cpp
0x004064e0:0x004064f5, __cxx_global_var_init_17
0x00406500:0x0040650b, _GLOBAL__sub_I_DeepNodeListImpl.cpp
0x00406510:0x00406525, __cxx_global_var_init_18
0x00406530:0x0040653b, _GLOBAL__sub_I_DocumentFragmentImpl.cpp
0x00406540:0x00406555, __cxx_global_var_init_19
0x00406560:0x0040656b, _GLOBAL__sub_I_DocumentImpl.cpp
0x00406570:0x004065be, __cxx_global_var_init_20
0x004065c0:0x004065cb, _GLOBAL__sub_I_ElemApplyTemplates.cpp
0x004065d0:0x0040661e, __cxx_global_var_init_21
0x00406620:0x0040662b, _GLOBAL__sub_I_ElemDecimalFormat.cpp
0x00406630:0x0040667e, __cxx_global_var_init_22
0x00406680:0x004066ce, __cxx_global_var_init.3_2
0x004066d0:0x0040671e, __cxx_global_var_init.4_2
0x00406720:0x0040676e, __cxx_global_var_init.15_0
0x00406770:0x0040678a, _GLOBAL__sub_I_ElemNumber.cpp
0x00406790:0x004067de, __cxx_global_var_init_23
0x004067e0:0x004067eb, _GLOBAL__sub_I_ElemTemplate.cpp
0x004067f0:0x0040683e, __cxx_global_var_init_24
0x00406840:0x004068a1, __cxx_global_var_init.1_6
0x004068b0:0x004068c0, _GLOBAL__sub_I_ElemTemplateElement.cpp
0x004068c0:0x004068d5, __cxx_global_var_init_25
0x004068e0:0x004068eb, _GLOBAL__sub_I_ElementImpl.cpp
0x004068f0:0x00406905, __cxx_global_var_init_26
0x00406910:0x00406925, __cxx_global_var_init.1_7
0x00406930:0x00406940, _GLOBAL__sub_I_EncodingValidator.cpp
0x00406940:0x0040698e, __cxx_global_var_init_27
0x00406990:0x0040699b, _GLOBAL__sub_I_FormatterListener.cpp
0x004069a0:0x004069ee, __cxx_global_var_init_28
0x004069f0:0x004069fb, _GLOBAL__sub_I_FormatterToDOM.cpp
0x00406a00:0x00406a4e, __cxx_global_var_init_29
0x00406a50:0x00406a5b, _GLOBAL__sub_I_FormatterToHTML.cpp
0x00406a60:0x00406aae, __cxx_global_var_init_30
0x00406ab0:0x00406abb, _GLOBAL__sub_I_FormatterToXercesDOM.cpp
0x00406ac0:0x00406b0e, __cxx_global_var_init_31
0x00406b10:0x00406b1b, _GLOBAL__sub_I_FunctionGenerateID.cpp
0x00406b20:0x00406b6e, __cxx_global_var_init_32
0x00406b70:0x00406b7b, _GLOBAL__sub_I_FunctionLang.cpp
0x00406b80:0x00406bce, __cxx_global_var_init_33
0x00406bd0:0x00406bdb, _GLOBAL__sub_I_FunctionNamespaceURI.cpp
0x00406be0:0x00406c32, __cxx_global_var_init_34
0x00406c40:0x00406c8e, __cxx_global_var_init.1_8
0x00406c90:0x00406ca0, _GLOBAL__sub_I_FunctionSubstring.cpp
0x00406ca0:0x00406cee, __cxx_global_var_init_35
0x00406cf0:0x00406cfb, _GLOBAL__sub_I_FunctionSubstringAfter.cpp
0x00406d00:0x00406d4e, __cxx_global_var_init_36
0x00406d50:0x00406d5b, _GLOBAL__sub_I_FunctionSubstringBefore.cpp
0x00406d60:0x00406dae, __cxx_global_var_init_37
0x00406db0:0x00406dbb, _GLOBAL__sub_I_FunctionSystemProperty.cpp
0x00406dc0:0x00406dd5, __cxx_global_var_init_38
0x00406de0:0x00406deb, _GLOBAL__sub_I_GeneralAttributeCheck.cpp
0x00406df0:0x00406e33, __cxx_global_var_init_39
0x00406e40:0x00406e4b, _GLOBAL__sub_I_InMemHandler.cpp
0x00406e50:0x00406e9e, __cxx_global_var_init_40
0x00406ea0:0x00406eee, __cxx_global_var_init.1_9
0x00406ef0:0x00406f00, _GLOBAL__sub_I_KeyTable.cpp
0x00406f00:0x00406f4e, __cxx_global_var_init_41
0x00406f50:0x00406f5b, _GLOBAL__sub_I_NamespacesHandler.cpp
0x00406f60:0x00406f75, __cxx_global_var_init_42
0x00406f80:0x00406f8b, _GLOBAL__sub_I_NodeImpl.cpp
0x00406f90:0x00406fde, __cxx_global_var_init_43
0x00406fe0:0x00406feb, _GLOBAL__sub_I_NodeSortKey.cpp
0x00406ff0:0x00407036, __cxx_global_var_init_44
0x00407040:0x0040704b, _GLOBAL__sub_I_PlatformUtils.cpp
0x00407050:0x00407065, __cxx_global_var_init_45
0x00407070:0x00407085, __cxx_global_var_init.1_10
0x00407090:0x004070a0, _GLOBAL__sub_I_RangeTokenMap.cpp
0x004070a0:0x004070b5, __cxx_global_var_init_46
0x004070c0:0x004070cb, _GLOBAL__sub_I_RegularExpression.cpp
0x004070d0:0x00407113, __cxx_global_var_init_47
0x00407120:0x0040712b, _GLOBAL__sub_I_SAX2Handler.cpp
0x00407130:0x00407173, __cxx_global_var_init_48
0x00407180:0x0040718b, _GLOBAL__sub_I_StdBinInputStream.cpp
0x00407190:0x004071de, __cxx_global_var_init_49
0x004071e0:0x00407226, __cxx_global_var_init.1_11
0x00407230:0x00407240, _GLOBAL__sub_I_Stylesheet.cpp
0x00407240:0x00407286, __cxx_global_var_init_50
0x00407290:0x004072a3, __cxx_global_var_init.1_12
0x004072b0:0x004072f6, __cxx_global_var_init.2_3
0x00407300:0x0040734e, __cxx_global_var_init.3_3
0x00407350:0x0040739e, __cxx_global_var_init.4_3
0x004073a0:0x004073bf, _GLOBAL__sub_I_StylesheetExecutionContextDefault.cpp
0x004073c0:0x0040740e, __cxx_global_var_init_51
0x00407410:0x0040741b, _GLOBAL__sub_I_StylesheetHandler.cpp
0x00407420:0x00407435, __cxx_global_var_init_52
0x00407440:0x0040744b, _GLOBAL__sub_I_TextImpl.cpp
0x00407450:0x00407465, __cxx_global_var_init_53
0x00407470:0x00407485, __cxx_global_var_init.1_13
0x00407490:0x004074a0, _GLOBAL__sub_I_TransService.cpp
0x004074a0:0x004074b5, __cxx_global_var_init_54
0x004074c0:0x004074cb, _GLOBAL__sub_I_XMLDeclImpl.cpp
0x004074d0:0x004074e5, __cxx_global_var_init_55
0x004074f0:0x00407505, __cxx_global_var_init.1_14
0x00407510:0x00407520, _GLOBAL__sub_I_XMLException.cpp
0x00407520:0x00407535, __cxx_global_var_init_56
0x00407540:0x00407555, __cxx_global_var_init.1_15
0x00407560:0x00407570, _GLOBAL__sub_I_XMLScanner.cpp
0x00407570:0x00407585, __cxx_global_var_init_57
0x00407590:0x004075a5, __cxx_global_var_init.1_16
0x004075b0:0x004075c0, _GLOBAL__sub_I_XMLValidator.cpp
0x004075c0:0x0040760e, __cxx_global_var_init_58
0x00407610:0x0040761b, _GLOBAL__sub_I_XNull.cpp
0x00407620:0x0040766e, __cxx_global_var_init_59
0x00407670:0x004076be, __cxx_global_var_init.1_17
0x004076c0:0x0040770e, __cxx_global_var_init.2_4
0x00407710:0x0040775e, __cxx_global_var_init.3_4
0x00407760:0x004077ae, __cxx_global_var_init.4_4
0x004077b0:0x004077fe, __cxx_global_var_init.5_2
0x00407800:0x0040784e, __cxx_global_var_init.6_2
0x00407850:0x0040789e, __cxx_global_var_init.7_2
0x004078a0:0x004078ee, __cxx_global_var_init.8_2
0x004078f0:0x00407923, _GLOBAL__sub_I_XObject.cpp
0x00407930:0x0040797e, __cxx_global_var_init_60
0x00407980:0x0040798b, _GLOBAL__sub_I_XObjectResultTreeFragProxyBase.cpp
0x00407990:0x004079de, __cxx_global_var_init_61
0x004079e0:0x00407a2e, __cxx_global_var_init.1_18
0x00407a30:0x00407a40, _GLOBAL__sub_I_XObjectResultTreeFragProxyText.cpp
0x00407a40:0x00407a8e, __cxx_global_var_init_62
0x00407a90:0x00407ad8, __cxx_global_var_init.7_3
0x00407ae0:0x00407af0, _GLOBAL__sub_I_XPath.cpp
0x00407af0:0x00407b33, __cxx_global_var_init_63
0x00407b40:0x00407ba2, __cxx_global_var_init.1_19
0x00407bb0:0x00407bfe, __cxx_global_var_init.2_5
0x00407c00:0x00407c15, _GLOBAL__sub_I_XPathEnvSupportDefault.cpp
0x00407c20:0x00407c6e, __cxx_global_var_init_64
0x00407c70:0x00407c7b, _GLOBAL__sub_I_XPathExecutionContextDefault.cpp
0x00407c80:0x00407cce, __cxx_global_var_init_65
0x00407cd0:0x00407cdb, _GLOBAL__sub_I_XPathExpression.cpp
0x00407ce0:0x00407d2e, __cxx_global_var_init_66
0x00407d30:0x00407d3b, _GLOBAL__sub_I_XPathProcessorImpl.cpp
0x00407d40:0x00407d55, __cxx_global_var_init_67
0x00407d60:0x00407d75, __cxx_global_var_init.1_20
0x00407d80:0x00407d95, __cxx_global_var_init.2_6
0x00407da0:0x00407db5, _GLOBAL__sub_I_XSDErrorReporter.cpp
0x00407dc0:0x00407e0e, __cxx_global_var_init_68
0x00407e10:0x00407e5e, __cxx_global_var_init.11_1
0x00407e60:0x00407eae, __cxx_global_var_init.12_0
0x00407eb0:0x00407efe, __cxx_global_var_init.13_0
0x00407f00:0x00407f4e, __cxx_global_var_init.14_0
0x00407f50:0x00407f9e, __cxx_global_var_init.15_1
0x00407fa0:0x00407fee, __cxx_global_var_init.16_0
0x00407ff0:0x0040803e, __cxx_global_var_init.17_0
0x00408040:0x0040808e, __cxx_global_var_init.18_0
0x00408090:0x004080de, __cxx_global_var_init.19_0
0x004080e0:0x0040812e, __cxx_global_var_init.20_0
0x00408130:0x0040817e, __cxx_global_var_init.21_0
0x00408180:0x004081c2, _GLOBAL__sub_I_XSLTEngineImpl.cpp
0x004081d0:0x004081e5, __cxx_global_var_init_69
0x004081f0:0x00408205, __cxx_global_var_init.1_21
0x00408210:0x00408225, __cxx_global_var_init.2_7
0x00408230:0x00408245, _GLOBAL__sub_I_XSValue.cpp
0x00408250:0x0040829e, __cxx_global_var_init_70
0x004082a0:0x004082ab, _GLOBAL__sub_I_XToken.cpp
0x004082b0:0x004082fe, __cxx_global_var_init_71
0x00408300:0x0040830b, _GLOBAL__sub_I_XUnknown.cpp
0x00408310:0x0040835e, __cxx_global_var_init_72
0x00408360:0x0040836b, _GLOBAL__sub_I_XalanDOMStringPool.cpp
0x00408370:0x004083b3, __cxx_global_var_init_73
0x004083c0:0x004083cb, _GLOBAL__sub_I_XalanDiagnosticMemoryManager.cpp
0x004083d0:0x00408416, __cxx_global_var_init_74
0x00408420:0x00408473, __cxx_global_var_init.1_22
0x00408480:0x00408490, _GLOBAL__sub_I_XalanEXSLTCommon.cpp
0x00408490:0x004084d6, __cxx_global_var_init_75
0x004084e0:0x004084eb, _GLOBAL__sub_I_XalanEXSLTDateTime.cpp
0x004084f0:0x00408536, __cxx_global_var_init_76
0x00408540:0x0040854b, _GLOBAL__sub_I_XalanEXSLTDynamic.cpp
0x00408550:0x00408596, __cxx_global_var_init_77
0x004085a0:0x004085e6, __cxx_global_var_init.1_23
0x004085f0:0x00408636, __cxx_global_var_init.2_8
0x00408640:0x00408686, __cxx_global_var_init.3_5
0x00408690:0x004086d6, __cxx_global_var_init.4_5
0x004086e0:0x00408726, __cxx_global_var_init.5_3
0x00408730:0x00408776, __cxx_global_var_init.6_3
0x00408780:0x004087c6, __cxx_global_var_init.7_4
0x004087d0:0x00408816, __cxx_global_var_init.8_3
0x00408820:0x00408866, __cxx_global_var_init.9_1
0x00408870:0x004088b6, __cxx_global_var_init.10_1
0x004088c0:0x00408906, __cxx_global_var_init.11_2
0x00408910:0x00408956, __cxx_global_var_init.12_1
0x00408960:0x004089a6, __cxx_global_var_init.13_1
0x004089b0:0x004089f6, __cxx_global_var_init.14_1
0x00408a00:0x00408a46, __cxx_global_var_init.15_2
0x00408a50:0x00408a96, __cxx_global_var_init.16_1
0x00408aa0:0x00408ae6, __cxx_global_var_init.17_1
0x00408af0:0x00408b50, _GLOBAL__sub_I_XalanEXSLTMath.cpp
0x00408b50:0x00408b96, __cxx_global_var_init_78
0x00408ba0:0x00408be6, __cxx_global_var_init.1_24
0x00408bf0:0x00408c36, __cxx_global_var_init.2_9
0x00408c40:0x00408c86, __cxx_global_var_init.3_6
0x00408c90:0x00408cd6, __cxx_global_var_init.4_6
0x00408ce0:0x00408d26, __cxx_global_var_init.5_4
0x00408d30:0x00408d54, _GLOBAL__sub_I_XalanEXSLTSet.cpp
0x00408d60:0x00408dae, __cxx_global_var_init_79
0x00408db0:0x00408df6, __cxx_global_var_init.1_25
0x00408e00:0x00408e46, __cxx_global_var_init.2_10
0x00408e50:0x00408ea3, __cxx_global_var_init.3_7
0x00408eb0:0x00408ef6, __cxx_global_var_init.4_7
0x00408f00:0x00408f46, __cxx_global_var_init.5_5
0x00408f50:0x00408f74, _GLOBAL__sub_I_XalanEXSLTString.cpp
0x00408f80:0x00408fc3, __cxx_global_var_init_80
0x00408fd0:0x00408fdb, _GLOBAL__sub_I_XalanExe.cpp
0x00408fe0:0x00409026, __cxx_global_var_init_81
0x00409030:0x00409076, __cxx_global_var_init.1_26
0x00409080:0x004090c6, __cxx_global_var_init.2_11
0x004090d0:0x00409116, __cxx_global_var_init.3_8
0x00409120:0x00409166, __cxx_global_var_init.4_8
0x00409170:0x004091bb, __cxx_global_var_init.5_6
0x004091c0:0x004091e4, _GLOBAL__sub_I_XalanExtensions.cpp
0x004091f0:0x00409233, __cxx_global_var_init_82
0x00409240:0x0040928e, __cxx_global_var_init.1_27
0x00409290:0x004092a0, _GLOBAL__sub_I_XalanFileUtility.cpp
0x004092a0:0x004092e6, __cxx_global_var_init_83
0x004092f0:0x004092fb, _GLOBAL__sub_I_XalanMemoryManagement.cpp
0x00409300:0x0040934e, __cxx_global_var_init_84
0x00409350:0x0040935b, _GLOBAL__sub_I_XalanQName.cpp
0x00409360:0x004093ae, __cxx_global_var_init_85
0x004093b0:0x004093bb, _GLOBAL__sub_I_XalanSourceTreeAttr.cpp
0x004093c0:0x0040940e, __cxx_global_var_init_86
0x00409410:0x0040945e, __cxx_global_var_init.1_28
0x00409460:0x00409470, _GLOBAL__sub_I_XalanSourceTreeComment.cpp
0x00409470:0x004094be, __cxx_global_var_init_87
0x004094c0:0x004094cb, _GLOBAL__sub_I_XalanSourceTreeDOMSupport.cpp
0x004094d0:0x0040951e, __cxx_global_var_init_88
0x00409520:0x0040956e, __cxx_global_var_init.1_29
0x00409570:0x00409580, _GLOBAL__sub_I_XalanSourceTreeDocument.cpp
0x00409580:0x004095ce, __cxx_global_var_init_89
0x004095d0:0x004095db, _GLOBAL__sub_I_XalanSourceTreeDocumentFragment.cpp
0x004095e0:0x0040962e, __cxx_global_var_init_90
0x00409630:0x0040963b, _GLOBAL__sub_I_XalanSourceTreeElement.cpp
0x00409640:0x0040968e, __cxx_global_var_init_91
0x00409690:0x0040969b, _GLOBAL__sub_I_XalanSourceTreeElementA.cpp
0x004096a0:0x004096e6, __cxx_global_var_init_92
0x004096f0:0x004096fb, _GLOBAL__sub_I_XalanSourceTreeElementNA.cpp
0x00409700:0x0040974e, __cxx_global_var_init_93
0x00409750:0x0040975b, _GLOBAL__sub_I_XalanSourceTreeProcessingInstruction.cpp
0x00409760:0x004097ae, __cxx_global_var_init_94
0x004097b0:0x004097fe, __cxx_global_var_init.1_30
0x00409800:0x00409810, _GLOBAL__sub_I_XalanSourceTreeText.cpp
0x00409810:0x00409853, __cxx_global_var_init_95
0x00409860:0x0040986b, _GLOBAL__sub_I_XalanStdOutputStream.cpp
0x00409870:0x004098b3, __cxx_global_var_init_96
0x004098c0:0x004098cb, _GLOBAL__sub_I_XalanTransformer.cpp
0x004098d0:0x0040991e, __cxx_global_var_init_97
0x00409920:0x0040996e, __cxx_global_var_init.2_12
0x00409970:0x004099be, __cxx_global_var_init.3_9
0x004099c0:0x00409a0e, __cxx_global_var_init.4_9
0x00409a10:0x00409a2a, _GLOBAL__sub_I_XalanXMLSerializerBase.cpp
0x00409a30:0x00409a7e, __cxx_global_var_init_98
0x00409a80:0x00409a8b, _GLOBAL__sub_I_XalanXPathException.cpp
0x00409a90:0x00409ad3, __cxx_global_var_init_99
0x00409ae0:0x00409aeb, _GLOBAL__sub_I_XercesParserLiaison.cpp
0x00409af0:0x00409b3e, __cxx_global_var_init_100
0x00409b40:0x00409b4b, _GLOBAL__sub_I_XercesWrapperNavigator.cpp
0x00409b50:0x00409b7a, _start
0x00409b80:0x00409bb2, deregister_tm_clones
0x00409bc0:0x00409bfa, register_tm_clones
0x00409c00:0x00409c1c, __do_global_dtors_aux
0x00409c20:0x00409c46, frame_dummy
0x00409c50:0x00409c73, _Z7stricmpPKcS0_
0x00409c80:0x00409cc7, _Z8strnicmpPKcS0_j
0x00409cd0:0x00409cd8, _ZN11xercesc_2_716XMLPlatformUtils15makeNetAccessorEv
0x00409ce0:0x00409e00, _ZN11xercesc_2_716XMLPlatformUtils11loadAMsgSetEPKt
0x00409e00:0x00409e53, _ZN11xercesc_2_716XMLPlatformUtils5panicENS_12PanicHandler12PanicReasonsE
0x00409e60:0x00409ec6, _ZN11xercesc_2_716XMLPlatformUtils16makeTransServiceEv
0x00409ed0:0x00409f7c, _ZN11xercesc_2_716XMLPlatformUtils10curFilePosEPvPNS_13MemoryManagerE
0x00409f80:0x0040a023, _ZN11xercesc_2_716XMLPlatformUtils9closeFileEPvPNS_13MemoryManagerE
0x0040a030:0x0040a282, _ZN11xercesc_2_716XMLPlatformUtils8fileSizeEPvPNS_13MemoryManagerE
0x0040a290:0x0040a344, _ZN11xercesc_2_716XMLPlatformUtils8openFileEPKtPNS_13MemoryManagerE
0x0040a350:0x0040a3a4, _ZN11xercesc_2_716XMLPlatformUtils8openFileEPKcPNS_13MemoryManagerE
0x0040a3b0:0x0040a431, _ZN11xercesc_2_716XMLPlatformUtils15openFileToWriteEPKtPNS_13MemoryManagerE
0x0040a440:0x0040a46c, _ZN11xercesc_2_716XMLPlatformUtils15openFileToWriteEPKcPNS_13MemoryManagerE
