0x00402520:0x00402540, _ZN21POVMS_MessageReceiver17FunctionHandlerOO4CallER13POVMS_MessageS2_i.part.0
0x004040a0:0x004040f2, _ZN3pov15Scale_SkysphereEPNS_16Skysphere_StructEPd
0x00404100:0x00404152, _ZN3pov19Translate_SkysphereEPNS_16Skysphere_StructEPd
0x00404160:0x004041d6, _ZN3povL9compboxesEPKvS1_
0x004041e0:0x004042e8, _ZN3povL9calc_bboxEPNS_19Bounding_Box_StructEPPNS_16BBox_Tree_StructEll
0x004042f0:0x004043ca, _ZN3povL16build_area_tableEPPNS_16BBox_Tree_StructEllPd
0x004043d0:0x00404469, _ZN3povL16create_bbox_nodeEi
0x00404470:0x0040483f, _ZN3povL14sort_and_splitEPPNS_16BBox_Tree_StructERS2_Plll
0x00404840:0x00404895, _ZN3pov21Create_Priority_QueueEj
0x004048a0:0x004048ba, _ZN3pov20Initialize_BBox_CodeEv
0x004048c0:0x00404902, _ZN3pov22Destroy_Priority_QueueEPNS_21Priority_Queue_StructE
0x00404910:0x00404944, _ZN3pov22Deinitialize_BBox_CodeEv
0x00404950:0x004049ca, _ZN3pov17Destroy_BBox_TreeEPNS_16BBox_Tree_StructE
0x004049d0:0x00404c82, _ZN3pov14Recompute_BBoxEPNS_19Bounding_Box_StructEPNS_16Transform_StructE
0x00404c90:0x00404f42, _ZN3pov22Recompute_Inverse_BBoxEPNS_19Bounding_Box_StructEPNS_16Transform_StructE
0x00404f50:0x004050f1, _ZN3pov15Build_BBox_TreeEPPNS_16BBox_Tree_StructElRS2_lS2_
0x00405100:0x0040543c, _ZN3pov20Build_Bounding_SlabsEPPNS_16BBox_Tree_StructE
0x00405440:0x00405466, _ZN3pov22Destroy_Bounding_SlabsEv
0x00405470:0x00405575, _ZN3pov21Priority_Queue_DeleteEPNS_21Priority_Queue_StructEPdPPNS_16BBox_Tree_StructE
0x00405590:0x004059bb, _ZN3pov17Check_And_EnqueueEPNS_21Priority_Queue_StructEPNS_16BBox_Tree_StructEPNS_19Bounding_Box_StructEPNS_14Rayinfo_StructE
0x004059c0:0x00405aa2, _ZN3pov14Create_RayinfoEPNS_10Ray_StructEPNS_14Rayinfo_StructE
0x00405ab0:0x00405caf, _ZN3pov19Intersect_BBox_TreeEPNS_16BBox_Tree_StructEPNS_10Ray_StructEPNS_10istk_entryEPPNS_13Object_StructEb
0x00405cb0:0x00405d84, _ZN3povL10insert_hitEPNS_24BCyl_Intersection_StructES1_Pi
0x00405d90:0x0040660b, _ZN3pov14Intersect_BCylEPNS_11BCyl_StructEPdS2_
0x00406610:0x00406bf4, _ZN3pov11Create_BCylEiPdS0_S0_S0_
0x00406c00:0x00406cb9, _ZN3pov12Destroy_BCylEPNS_11BCyl_StructE
0x00406cc0:0x00406d3e, _ZN3pov20Write_Benchmark_FileEPKcS1_
0x00406d40:0x00406d46, _ZN3pov21Get_Benchmark_VersionEv
0x00406d50:0x00406dc4, _ZN3povL22spherical_bounds_checkEPNS_10Ray_StructEPdd
0x00406dd0:0x00406e84, _ZN3povL22bezier_bounding_sphereEPA4_A4_A3_dPdS4_
0x00406e90:0x004070d6, _ZN3povL23bezier_split_left_rightEPA4_A4_A3_dS3_S3_
0x004070e0:0x00407317, _ZN3povL20bezier_split_up_downEPA4_A4_A3_dS3_S3_
0x00407320:0x00407323, _ZN3povL20Inside_Bicubic_PatchEPdPNS_13Object_StructE
0x00407330:0x0040734e, _ZN3povL20Bicubic_Patch_NormalEPdPNS_13Object_StructEPNS_10istk_entryE
0x00407350:0x00407352, _ZN3povL20Invert_Bicubic_PatchEPNS_13Object_StructE
0x00407360:0x00407374, _ZN3povL21Bicubic_Patch_UVCoordEPdPNS_13Object_StructEPNS_10istk_entryE
0x00407380:0x004073f1, _ZN3povL18Compute_Texture_UVEPdPA2_dS0_
0x00407400:0x00407482, _ZN3povL19bezier_tree_deleterEPNS_18Bezier_Node_StructE
0x00407490:0x004074eb, _ZN3povL21Destroy_Bicubic_PatchEPNS_13Object_StructE
0x004074f0:0x004078f0, _ZN3povL12bezier_valueEPA4_A4_A3_dddPdS4_
0x004078f0:0x00407ecb, _ZN3povL18intersect_subpatchEPNS_20Bicubic_Patch_StructEPNS_10Ray_StructEPA3_dPdS6_S6_S6_S6_S6_S6_
0x00407ed0:0x0040881b, _ZN3povL27determine_subpatch_flatnessEPA4_A4_A3_d
0x00408820:0x00408df8, _ZN3povL19bezier_tree_builderEPNS_20Bicubic_Patch_StructEPA4_A4_A3_dddddiRi
0x00408e00:0x00409263, _ZN3povL25bezier_subpatch_intersectEPNS_10Ray_StructEPNS_20Bicubic_Patch_StructEPA4_A4_A3_dddddPNS_13istack_structE
0x00409270:0x00409614, _ZN3povL17bezier_subdividerEPNS_10Ray_StructEPNS_20Bicubic_Patch_StructEPA4_A4_A3_dddddiPNS_13istack_structE
0x00409620:0x00409b03, _ZN3povL18bezier_tree_walkerEPNS_10Ray_StructEPNS_20Bicubic_Patch_StructEPNS_18Bezier_Node_StructEPNS_13istack_structE
0x00409b10:0x00409bae, _ZN3povL31All_Bicubic_Patch_IntersectionsEPNS_13Object_StructEPNS_10Ray_StructEPNS_13istack_structE
0x00409bb0:0x00409d4f, _ZN3pov23Precompute_Patch_ValuesEPNS_20Bicubic_Patch_StructE
0x00409d50:0x00409e98, _ZN3pov20Create_Bicubic_PatchEv
0x00409ea0:0x0040a039, _ZN3povL18Copy_Bicubic_PatchEPNS_13Object_StructE
0x0040a040:0x0040a108, _ZN3pov26Compute_Bicubic_Patch_BBoxEPNS_20Bicubic_Patch_StructE
0x0040a110:0x0040a164, _ZN3povL23Transform_Bicubic_PatchEPNS_13Object_StructEPNS_16Transform_StructE
0x0040a170:0x0040a175, _ZN3povL20Rotate_Bicubic_PatchEPNS_13Object_StructEPdPNS_16Transform_StructE
0x0040a180:0x0040a1e6, _ZN3povL19Scale_Bicubic_PatchEPNS_13Object_StructEPdPNS_16Transform_StructE
0x0040a1f0:0x0040a256, _ZN3povL23Translate_Bicubic_PatchEPNS_13Object_StructEPdPNS_16Transform_StructE
0x0040a260:0x0040a265, _ZN3povL11Invert_BlobEPNS_13Object_StructE
0x0040a270:0x0040a3f1, _ZN3povL12Destroy_BlobEPNS_13Object_StructE
0x0040a400:0x0040a484, _ZN3povL14Transform_BlobEPNS_13Object_StructEPNS_16Transform_StructE
0x0040a490:0x0040a498, _ZN3povL10Scale_BlobEPNS_13Object_StructEPdPNS_16Transform_StructE
0x0040a4a0:0x0040a65c, _ZN3povL23calculate_element_fieldEPNS_19Blob_Element_StructEPd
0x0040a660:0x0040aa3d, _ZN3povL14element_normalEPdS0_PNS_19Blob_Element_StructE
0x0040aa40:0x0040abfb, _ZN3povL10insert_hitEPNS_19Blob_Element_StructEddPNS_20Blob_Interval_StructEPj
0x0040ac00:0x0040adfe, _ZN3povL27get_element_bounding_sphereEPNS_19Blob_Element_StructEPdS2_
0x0040ae00:0x0040ae79, _ZN3povL11insert_nodeEPNS_11Blob_StructEPNS_19BSphere_Tree_StructEPj.isra.0
0x0040ae90:0x0040b0c8, _ZN3povL11Inside_BlobEPdPNS_13Object_StructE
0x0040b0d0:0x0040b3f4, _ZN3povL11Blob_NormalEPdPNS_13Object_StructEPNS_10istk_entryE
0x0040b400:0x0040b4ca, _ZN3povL25determine_element_textureEPNS_11Blob_StructEPNS_19Blob_Element_StructEPNS_14Texture_StructEPdPiPS5_S6_.isra.2
0x0040b4d0:0x0040be86, _ZN3povL17intersect_elementEPdS0_PNS_19Blob_Element_StructEdS0_S0_.constprop.5
0x0040be90:0x0040cd8f, _ZN3povL22All_Blob_IntersectionsEPNS_13Object_StructEPNS_10Ray_StructEPNS_13istack_structE
0x0040cd90:0x0040cd98, _ZN3povL11Rotate_BlobEPNS_13Object_StructEPdPNS_16Transform_StructE
0x0040cda0:0x0040cda8, _ZN3povL14Translate_BlobEPNS_13Object_StructEPdPNS_16Transform_StructE
0x0040cdb0:0x0040cea1, _ZN3pov11Create_BlobEv
0x0040ceb0:0x0040cf7d, _ZN3povL9Copy_BlobEPNS_13Object_StructE
0x0040cf80:0x0040d005, _ZN3pov24Create_Blob_List_ElementEv
0x0040d010:0x0040d6ff, _ZN3pov9Make_BlobEPNS_11Blob_StructEdPNS_16Blob_List_StructEi
0x0040d700:0x0040d787, _ZN3pov17Test_Blob_OpacityEPNS_11Blob_StructE
0x0040d790:0x0040da2f, _ZN3pov23Determine_Blob_TexturesEPNS_11Blob_StructEPdPiPPNS_14Texture_StructES2_
0x0040da30:0x0040da76, _ZN3pov22Transform_Blob_ElementEPNS_19Blob_Element_StructEPNS_16Transform_StructE
0x0040da80:0x0040db20, _ZN3pov22Translate_Blob_ElementEPNS_19Blob_Element_StructEPd
0x0040db20:0x0040db9a, _ZN3pov19Rotate_Blob_ElementEPNS_19Blob_Element_StructEPd
0x0040dba0:0x0040dc8c, _ZN3pov18Scale_Blob_ElementEPNS_19Blob_Element_StructEPd
0x0040dc90:0x0040dca7, _ZN3pov19Invert_Blob_ElementEPNS_19Blob_Element_StructE
0x0040dcb0:0x0040dff5, _ZN3pov32Create_Blob_Element_Texture_ListEPNS_11Blob_StructEPNS_16Blob_List_StructEi
0x0040e000:0x0040e005, _ZN3povL10Invert_BoxEPNS_13Object_StructE
0x0040e010:0x0040e0ec, _ZN3povL10Inside_BoxEPdPNS_13Object_StructE
0x0040e0f0:0x0040e346, _ZN3povL11Box_UVCoordEPdPNS_13Object_StructEPNS_10istk_entryE
0x0040e350:0x0040e4ff, _ZN3povL10Box_NormalEPdPNS_13Object_StructEPNS_10istk_entryE
0x0040e500:0x0040e520, _ZN3pov11Destroy_BoxEPNS_13Object_StructE
0x0040e520:0x0040ed22, _ZN3pov13Intersect_BoxEPNS_10Ray_StructEPNS_16Transform_StructEPdS4_S4_S4_PiS5_
0x0040ed30:0x0040ef93, _ZN3povL21All_Box_IntersectionsEPNS_13Object_StructEPNS_10Ray_StructEPNS_13istack_structE
0x0040efa0:0x0040f091, _ZN3pov10Create_BoxEv
0x0040f0a0:0x0040f0d6, _ZN3pov8Copy_BoxEPNS_13Object_StructE
0x0040f0e0:0x0040f182, _ZN3pov16Compute_Box_BBoxEPNS_10Box_StructE
0x0040f190:0x0040f1d0, _ZN3povL13Transform_BoxEPNS_13Object_StructEPNS_16Transform_StructE
0x0040f1d0:0x0040f1d5, _ZN3povL10Rotate_BoxEPNS_13Object_StructEPdPNS_16Transform_StructE
0x0040f1e0:0x0040f2aa, _ZN3povL9Scale_BoxEPNS_13Object_StructEPdPNS_16Transform_StructE
0x0040f2b0:0x0040f33b, _ZN3povL13Translate_BoxEPNS_13Object_StructEPdPNS_16Transform_StructE
0x0040f340:0x0040f386, _ZN3povL13comp_elementsEPKvS1_
0x0040f390:0x0040f5ce, _ZN3povL13merge_spheresEPdS0_S0_dS0_d
0x0040f5d0:0x0040f6cb, _ZN3povL16build_area_tableEPPNS_19BSphere_Tree_StructEiiPd
0x0040f6d0:0x0040fb39, _ZN3povL14sort_and_splitEPPNS_19BSphere_Tree_StructEPS2_Piii
0x0040fb40:0x0040fba1, _ZN3pov31Build_Bounding_Sphere_HierarchyEPPNS_19BSphere_Tree_StructEiPS2_
0x0040fbb0:0x0040fc22, _ZN3pov33Destroy_Bounding_Sphere_HierarchyEPNS_19BSphere_Tree_StructE
0x0040fc30:0x0040fc5b, _ZN3pov16Translate_CameraEPNS_13Camera_StructEPd
0x0040fc60:0x0040fcaa, _ZN3pov16Transform_CameraEPNS_13Camera_StructEPNS_16Transform_StructE
0x0040fcb0:0x0040fd02, _ZN3pov13Rotate_CameraEPNS_13Camera_StructEPd
0x0040fd10:0x0040fd62, _ZN3pov12Scale_CameraEPNS_13Camera_StructEPd
0x0040fd70:0x0040feb3, _ZN3pov13Create_CameraEv
0x0040fec0:0x0040ff54, _ZN3pov11Copy_CameraEPNS_13Camera_StructE
0x0040ff60:0x0040ff9a, _ZN3pov14Destroy_CameraEPNS_13Camera_StructE
0x0040ffa0:0x00410307, _ZN3povL4lgamEd
0x00410310:0x004106ba, _ZN3povL5igamcEdd
0x004106c0:0x00410b4a, _ZN3pov6chdtriEdd
0x00410b50:0x00410b90, _ZN3pov13Create_ColourEv
0x00410b90:0x00410bd3, _ZN3pov11Copy_ColourEPf
0x00410be0:0x00410bfd, _ZN3pov19Create_BMap_EntriesEi
0x00410c00:0x00410ce3, _ZN3pov17Copy_BMap_EntriesEPNS_15Blend_Map_EntryEii
0x00410cf0:0x00410d2e, _ZN3pov16Create_Blend_MapEv
0x00410d30:0x00410d45, _ZN3pov14Copy_Blend_MapEPNS_16Blend_Map_StructE
0x00410d50:0x00410d99, _ZN3pov15Colour_DistanceEPfS0_
0x00410da0:0x00410dff, _ZN3pov20Colour_Distance_RGBTEPfS0_
0x00410e00:0x00410e49, _ZN3pov10Add_ColourEPfS0_S0_
0x00410e50:0x00410ed1, _ZN3pov12Scale_ColourEPfS0_d
0x00410ee0:0x00410fc6, _ZN3pov11Clip_ColourEPfS0_
0x00410fd0:0x00411092, _ZN3pov17Destroy_Blend_MapEPNS_16Blend_Map_StructE
0x004110a0:0x004111a1, _ZN3pov8RGBtoHueEPf
0x004111b0:0x00411264, _ZN3pov13gamma_correctEPf.part.0
0x00411270:0x00411285, _ZN3pov13gamma_correctEPf
0x00411290:0x004113f6, _ZN3pov14extract_colorsEPfPhS1_S1_S1_Pd
0x00411400:0x00411519, _ZN3pov24extract_colors_nocorrectEPfPhS1_S1_S1_Pd
0x00411520:0x004115fe, _ZN3pov17colour2photonRgbeEPhPf
0x00411600:0x0041168b, _ZN3pov17photonRgbe2colourEPfPh
0x00411690:0x004116f2, _ZN3pov19prepare_output_lineEPA5_f
0x00411700:0x00411718, _ZN3pov11ClipColorAAEPf
0x00411720:0x00411725, _ZN3povL11Invert_ConeEPNS_13Object_StructE
0x00411730:0x00411750, _ZN3povL12Destroy_ConeEPNS_13Object_StructE
0x00411750:0x00411855, _ZN3povL11Inside_ConeEPdPNS_13Object_StructE
0x00411860:0x0041199f, _ZN3povL11Cone_NormalEPdPNS_13Object_StructEPNS_10istk_entryE
0x004119a0:0x00412117, _ZN3povL22All_Cone_IntersectionsEPNS_13Object_StructEPNS_10Ray_StructEPNS_13istack_structE
0x00412120:0x0041218d, _ZN3povL14Transform_ConeEPNS_13Object_StructEPNS_16Transform_StructE
0x00412190:0x00412195, _ZN3povL10Scale_ConeEPNS_13Object_StructEPdPNS_16Transform_StructE
0x004121a0:0x004121a8, _ZN3povL11Rotate_ConeEPNS_13Object_StructEPdPNS_16Transform_StructE
0x004121b0:0x004121b8, _ZN3povL14Translate_ConeEPNS_13Object_StructEPdPNS_16Transform_StructE
0x004121c0:0x00412306, _ZN3pov11Create_ConeEv
0x00412310:0x0041234f, _ZN3povL9Copy_ConeEPNS_13Object_StructE
0x00412350:0x00412496, _ZN3pov15Create_CylinderEv
0x004124a0:0x004125e9, _ZN3pov21Compute_Cylinder_DataEPNS_13Object_StructE
0x004125f0:0x004128ad, _ZN3pov17Compute_Cone_DataEPNS_13Object_StructE
0x004128b0:0x0041290c, _ZN3pov17Compute_Cone_BBoxEPNS_11Cone_StructE
0x00412910:0x00412930, _ZN3povL11Destroy_CSGEPNS_13Object_StructE
0x00412930:0x0041296c, _ZN3povL16Invert_CSG_UnionEPNS_13Object_StructE
0x00412970:0x004129ac, _ZN3povL23Invert_CSG_IntersectionEPNS_13Object_StructE
0x004129b0:0x004129ed, _ZN3povL13Transform_CSGEPNS_13Object_StructEPNS_16Transform_StructE
0x004129f0:0x00412a3d, _ZN3povL9Scale_CSGEPNS_13Object_StructEPdPNS_16Transform_StructE
0x00412a40:0x00412a8d, _ZN3povL10Rotate_CSGEPNS_13Object_StructEPdPNS_16Transform_StructE
0x00412a90:0x00412add, _ZN3povL13Translate_CSGEPNS_13Object_StructEPdPNS_16Transform_StructE
0x00412ae0:0x00412b86, _ZN3povL8Copy_CSGEPNS_13Object_StructE
0x00412b90:0x00412bec, _ZN3povL16Inside_CSG_UnionEPdPNS_13Object_StructE
0x00412bf0:0x00412c49, _ZN3povL23Inside_CSG_IntersectionEPdPNS_13Object_StructE
0x00412c50:0x00412edd, _ZN3povL27All_CSG_Merge_IntersectionsEPNS_13Object_StructEPNS_10Ray_StructEPNS_13istack_structE
0x00412ee0:0x00412f96, _ZN3povL17Find_CSG_TexturesEPNS_10CSG_StructEPdPiPPNS_14Texture_StructE.isra.0
0x00412fa0:0x004131f8, _ZN3povL27All_CSG_Union_IntersectionsEPNS_13Object_StructEPNS_10Ray_StructEPNS_13istack_structE
0x00413200:0x0041337d, _ZN3povL31All_CSG_Intersect_IntersectionsEPNS_13Object_StructEPNS_10Ray_StructEPNS_13istack_structE
0x00413380:0x00413446, _ZN3pov16Create_CSG_UnionEv
0x00413450:0x0041350c, _ZN3pov16Create_CSG_MergeEv
0x00413510:0x004135cc, _ZN3pov23Create_CSG_IntersectionEv
0x004135d0:0x00413b9d, _ZN3pov16Compute_CSG_BBoxEPNS_13Object_StructE
0x00413ba0:0x00413ca8, _ZN3pov22Determine_CSG_TexturesEPNS_10CSG_StructEPdPiPPNS_14Texture_StructES2_
0x00413cb0:0x00413cd7, _ZN3povL11Disc_NormalEPdPNS_13Object_StructEPNS_10istk_entryE
0x00413ce0:0x00413ce5, _ZN3povL11Invert_DiscEPNS_13Object_StructE
0x00413cf0:0x00413d10, _ZN3povL12Destroy_DiscEPNS_13Object_StructE
0x00413d10:0x00413d85, _ZN3povL17Compute_Disc_BBoxEPNS_11Disc_StructE
0x00413d90:0x00413e4b, _ZN3povL14Transform_DiscEPNS_13Object_StructEPNS_16Transform_StructE
0x00413e50:0x00413e58, _ZN3povL10Scale_DiscEPNS_13Object_StructEPdPNS_16Transform_StructE
0x00413e60:0x00413ec8, _ZN3povL11Inside_DiscEPdPNS_13Object_StructE
0x00413ed0:0x0041410e, _ZN3povL22All_Disc_IntersectionsEPNS_13Object_StructEPNS_10Ray_StructEPNS_13istack_structE
0x00414110:0x00414118, _ZN3povL11Rotate_DiscEPNS_13Object_StructEPdPNS_16Transform_StructE
0x00414120:0x00414128, _ZN3povL14Translate_DiscEPNS_13Object_StructEPdPNS_16Transform_StructE
0x00414130:0x00414272, _ZN3pov11Create_DiscEv
0x00414280:0x004142bf, _ZN3povL9Copy_DiscEPNS_13Object_StructE
0x004142c0:0x004142ed, _ZN3pov12Compute_DiscEPNS_11Disc_StructE
0x004142f0:0x0041435a, _ZN3povL10Parse_CallEv
0x00414360:0x0041443f, _ZN3pov12Parse_VectorEPd
0x00414440:0x0041448a, _ZN3povL18Parse_Vector_ParamEPd
0x00414490:0x004144f7, _ZN3povL19Parse_Vector_Param2EPdS0_
0x00414500:0x004165c8, _ZN3povL16Parse_Num_FactorEPdPi
0x004165d0:0x00416905, _ZN3povL14Parse_Num_TermEPdPi
0x00416910:0x00416bf4, _ZN3povL16Parse_Rel_FactorEPdPi
0x00416c00:0x00417274, _ZN3povL14Parse_Rel_TermEPdPi
0x00417280:0x004176c4, _ZN3povL13Parse_ExpressEPdPi
0x004176d0:0x00417786, _ZN3pov17Parse_Float_ParamEv
0x00417790:0x0041781c, _ZN3pov11Parse_FloatEv
0x00417820:0x00417893, _ZN3pov18Parse_Float_Param2EPdS0_
0x004178a0:0x00417957, _ZN3pov11Allow_FloatEd
0x00417960:0x00417a07, _ZN3pov12Allow_VectorEPd
0x00417a10:0x00417af7, _ZN3pov14Parse_Vector4DEPd
0x00417b00:0x00417bd7, _ZN3pov13Parse_UV_VectEPd
0x00417be0:0x00417c8c, _ZN3pov20Parse_Unknown_VectorEPdbPb
0x00417c90:0x00417d4b, _ZN3pov18Parse_Scale_VectorEPd
0x00417d50:0x0041824a, _ZN3pov12Parse_ColourEPf
0x00418250:0x004184bc, _ZN3pov15Parse_Blend_MapEii
0x004184c0:0x004189ab, _ZN3pov16Parse_Blend_ListEiPNS_16Blend_Map_StructEi
0x004189b0:0x00418a9e, _ZN3pov26Parse_Item_Into_Blend_ListEi
0x00418aa0:0x00418e11, _ZN3pov16Parse_Colour_MapEv
0x00418e20:0x00419025, _ZN3pov12Parse_SplineEv
0x00419030:0x00419046, _ZN3pov22Init_Random_GeneratorsEv
0x00419050:0x00419089, _ZN3pov25Destroy_Random_GeneratorsEv
0x00419090:0x0041911e, _ZN3pov18Parse_Signed_FloatEv
0x00419120:0x00419271, _ZN3pov6FNCodeC2EPNS_12FunctionCodeEbPKc
0x00419280:0x00419360, _ZN3pov6FNCode9ParameterEv
0x00419360:0x0041950c, _ZN3pov11FNCode_CopyEPNS_12FunctionCodeES1_
0x00419510:0x00419672, _ZN3pov13FNCode_DeleteEPNS_12FunctionCodeE
0x00419680:0x00419682, _ZN3pov6FNCode7SetFlagEjPc
0x00419690:0x0041975f, _ZN3pov6FNCode19compile_instructionEjjjj
0x00419760:0x00419a49, _ZN3pov6FNCode14compile_memberEPc
0x00419a50:0x00419aef, _ZN3pov6FNCode14compile_inlineEPNS_12FunctionCodeE
0x00419af0:0x00419c37, _ZN3pov6FNCode16compile_variableEPc
0x00419c40:0x00419e73, _ZN3pov6FNCode18compile_parametersEv
0x00419e80:0x00419f1a, _ZN3pov6FNCode19compile_push_resultEv
0x00419f20:0x00419f97, _ZN3pov6FNCode18compile_pop_resultEj
0x00419fa0:0x0041a1e1, _ZN3pov6FNCode28compile_vector_function_callEPNS_14ExprNodeStructEjPc
0x0041a1f0:0x0041aa67, _ZN3pov6FNCode12compile_callEPNS_14ExprNodeStructEjiPc
0x0041aa70:0x0041b214, _ZN3pov6FNCode17compile_recursiveEPNS_14ExprNodeStructE
0x0041b220:0x0041b59a, _ZN3pov6FNCode14compile_seq_opEPNS_14ExprNodeStructEjd
0x0041b5b0:0x0041b75f, _ZN3pov6FNCode7CompileEPNS_14ExprNodeStructE
0x0041b770:0x0041ba52, _ZN3pov6FNCode14compile_selectEPNS_14ExprNodeStructE
0x0041ba60:0x0041bc93, _ZN3pov6FNCode27compile_float_function_callEPNS_14ExprNodeStructEjPc
0x0041bca0:0x0041bd0d, _ZN3pov6FNCode19compile_instructionEjjjjj
0x0041bd10:0x0041bd75, _ZN3pov8f_bicornEPdj
0x0041bd80:0x0041bde5, _ZN3pov9f_bifoliaEPdj
0x0041bdf0:0x0041bea6, _ZN3pov6f_blobEPdj
0x0041beb0:0x0041c00d, _ZN3pov13f_boy_surfaceEPdj
0x0041c010:0x0041c04d, _ZN3pov16f_crossed_troughEPdj
0x0041c050:0x0041c0a5, _ZN3pov14f_cubic_saddleEPdj
0x0041c0b0:0x0041c13d, _ZN3pov9f_cushionEPdj
0x0041c140:0x0041c1b5, _ZN3pov14f_devils_curveEPdj
0x0041c1c0:0x0041c325, _ZN3pov14f_dupin_cyclidEPdj
0x0041c330:0x0041c415, _ZN3pov9f_enneperEPdj
0x0041c420:0x0041c495, _ZN3pov16f_folium_surfaceEPdj
0x0041c4a0:0x0041c4f5, _ZN3pov6f_globEPdj
0x0041c500:0x0041c58d, _ZN3pov7f_heartEPdj
0x0041c590:0x0041c62d, _ZN3pov14f_hunt_surfaceEPdj
0x0041c630:0x0041c6d5, _ZN3pov18f_hyperbolic_torusEPdj
0x0041c6e0:0x0041c755, _ZN3pov20f_kampyle_of_eudoxusEPdj
0x0041c760:0x0041c7fd, _ZN3pov14f_klein_bottleEPdj
0x0041c800:0x0041c87d, _ZN3pov19f_kummer_surface_v1EPdj
0x0041c880:0x0041c915, _ZN3pov19f_kummer_surface_v2EPdj
0x0041c920:0x0041c975, _ZN3pov22f_lemniscate_of_geronoEPdj
0x0041c980:0x0041c9f5, _ZN3pov7f_mitreEPdj
0x0041ca00:0x0041ca5d, _ZN3pov13f_nodal_cubicEPdj
0x0041ca60:0x0041cae5, _ZN3pov5f_oddEPdj
0x0041caf0:0x0041cb75, _ZN3pov18f_ovals_of_cassiniEPdj
0x0041cb80:0x0041cbc5, _ZN3pov12f_paraboloidEPdj
0x0041cbd0:0x0041cc6d, _ZN3pov17f_parabolic_torusEPdj
0x0041cc70:0x0041ccc5, _ZN3pov8f_pillowEPdj
0x0041ccd0:0x0041cd35, _ZN3pov10f_piriformEPdj
0x0041cd40:0x0041cd95, _ZN3pov20f_quartic_paraboloidEPdj
0x0041cda0:0x0041cdf5, _ZN3pov16f_quartic_saddleEPdj
0x0041ce00:0x0041ce75, _ZN3pov18f_quartic_cylinderEPdj
0x0041ce80:0x0041cee5, _ZN3pov16f_steiners_romanEPdj
0x0041cef0:0x0041cf65, _ZN3pov11f_strophoidEPdj
0x0041cf70:0x0041d015, _ZN3pov8f_torus2EPdj
0x0041d020:0x0041d0a5, _ZN3pov15f_torus_gumdropEPdj
0x0041d0b0:0x0041d0f5, _ZN3pov10f_umbrellaEPdj
0x0041d100:0x0041d15d, _ZN3pov17f_witch_of_agnesiEPdj
0x0041d160:0x0041d1c2, _ZN3pov11f_ellipsoidEPdj
0x0041d1d0:0x0041d24d, _ZN3pov7f_poly4EPdj
0x0041d250:0x0041d292, _ZN3pov3f_rEPdj
0x0041d2a0:0x0041d2ed, _ZN3pov8f_sphereEPdj
0x0041d2f0:0x0041d365, _ZN3pov7f_torusEPdj
0x0041d370:0x0041d473, _ZN3pov13f_rounded_boxEPdj
0x0041d480:0x0041d592, _ZN3pov11f_polytubesEPdj
0x0041d5a0:0x0041d71d, _ZN3pov12f_algbr_cyl1EPdj
0x0041d720:0x0041d8ad, _ZN3pov12f_algbr_cyl2EPdj
0x0041d8b0:0x0041da3d, _ZN3pov12f_algbr_cyl3EPdj
0x0041da40:0x0041dbcd, _ZN3pov12f_algbr_cyl4EPdj
0x0041dbd0:0x0041dd18, _ZN3pov17f_devils_curve_2dEPdj
0x0041dd20:0x0041de78, _ZN3pov19f_folium_surface_2dEPdj
0x0041de80:0x0041dfc8, _ZN3pov23f_kampyle_of_eudoxus_2dEPdj
