0x004027f0:0x0040299f, S_require_tie_mod
0x0042ce90:0x0042ce92, Perl_new_numeric
0x0042cea0:0x0042cea2, Perl_set_numeric_standard
0x0042ceb0:0x0042ceb2, Perl_set_numeric_local
0x0042cec0:0x0042cec2, Perl_new_ctype
0x0042ced0:0x0042ced2, Perl__warn_problematic_locale
0x0042cee0:0x0042cee2, Perl_new_collate
0x0042cef0:0x0042cef6, Perl_init_i18nl10n
0x0042cf00:0x0042cf84, Perl__is_in_locale_category
0x0042cf90:0x0042cf95, Perl_my_strerror
0x0042cfa0:0x0042cfa2, Perl_sync_locale
0x0042cfb0:0x0042cfb8, S_unwind_handler_stack
0x0042cfc0:0x0042d2c3, Perl_magic_methcall_0
0x0042d2d0:0x0042d403, S_restore_magic
0x0042d410:0x0042d484, Perl_mg_magical
0x0042d490:0x0042d6ec, Perl_mg_get
0x0042d6f0:0x0042d81e, Perl_mg_set
0x0042d820:0x0042d94b, Perl_mg_length
0x0042d950:0x0042da45, Perl_mg_size
0x0042da50:0x0042daf1, Perl_mg_clear
0x0042db00:0x0042db38, Perl_mg_find
0x0042db40:0x0042db75, Perl_mg_findext
0x0042db80:0x0042dc75, Perl_mg_copy
0x0042dc80:0x0042dd83, Perl_mg_localize
0x0042dd90:0x0042de77, Perl_mg_free
0x0042de80:0x0042e04d, Perl_mg_free_type
0x0042e050:0x0042e0bb, Perl_magic_regdata_cnt
0x0042e0c0:0x0042e180, Perl_magic_regdatum_get
0x0042e180:0x0042e189, Perl_magic_regdatum_set
0x0042e190:0x0042e26d, Perl_emulate_cop_io
0x0042e270:0x0042e305, Perl__get_encoding
0x0042e310:0x0042ef29, Perl_magic_get
0x0042ef30:0x0042ef5b, Perl_magic_getuvar
0x0042ef60:0x0042f1b2, Perl_magic_setenv
0x0042f1c0:0x0042f222, Perl_magic_clearenv
0x0042f230:0x0042f2f9, Perl_magic_set_all_env
0x0042f300:0x0042f310, Perl_magic_clear_all_env
0x0042f310:0x0042f507, Perl_magic_getsig
0x0042f510:0x0042f7f4, Perl_magic_clearsig
0x0042f800:0x0042f861, Perl_csighandler
0x0042f870:0x0042fc3a, Perl_despatch_signals
0x0042fc40:0x00430219, Perl_magic_setsig
0x00430220:0x0043038a, Perl_magic_setisa
0x00430390:0x004304fb, Perl_magic_clearisa
0x00430500:0x004305b4, Perl_magic_getnkeys
0x004305c0:0x0043061b, Perl_magic_setnkeys
0x00430620:0x00430a3e, Perl_magic_methcall
0x00430a40:0x00430b66, Perl_magic_getpack
0x00430b70:0x00430cfb, Perl_magic_setpack
0x00430d00:0x00430e0b, Perl_magic_clearpack
0x00430e10:0x00430f4b, Perl_magic_sizepack
0x00430f50:0x00430fa8, Perl_magic_wipepack
0x00430fb0:0x0043107b, Perl_magic_nextpack
0x00431080:0x0043117b, Perl_magic_existspack
0x00431180:0x0043128b, Perl_magic_scalarpack
0x00431290:0x004313fb, Perl_magic_setdbline
0x00431400:0x00431451, Perl_magic_getarylen
0x00431460:0x004314bb, Perl_magic_setarylen
0x004314c0:0x004314d3, Perl_magic_cleararylen_p
0x004314e0:0x00431521, Perl_magic_freearylen_p
0x00431530:0x004317ac, Perl_magic_getsubstr
0x004317b0:0x00431ace, Perl_magic_setsubstr
0x00431ad0:0x00431af6, Perl_magic_gettaint
0x00431b00:0x00431b2b, Perl_magic_settaint
0x00431b30:0x00431b57, Perl_magic_getvec
0x00431b60:0x00431b70, Perl_magic_setvec
0x00431b70:0x00431d5d, Perl_defelem_target
0x00431d60:0x00431f4d, Perl_magic_getdefelem
0x00431f50:0x00432131, Perl_vivify_defelem
0x00432150:0x004321a3, Perl_mg_find_mglob
0x004321b0:0x00432202, Perl_magic_setdefelem
0x00432210:0x004322e2, Perl_magic_getpos
0x004322f0:0x00432515, Perl_magic_setpos
0x00432520:0x00432534, Perl_magic_killbackrefs
0x00432540:0x0043254b, Perl_magic_setmglob
0x00432550:0x00432583, Perl_magic_setuvar
0x00432590:0x004325ac, Perl_magic_setregexp
0x004325b0:0x004325d1, Perl_magic_setutf8
0x004325e0:0x004327fa, Perl_magic_setlvref
0x00432800:0x00433bb3, Perl_magic_set
0x00433bc0:0x00433cd0, Perl_whichsig_sv
0x00433cd0:0x00433d95, Perl_whichsig_pv
0x00433da0:0x00433e5d, Perl_whichsig_pvn
0x00433e60:0x0043452c, Perl_sighandler
0x00434530:0x00434586, Perl_magic_sethint
0x00434590:0x004345f1, Perl_magic_clearhint
0x00434600:0x00434622, Perl_magic_clearhints
0x00434630:0x004346dd, Perl_magic_copycallchecker
0x004346e0:0x0043471e, Perl_magic_setdebugvar
0x00434720:0x0043473c, Perl_magic_getdebugvar
0x00434740:0x00434798, Perl_cast_ulong
0x004347a0:0x00434806, Perl_cast_i32
0x00434810:0x0043488b, Perl_cast_iv
0x00434890:0x00434906, Perl_cast_uv
0x00434910:0x00434c96, Perl_grok_bin
0x00434ca0:0x00435011, Perl_grok_hex
0x00435020:0x004352f8, Perl_grok_oct
0x00435300:0x00435628, Perl_scan_bin
0x00435630:0x004356d0, Perl_scan_oct
0x004356d0:0x00435770, Perl_scan_hex
0x00435770:0x00435795, Perl_grok_numeric_radix
0x004357a0:0x00435dee, Perl_grok_number_flags
0x00435df0:0x00436370, Perl_grok_infnan
0x00436370:0x00436377, Perl_grok_number
0x00436380:0x00436494, Perl_grok_atoUV
0x004364a0:0x00437007, Perl_my_atof2
0x00437010:0x00437053, Perl_my_atof
0x00437060:0x00437081, Perl_isinfnan
0x00437090:0x004375cc, Perl_isinfnansv
0x004375d0:0x00437661, S_scalar_mod_type
0x00437670:0x0043769f, uvcompare
0x004376a0:0x00437802, S_aassign_common_vars
0x00437810:0x004378d9, S_aassign_common_vars_aliases_only
0x004378e0:0x00437a31, S_looks_like_bool
0x00437a40:0x00437a44, Perl_ck_null
0x00437a50:0x00437bca, S_assignment_type
0x00437bd0:0x00437ca5, S_forget_pmop
0x00437cb0:0x00437d56, const_sv_xsub
0x00437d60:0x00437e75, S_op_const_sv
0x00437e80:0x0043802a, const_av_xsub
0x00438030:0x004383d3, S_process_special_blocks
0x004383e0:0x00438471, S_perl_hash_one_at_a_time_hard
0x00438480:0x004385bb, S_set_haseval
0x004385c0:0x00438649, Perl_op_linklist_0
0x00438650:0x004389b6, S_find_and_forget_pmops
0x004389c0:0x00438ce9, S_scalar_slice_warning
0x00438cf0:0x00438ee9, Perl_Slab_Alloc
0x00438ef0:0x00438f63, Perl_Slab_Free
0x00438f70:0x00438fdd, Perl_opslab_free_nopad
0x00438fe0:0x00438ffb, Perl_opslab_free
0x00439000:0x004393e4, Perl_allocmy
0x004393f0:0x004394c5, S_op_clear_gv
0x004394d0:0x0043992d, Perl_op_clear
0x00439930:0x00439bcc, Perl_op_free
0x00439bd0:0x00439c5e, Perl_opslab_force_free
0x00439c60:0x0043ace1, S_pmtrans
0x0043acf0:0x0043ad8c, S_newMETHOP_internal
0x0043ada0:0x0043adcf, Perl_op_null_0
0x0043add0:0x0043ae0f, Perl_op_null
0x0043ae10:0x0043ae12, Perl_op_refcnt_lock
0x0043ae20:0x0043ae22, Perl_op_refcnt_unlock
0x0043ae30:0x0043aeaa, S_alloc_LOGOP
0x0043aeb0:0x0043aec5, Perl_op_linklist
0x0043aed0:0x0043b19a, S_check_hash_fields_and_hekify
0x0043b1a0:0x0043b48e, S_finalize_op
0x0043b490:0x0043b4b1, Perl_finalize_optree
0x0043b4c0:0x0043b4ce, Perl_sawparens
0x0043b4d0:0x0043b563, Perl_op_unscope
0x0043b570:0x0043b6aa, Perl_block_start
0x0043b6b0:0x0043b6ca, Perl_blockhook_register
0x0043b6d0:0x0043b76c, Perl_newMETHOP_named
0x0043b780:0x0043b7fd, Perl_package
0x0043b800:0x0043b85b, Perl_package_version
0x0043b860:0x0043bdc1, Perl_cv_ckproto_len_flags
0x0043bdd0:0x0043be0e, Perl_cv_const_sv
0x0043be10:0x0043be3b, Perl_cv_const_sv_or_av
0x0043be40:0x0043bf8a, Perl_newSTUB
0x0043bf90:0x0043bfb8, Perl_ck_anoncode
0x0043bfc0:0x0043c107, Perl_ck_bitop
0x0043c110:0x0043c145, Perl_ck_concat
0x0043c150:0x0043c36a, Perl_ck_rvconst
0x0043c370:0x0043c3ea, Perl_ck_match
0x0043c3f0:0x0043c642, Perl_ck_method
0x0043c650:0x0043c6d8, Perl_find_lexical_cv
0x0043c6e0:0x0043c8ff, Perl_rv2cv_op_cv
0x0043c900:0x0043c95f, Perl_cv_get_call_checker
0x0043c960:0x0043ca2b, Perl_cv_set_call_checker
0x0043ca30:0x0043cb1d, Perl_cv_set_call_checker_flags
0x0043cb20:0x0043cbaa, Perl_ck_svconst
0x0043cbb0:0x0043cbb6, Perl_peep
0x0043cbc0:0x0043ced4, Perl_custom_op_get_field
0x0043cee0:0x0043d0c5, Perl_op_sibling_splice
0x0043d0d0:0x0043da63, Perl_scalarvoid
0x0043da70:0x0043dea6, Perl_scalar
0x0043deb0:0x0043e1f7, Perl_doref_0
0x0043e200:0x0043e224, Perl_doref
0x0043e230:0x0043e2fa, Perl_oopsAV
0x0043e300:0x0043e3c5, Perl_oopsHV
0x0043e3d0:0x0043e4cc, Perl_newOP
0x0043e4e0:0x0043e65c, Perl_newLISTOP
0x0043e660:0x0043e8a4, Perl_newPMOP
0x0043e8b0:0x0043e97c, Perl_newSVOP
0x0043e990:0x0043ea6c, Perl_newPVOP
0x0043ea80:0x0043eb54, Perl_newSVOP_0
0x0043eb70:0x0043f237, S_fold_constants
0x0043f240:0x0043f455, Perl_newBINOP
0x0043f460:0x0043f5ac, Perl_newUNOP_AUX
0x0043f5b0:0x0043f68c, Perl_newGVOP
0x0043f6a0:0x0043f750, Perl_newNULLLIST
0x0043f760:0x0043f82c, S_scalarseq
0x0043f830:0x0043fc57, S_lvref
0x0043fc60:0x00440a00, Perl_op_lvalue_flags
0x00440a00:0x00440a52, Perl_ck_return
0x00440a60:0x00440b92, Perl_ck_cmp
0x00440ba0:0x00440c2c, S_bad_type_gv
0x00440c30:0x00440da2, Perl_op_sibling_splice_0
0x00440db0:0x004410a2, Perl_newSTATEOP
0x004410b0:0x004412f2, Perl_newSTATEOP_0
0x00441300:0x00441498, Perl_op_sibling_splice_1
0x004414a0:0x00441942, Perl_list
0x00441950:0x00441995, Perl_op_contextualize
0x004419a0:0x004419fa, Perl_ck_entersub_args_list
0x00441a00:0x00441f5b, Perl_ck_subr
0x00441f60:0x00442409, S_move_proto_attr
0x00442410:0x00442974, Perl_ck_sort
0x00442980:0x00442afc, Perl_op_sibling_splice_2
0x00442b00:0x00442cca, S_force_list
0x00442cd0:0x00442ee5, Perl_newUNOP
0x00442ef0:0x00442f50, Perl_newGVREF
0x00442f50:0x00442fbd, Perl_ck_readline
0x00442fc0:0x0044302b, Perl_newAVREF
0x00443030:0x0044309b, Perl_newHVREF
0x004430a0:0x004430f0, Perl_newSVREF
0x004430f0:0x004433af, Perl_newFORM
0x004433b0:0x00443575, Perl_newLOOPEX
0x00443580:0x004436f5, Perl_newDEFSVOP
0x00443700:0x00443878, Perl_ck_ftst
0x00443880:0x004438b1, Perl_ck_prototype
0x004438c0:0x004439f8, Perl_dofile
0x00443a00:0x00443bb5, Perl_invert
0x00443bc0:0x00443da5, Perl_newCVREF
0x00443db0:0x00444739, S_new_logop
0x00444740:0x0044475f, Perl_newLOGOP
0x00444760:0x00444ccf, Perl_newASSIGNOP
0x00444cd0:0x004451f2, Perl_newCONDOP
0x00445200:0x004453b8, Perl_ck_sassign
0x004453c0:0x00445692, Perl_newRANGE
0x004456a0:0x004456fd, Perl_op_append_elem
0x00445700:0x00445764, Perl_op_append_elem_0
0x00445770:0x004457ec, Perl_op_prepend_elem_0
0x004457f0:0x004459c5, Perl_op_append_list
0x004459d0:0x00445dfc, Perl_block_end
0x00445e00:0x004460aa, Perl_newSLICEOP
0x004460b0:0x0044625c, Perl_newMETHOP
0x00446270:0x0044653b, Perl_op_convert_list
0x00446540:0x00446552, Perl_newANONLIST
0x00446560:0x00446572, Perl_newANONHASH
0x00446580:0x0044669d, Perl_jmaybe
0x004466a0:0x00446747, S_ref_array_or_hash
0x00446750:0x004472b0, Perl_ck_fun
0x004472b0:0x0044739b, Perl_ck_delete
0x004473a0:0x0044743c, Perl_ck_eof
0x00447440:0x004474db, Perl_ck_exec
0x004474e0:0x004475f9, Perl_ck_exists
0x00447600:0x004478a2, Perl_ck_grep
0x004478b0:0x004479b8, Perl_ck_index
0x004479c0:0x00447a1d, Perl_ck_lfun
0x00447a20:0x00447a85, Perl_ck_rfun
0x00447a90:0x00447b0f, Perl_ck_open
0x00447b10:0x00447c55, Perl_ck_select
0x00447c60:0x00447d01, Perl_ck_shift
0x00447d10:0x00447d70, Perl_ck_stringify
0x00447d70:0x00447ec7, Perl_ck_join
0x00447ed0:0x00447f20, Perl_ck_trunc
0x00447f20:0x00447f5e, Perl_ck_substr
0x00447f60:0x00447fa9, Perl_ck_tell
0x00447fb0:0x00448182, Perl_ck_each
0x00448190:0x00448306, Perl_ck_length
0x00448310:0x004483d4, Perl_ck_defined
0x004483e0:0x00448610, Perl_newGIVENOP
0x00448610:0x00448983, Perl_newWHENOP
0x00448990:0x00448b5a, Perl_ck_backtick
0x00448b60:0x00448f14, Perl_ck_smartmatch
0x00448f20:0x0044910a, Perl_ck_repeat
0x00449110:0x00449512, Perl_ck_require
0x00449520:0x004499bd, Perl_ck_entersub_args_core
0x004499c0:0x00449af6, Perl_op_prepend_elem
0x00449b00:0x00449e32, Perl_ck_eval
0x00449e40:0x0044a1a2, S_op_sibling_newUNOP
0x0044a1b0:0x0044a3bb, Perl_ck_listiob
0x0044a3c0:0x0044ac51, Perl_ck_entersub_args_proto
0x0044ac60:0x0044ad0a, Perl_ck_entersub_args_proto_or_list
0x0044ad10:0x0044af06, Perl_ck_spair
0x0044af10:0x0044b2f2, Perl_ck_refassign
0x0044b300:0x0044bd9a, S_maybe_multideref
0x0044bda0:0x0044ddac, Perl_rpeep
0x0044ddb0:0x0044e09c, Perl_op_scope
0x0044e0a0:0x0044e48b, Perl_newPROG
0x0044e490:0x0044ea53, Perl_newLOOPOP
0x0044ea60:0x0044ef86, Perl_newWHILEOP
0x0044ef90:0x0044f49a, Perl_newFOROP
0x0044f4a0:0x0044f52b, Perl_custom_op_register
0x0044f530:0x0044fac6, Perl_core_prototype
0x0044fad0:0x004500ed, Perl_coresub_op
0x004500f0:0x00450a1d, Perl_report_redefined_cv
0x00450a20:0x00450bee, S_already_defined
0x00450bf0:0x00450ee2, Perl_newXS_len_flags
0x00450ef0:0x004510db, Perl_newCONSTSUB_flags
0x004510e0:0x0045286d, Perl_newATTRSUB_x
0x00452870:0x0045323b, Perl_pmruntime
0x00453240:0x004539a8, Perl_utilize
0x004539b0:0x00453df5, Perl_vload_module
0x00453e10:0x00453ec4, Perl_load_module
0x00453ed0:0x00454336, Perl_apply_attrs_string
0x00454340:0x00454823, S_apply_attrs
0x00454830:0x00455727, Perl_newMYSUB
0x00455730:0x00455efc, S_my_kid
0x00455f00:0x0045617b, Perl_my_attrs
0x00456180:0x004563a0, Perl_localize
0x004563a0:0x004566b8, Perl_ck_glob
0x004566c0:0x004567c0, Perl_newANONATTRSUB
0x004567d0:0x00456f07, Perl_pmruntime_0
0x00456f10:0x0045738d, Perl_bind_match
0x00457390:0x004578e2, Perl_ck_split
0x004578f0:0x00457bc5, Perl_newANONSUB
0x00457bd0:0x00457c14, Perl_newXS
0x00457c20:0x00457c74, Perl_newXS_flags
0x00457c80:0x00457cc4, Perl_newXS_deffile
0x00457cd0:0x00457ee7, Perl_newCONSTSUB
0x00457ef0:0x00457f16, Perl_wrap_op_checker
0x00457f20:0x00457f7a, Perl_cv_forget_slab
0x00457f80:0x00457ffc, Perl_pad_block_start
0x00458000:0x004580d5, Perl_intro_my
0x004580e0:0x00458259, Perl_pad_leavemy
0x00458260:0x0045834a, Perl_pad_swipe
0x00458350:0x004583dc, Perl_pad_free
0x004583e0:0x00458538, Perl_do_dump_pad
0x00458540:0x0045874a, Perl_cv_name
