0x004022c0:0x004022f5, _GLOBAL__sub_I_userio.cpp
0x0040a620:0x0040a9a8, _ZN3povL17bezier_subdividerEPNS_10Ray_StructEPNS_20Bicubic_Patch_StructEPA4_A4_A3_dddddiPNS_13istack_structE
0x0040a9b0:0x0040ad2b, _ZN3povL25bezier_subpatch_intersectEPNS_10Ray_StructEPNS_20Bicubic_Patch_StructEPA4_A4_A3_dddddPNS_13istack_structE
0x0040ad30:0x0040b22b, _ZN3povL18intersect_subpatchEPNS_20Bicubic_Patch_StructEPNS_10Ray_StructEPA3_dPdS6_S6_S6_S6_S6_S6_
0x0040b230:0x0040b89f, _ZN3povL12bezier_valueEPA4_A4_A3_dddPdS4_
0x0040b8a0:0x0040c859, _ZN3povL22All_Blob_IntersectionsEPNS_13Object_StructEPNS_10Ray_StructEPNS_13istack_structE
0x0040c860:0x0040caac, _ZN3povL11Inside_BlobEPdPNS_13Object_StructE
0x0040cab0:0x0040cda2, _ZN3povL11Blob_NormalEPdPNS_13Object_StructEPNS_10istk_entryE
0x0040cdb0:0x0040cf35, _ZN3povL9Copy_BlobEPNS_13Object_StructE
0x0040cf40:0x0040cfaa, _ZN3povL14Translate_BlobEPNS_13Object_StructEPdPNS_16Transform_StructE
0x0040cfb0:0x0040d01a, _ZN3povL11Rotate_BlobEPNS_13Object_StructEPdPNS_16Transform_StructE
0x0040d020:0x0040d08a, _ZN3povL10Scale_BlobEPNS_13Object_StructEPdPNS_16Transform_StructE
0x0040d090:0x0040d0fa, _ZN3povL14Transform_BlobEPNS_13Object_StructEPNS_16Transform_StructE
0x0040d100:0x0040d105, _ZN3povL11Invert_BlobEPNS_13Object_StructE
0x0040d110:0x0040d27a, _ZN3povL12Destroy_BlobEPNS_13Object_StructE
0x0040d280:0x0040d323, _ZN3pov11Create_BlobEv
0x0040d330:0x0040d36c, _ZN3pov24Create_Blob_List_ElementEv
0x0040d370:0x0040d911, _ZN3pov9Make_BlobEPNS_11Blob_StructEdPNS_16Blob_List_StructEi
0x0040d920:0x0040d9a5, _ZN3pov17Test_Blob_OpacityEPNS_11Blob_StructE
0x0040d9b0:0x0040de8d, _ZN3pov23Determine_Blob_TexturesEPNS_11Blob_StructEPdPiPPNS_14Texture_StructES2_
0x0040de90:0x0040df11, _ZN3pov22Translate_Blob_ElementEPNS_19Blob_Element_StructEPd
0x0040df20:0x0040df5f, _ZN3pov22Transform_Blob_ElementEPNS_19Blob_Element_StructEPNS_16Transform_StructE
0x0040df60:0x0040dfba, _ZN3pov19Rotate_Blob_ElementEPNS_19Blob_Element_StructEPd
0x0040dfc0:0x0040e07a, _ZN3pov18Scale_Blob_ElementEPNS_19Blob_Element_StructEPd
0x0040e080:0x0040e093, _ZN3pov19Invert_Blob_ElementEPNS_19Blob_Element_StructE
0x0040e0a0:0x0040e46e, _ZN3pov32Create_Blob_Element_Texture_ListEPNS_11Blob_StructEPNS_16Blob_List_StructEi
0x0040e470:0x0040eda7, _ZN3povL17intersect_elementEPdS0_PNS_19Blob_Element_StructEdS0_S0_
0x0040edb0:0x0040ef5c, _ZN3povL10insert_hitEPNS_19Blob_Element_StructEddPNS_20Blob_Interval_StructEPj
0x0040ef60:0x0040f0cc, _ZN3povL23calculate_element_fieldEPNS_19Blob_Element_StructEPd
0x0040f0d0:0x0040f353, _ZN3povL14element_normalEPdS0_PNS_19Blob_Element_StructE
0x0040f360:0x0040f4f0, _ZN3povL27get_element_bounding_sphereEPNS_19Blob_Element_StructEPdS2_
0x0040f4f0:0x0040f6ff, _ZN3povL21All_Box_IntersectionsEPNS_13Object_StructEPNS_10Ray_StructEPNS_13istack_structE
0x0040f700:0x0040f7af, _ZN3povL10Inside_BoxEPdPNS_13Object_StructE
0x0040f7b0:0x0040f8f7, _ZN3povL10Box_NormalEPdPNS_13Object_StructEPNS_10istk_entryE
0x0040f900:0x0040fac3, _ZN3povL11Box_UVCoordEPdPNS_13Object_StructEPNS_10istk_entryE
0x0040fad0:0x0040fbc4, _ZN3pov8Copy_BoxEPNS_13Object_StructE
0x0040fbd0:0x0040fd16, _ZN3povL13Translate_BoxEPNS_13Object_StructEPdPNS_16Transform_StructE
0x0040fd20:0x0040fdcc, _ZN3povL10Rotate_BoxEPNS_13Object_StructEPdPNS_16Transform_StructE
0x0040fdd0:0x0040ff87, _ZN3povL9Scale_BoxEPNS_13Object_StructEPdPNS_16Transform_StructE
0x0040ff90:0x0041003c, _ZN3povL13Transform_BoxEPNS_13Object_StructEPNS_16Transform_StructE
0x00410040:0x00410045, _ZN3povL10Invert_BoxEPNS_13Object_StructE
0x00410050:0x00410070, _ZN3pov11Destroy_BoxEPNS_13Object_StructE
0x00410070:0x00410792, _ZN3pov13Intersect_BoxEPNS_10Ray_StructEPNS_16Transform_StructEPdS4_S4_S4_PiS5_
0x004107a0:0x0041082c, _ZN3pov10Create_BoxEv
0x00410830:0x004108a4, _ZN3pov16Compute_Box_BBoxEPNS_10Box_StructE
0x004108b0:0x00410931, _ZN3pov31Build_Bounding_Sphere_HierarchyEPPNS_19BSphere_Tree_StructEiPS2_
0x00410940:0x004115ce, _ZN3povL14sort_and_splitEPPNS_19BSphere_Tree_StructEPS2_Piii
0x004115d0:0x00411642, _ZN3pov33Destroy_Bounding_Sphere_HierarchyEPNS_19BSphere_Tree_StructE
0x00411650:0x0041168f, _ZN3povL13comp_elementsEPKvS1_
0x00411690:0x004116bb, _ZN3pov16Translate_CameraEPNS_13Camera_StructEPd
0x004116c0:0x00411723, _ZN3pov13Rotate_CameraEPNS_13Camera_StructEPd
0x00411730:0x0041177c, _ZN3pov16Transform_CameraEPNS_13Camera_StructEPNS_16Transform_StructE
0x00411780:0x004117e3, _ZN3pov12Scale_CameraEPNS_13Camera_StructEPd
0x004117f0:0x004118f5, _ZN3pov13Create_CameraEv
0x00411900:0x00411af3, _ZN3pov11Copy_CameraEPNS_13Camera_StructE
0x00411b00:0x00411b36, _ZN3pov14Destroy_CameraEPNS_13Camera_StructE
0x00411b40:0x00411fa0, _ZN3pov6chdtriEdd
0x00411fa0:0x004122d6, _ZN3povL4lgamEd
0x004122e0:0x00412584, _ZN3povL5igamcEdd
0x00412590:0x004125bb, _ZN3pov13Create_ColourEv
0x004125c0:0x00412613, _ZN3pov11Copy_ColourEPf
0x00412620:0x0041263d, _ZN3pov19Create_BMap_EntriesEi
0x00412640:0x00412756, _ZN3pov17Copy_BMap_EntriesEPNS_15Blend_Map_EntryEii
0x00412760:0x00412791, _ZN3pov16Create_Blend_MapEv
0x004127a0:0x004127b4, _ZN3pov14Copy_Blend_MapEPNS_16Blend_Map_StructE
0x004127c0:0x004127f9, _ZN3pov15Colour_DistanceEPfS0_
0x00412800:0x0041284b, _ZN3pov20Colour_Distance_RGBTEPfS0_
0x00412850:0x00412899, _ZN3pov10Add_ColourEPfS0_S0_
0x004128a0:0x0041290d, _ZN3pov12Scale_ColourEPfS0_d
0x00412910:0x00412a50, _ZN3pov11Clip_ColourEPfS0_
0x00412a50:0x00412b1f, _ZN3pov17Destroy_Blend_MapEPNS_16Blend_Map_StructE
0x00412b20:0x00412c23, _ZN3pov8RGBtoHueEPf
0x00412c30:0x00412ce1, _ZN3pov13gamma_correctEPf
0x00412cf0:0x00412e9c, _ZN3pov14extract_colorsEPfPhS1_S1_S1_Pd
0x00412ea0:0x00412faf, _ZN3pov24extract_colors_nocorrectEPfPhS1_S1_S1_Pd
0x00412fb0:0x00413047, _ZN3pov17colour2photonRgbeEPhPf
0x00413050:0x004130c2, _ZN3pov17photonRgbe2colourEPfPh
0x004130d0:0x004131c6, _ZN3pov19prepare_output_lineEPA5_f
0x004131d0:0x004131e2, _ZN3pov11ClipColorAAEPf
0x004131f0:0x00413836, _ZN3povL22All_Cone_IntersectionsEPNS_13Object_StructEPNS_10Ray_StructEPNS_13istack_structE
0x00413840:0x0041391f, _ZN3povL11Inside_ConeEPdPNS_13Object_StructE
0x00413920:0x00413a0b, _ZN3povL11Cone_NormalEPdPNS_13Object_StructEPNS_10istk_entryE
0x00413a10:0x00413b4d, _ZN3povL9Copy_ConeEPNS_13Object_StructE
0x00413b50:0x00413bb0, _ZN3povL14Translate_ConeEPNS_13Object_StructEPdPNS_16Transform_StructE
0x00413bb0:0x00413c10, _ZN3povL11Rotate_ConeEPNS_13Object_StructEPdPNS_16Transform_StructE
0x00413c10:0x00413c70, _ZN3povL10Scale_ConeEPNS_13Object_StructEPdPNS_16Transform_StructE
0x00413c70:0x00413ccd, _ZN3povL14Transform_ConeEPNS_13Object_StructEPNS_16Transform_StructE
0x00413cd0:0x00413cd5, _ZN3povL11Invert_ConeEPNS_13Object_StructE
0x00413ce0:0x00413d00, _ZN3povL12Destroy_ConeEPNS_13Object_StructE
0x00413d00:0x00413dcd, _ZN3pov11Create_ConeEv
0x00413dd0:0x00413ea9, _ZN3pov15Create_CylinderEv
0x00413eb0:0x004140f3, _ZN3pov17Compute_Cone_DataEPNS_13Object_StructE
0x00414100:0x0041421a, _ZN3pov21Compute_Cylinder_DataEPNS_13Object_StructE
0x00414220:0x0041426f, _ZN3pov17Compute_Cone_BBoxEPNS_11Cone_StructE
0x00414270:0x00414538, _ZN3povL27All_CSG_Union_IntersectionsEPNS_13Object_StructEPNS_10Ray_StructEPNS_13istack_structE
0x00414540:0x00414593, _ZN3povL16Inside_CSG_UnionEPdPNS_13Object_StructE
0x004145a0:0x00414684, _ZN3povL8Copy_CSGEPNS_13Object_StructE
0x00414690:0x004146e1, _ZN3povL13Translate_CSGEPNS_13Object_StructEPdPNS_16Transform_StructE
0x004146f0:0x00414741, _ZN3povL10Rotate_CSGEPNS_13Object_StructEPdPNS_16Transform_StructE
0x00414750:0x004147a1, _ZN3povL9Scale_CSGEPNS_13Object_StructEPdPNS_16Transform_StructE
0x004147b0:0x004147f8, _ZN3povL13Transform_CSGEPNS_13Object_StructEPNS_16Transform_StructE
0x00414800:0x0041483e, _ZN3povL16Invert_CSG_UnionEPNS_13Object_StructE
0x00414840:0x00414860, _ZN3povL11Destroy_CSGEPNS_13Object_StructE
0x00414860:0x00414ba5, _ZN3povL27All_CSG_Merge_IntersectionsEPNS_13Object_StructEPNS_10Ray_StructEPNS_13istack_structE
0x00414bb0:0x00414dce, _ZN3povL31All_CSG_Intersect_IntersectionsEPNS_13Object_StructEPNS_10Ray_StructEPNS_13istack_structE
0x00414dd0:0x00414e20, _ZN3povL23Inside_CSG_IntersectionEPdPNS_13Object_StructE
0x00414e20:0x00414e5e, _ZN3povL23Invert_CSG_IntersectionEPNS_13Object_StructE
0x00414e60:0x00414ece, _ZN3pov16Create_CSG_UnionEv
0x00414ed0:0x00414f34, _ZN3pov16Create_CSG_MergeEv
0x00414f40:0x00414fa4, _ZN3pov23Create_CSG_IntersectionEv
0x00414fb0:0x004154ed, _ZN3pov16Compute_CSG_BBoxEPNS_13Object_StructE
0x004154f0:0x004156df, _ZN3pov22Determine_CSG_TexturesEPNS_10CSG_StructEPdPiPPNS_14Texture_StructES2_
0x004156e0:0x004157de, _ZN3povL17Find_CSG_TexturesEPNS_10CSG_StructEPdPiPPNS_14Texture_StructE
0x004157e0:0x00415891, _ZN3pov11Create_DiscEv
0x004158a0:0x00415925, _ZN3pov12Compute_DiscEPNS_11Disc_StructE
0x00415930:0x00415b14, _ZN3povL22All_Disc_IntersectionsEPNS_13Object_StructEPNS_10Ray_StructEPNS_13istack_structE
0x00415b20:0x00415b5f, _ZN3povL11Inside_DiscEPdPNS_13Object_StructE
0x00415b60:0x00415b81, _ZN3povL11Disc_NormalEPdPNS_13Object_StructEPNS_10istk_entryE
0x00415b90:0x00415cb1, _ZN3povL9Copy_DiscEPNS_13Object_StructE
0x00415cc0:0x00415dbe, _ZN3povL14Translate_DiscEPNS_13Object_StructEPdPNS_16Transform_StructE
0x00415dc0:0x00415ebe, _ZN3povL11Rotate_DiscEPNS_13Object_StructEPdPNS_16Transform_StructE
0x00415ec0:0x00415fbe, _ZN3povL10Scale_DiscEPNS_13Object_StructEPdPNS_16Transform_StructE
0x00415fc0:0x004160c1, _ZN3povL14Transform_DiscEPNS_13Object_StructEPNS_16Transform_StructE
0x004160d0:0x004160d5, _ZN3povL11Invert_DiscEPNS_13Object_StructE
0x004160e0:0x00416100, _ZN3povL12Destroy_DiscEPNS_13Object_StructE
0x00416100:0x00416190, _ZN3pov17Parse_Float_ParamEv
0x00416190:0x004169ce, _ZN3povL13Parse_ExpressEPdPi
0x004169d0:0x00416b0e, _ZN3pov18Parse_Float_Param2EPdS0_
0x00416b10:0x00416b82, _ZN3pov11Parse_FloatEv
0x00416b90:0x0041a92a, _ZN3povL16Parse_Num_FactorEPdPi
0x0041a930:0x0041aed8, _ZN3povL16Parse_Rel_FactorEPdPi
0x0041aee0:0x0041afdf, _ZN3pov11Allow_FloatEd
0x0041afe0:0x0041b110, _ZN3pov12Allow_VectorEPd
0x0041b110:0x0041b1ba, _ZN3pov12Parse_VectorEPd
0x0041b1c0:0x0041b264, _ZN3pov14Parse_Vector4DEPd
0x0041b270:0x0041b311, _ZN3pov13Parse_UV_VectEPd
0x0041b320:0x0041b39f, _ZN3pov20Parse_Unknown_VectorEPdbPb
0x0041b3a0:0x0041b4cf, _ZN3pov18Parse_Scale_VectorEPd
0x0041b4d0:0x0041c1ab, _ZN3pov12Parse_ColourEPf
0x0041c1b0:0x0041c55a, _ZN3pov15Parse_Blend_MapEii
0x0041c560:0x0041c9aa, _ZN3pov16Parse_Blend_ListEiPNS_16Blend_Map_StructEi
0x0041c9b0:0x0041ca83, _ZN3pov26Parse_Item_Into_Blend_ListEi
0x0041ca90:0x0041cee2, _ZN3pov16Parse_Colour_MapEv
0x0041cef0:0x0041d134, _ZN3pov12Parse_SplineEv
0x0041d140:0x0041d156, _ZN3pov22Init_Random_GeneratorsEv
0x0041d160:0x0041d19e, _ZN3pov25Destroy_Random_GeneratorsEv
0x0041d1a0:0x0041d22e, _ZN3pov18Parse_Signed_FloatEv
0x0041d230:0x0041e264, _ZN3povL14Parse_Rel_TermEPdPi
0x0041e270:0x0041e5c9, _ZN3povL11Parse_TraceEPd
0x0041e5d0:0x0041eb32, _ZN3povL14Parse_Num_TermEPdPi
0x0041eb40:0x0041ec95, _ZN3pov6FNCodeC2EPNS_12FunctionCodeEbPKc
0x0041eca0:0x0041ed98, _ZN3pov6FNCode9ParameterEv
0x0041eda0:0x0041f0d9, _ZN3pov6FNCode7CompileEPNS_14ExprNodeStructE
0x0041f0e0:0x0041f191, _ZN3pov6FNCode19compile_instructionEjjjj
0x0041f1a0:0x0041f650, _ZN3pov6FNCode18compile_parametersEv
0x0041f650:0x00420e91, _ZN3pov6FNCode17compile_recursiveEPNS_14ExprNodeStructE
0x00420ea0:0x00420f05, _ZN3pov6FNCode19compile_instructionEjjjjj
0x00420f10:0x00421095, _ZN3pov11FNCode_CopyEPNS_12FunctionCodeES1_
0x004210a0:0x00421204, _ZN3pov13FNCode_DeleteEPNS_12FunctionCodeE
0x00421210:0x00421211, _ZN3pov6FNCode7SetFlagEjPc
0x00421220:0x004213cc, _ZN3pov6FNCode19compile_push_resultEv
0x004213d0:0x00421703, _ZN3pov6FNCode16compile_variableEPc
0x00421710:0x004220c0, _ZN3pov6FNCode14compile_memberEPc
0x004220c0:0x00422fa3, _ZN3pov6FNCode12compile_callEPNS_14ExprNodeStructEjiPc
0x00422fb0:0x00423126, _ZN3pov6FNCode18compile_pop_resultEj
0x00423130:0x00423559, _ZN3pov6FNCode14compile_selectEPNS_14ExprNodeStructE
0x00423560:0x00423c3d, _ZN3pov6FNCode27compile_float_function_callEPNS_14ExprNodeStructEjPc
0x00423c40:0x00424354, _ZN3pov6FNCode28compile_vector_function_callEPNS_14ExprNodeStructEjPc
0x00424360:0x00424d16, _ZN3pov6FNCode14compile_seq_opEPNS_14ExprNodeStructEjd
0x00424d20:0x00424ead, _ZN3pov6FNCode14compile_inlineEPNS_12FunctionCodeE
0x00424eb0:0x00424ff1, _ZN3pov12f_algbr_cyl1EPdj
0x00425000:0x00425150, _ZN3pov12f_algbr_cyl2EPdj
0x00425150:0x00425298, _ZN3pov12f_algbr_cyl3EPdj
0x004252a0:0x00425401, _ZN3pov12f_algbr_cyl4EPdj
0x00425410:0x00425471, _ZN3pov8f_bicornEPdj
0x00425480:0x004254e7, _ZN3pov9f_bifoliaEPdj
0x004254f0:0x0042557a, _ZN3pov6f_blobEPdj
0x00425580:0x00425610, _ZN3pov7f_blob2EPdj
0x00425610:0x00425735, _ZN3pov13f_boy_surfaceEPdj
0x00425740:0x004258a6, _ZN3pov7f_commaEPdj
0x004258b0:0x004259ac, _ZN3pov18f_cross_ellipsoidsEPdj
0x004259b0:0x004259e4, _ZN3pov16f_crossed_troughEPdj
0x004259f0:0x00425a3e, _ZN3pov14f_cubic_saddleEPdj
0x00425a40:0x00425af0, _ZN3pov9f_cushionEPdj
0x00425af0:0x00425b75, _ZN3pov14f_devils_curveEPdj
0x00425b80:0x00425cce, _ZN3pov17f_devils_curve_2dEPdj
0x00425cd0:0x00425e6b, _ZN3pov14f_dupin_cyclidEPdj
0x00425e70:0x00425ec7, _ZN3pov11f_ellipsoidEPdj
0x00425ed0:0x00425fb9, _ZN3pov9f_enneperEPdj
0x00425fc0:0x0042609a, _ZN3pov14f_flange_coverEPdj
0x004260a0:0x0042610d, _ZN3pov16f_folium_surfaceEPdj
0x00426110:0x00426277, _ZN3pov19f_folium_surface_2dEPdj
0x00426280:0x004262da, _ZN3pov6f_globEPdj
0x004262e0:0x00426374, _ZN3pov7f_heartEPdj
0x00426380:0x00426562, _ZN3pov15f_helical_torusEPdj
0x00426570:0x00426781, _ZN3pov8f_helix1EPdj
0x00426790:0x004268e0, _ZN3pov8f_helix2EPdj
0x004268e0:0x004269f4, _ZN3pov7f_hex_xEPdj
0x00426a00:0x00426b22, _ZN3pov7f_hex_yEPdj
0x00426b30:0x00426d19, _ZN3pov11f_hetero_mfEPdj
0x00426d20:0x00426dc8, _ZN3pov14f_hunt_surfaceEPdj
0x00426dd0:0x00426e9b, _ZN3pov18f_hyperbolic_torusEPdj
0x00426ea0:0x00426fa0, _ZN3pov18f_isect_ellipsoidsEPdj
0x00426fa0:0x00427018, _ZN3pov20f_kampyle_of_eudoxusEPdj
0x00427020:0x0042717f, _ZN3pov23f_kampyle_of_eudoxus_2dEPdj
0x00427180:0x0042721c, _ZN3pov14f_klein_bottleEPdj
0x00427220:0x004272b2, _ZN3pov19f_kummer_surface_v1EPdj
0x004272c0:0x00427379, _ZN3pov19f_kummer_surface_v2EPdj
0x00427380:0x004273da, _ZN3pov22f_lemniscate_of_geronoEPdj
0x004273e0:0x00427543, _ZN3pov25f_lemniscate_of_gerono_2dEPdj
0x00427550:0x004278d7, _ZN3pov7f_mesh1EPdj
0x004278e0:0x00427960, _ZN3pov7f_mitreEPdj
0x00427960:0x004279c8, _ZN3pov13f_nodal_cubicEPdj
0x004279d0:0x00427a8a, _ZN3pov5f_oddEPdj
0x00427a90:0x00427b15, _ZN3pov18f_ovals_of_cassiniEPdj
0x00427b20:0x00427b6d, _ZN3pov12f_paraboloidEPdj
0x00427b70:0x00427c29, _ZN3pov17f_parabolic_torusEPdj
0x00427c30:0x00427c72, _ZN3pov4f_phEPdj
0x00427c80:0x00427cd1, _ZN3pov8f_pillowEPdj
0x00427ce0:0x00427d46, _ZN3pov10f_piriformEPdj
0x00427d50:0x00427eb1, _ZN3pov13f_piriform_2dEPdj
0x00427ec0:0x00427f49, _ZN3pov7f_poly4EPdj
0x00427f50:0x004280a4, _ZN3pov11f_polytubesEPdj
0x004280b0:0x004281a3, _ZN3pov9f_quantumEPdj
0x004281b0:0x00428203, _ZN3pov20f_quartic_paraboloidEPdj
0x00428210:0x00428263, _ZN3pov16f_quartic_saddleEPdj
0x00428270:0x004282e7, _ZN3pov18f_quartic_cylinderEPdj
0x004282f0:0x00428323, _ZN3pov3f_rEPdj
0x00428330:0x004285ca, _ZN3pov7f_ridgeEPdj
0x004285d0:0x00428823, _ZN3pov11f_ridged_mfEPdj
0x00428830:0x0042895d, _ZN3pov13f_rounded_boxEPdj
0x00428960:0x004289b0, _ZN3pov8f_sphereEPdj
0x004289b0:0x00428ac6, _ZN3pov8f_spikesEPdj
0x00428ad0:0x00428b58, _ZN3pov11f_spikes_2dEPdj
0x00428b60:0x00428d25, _ZN3pov8f_spiralEPdj
0x00428d30:0x00428da6, _ZN3pov16f_steiners_romanEPdj
0x00428db0:0x00428e2d, _ZN3pov11f_strophoidEPdj
0x00428e30:0x00428f98, _ZN3pov14f_strophoid_2dEPdj
0x00428fa0:0x0042905f, _ZN3pov16f_superellipsoidEPdj
0x00429060:0x0042906e, _ZN3pov4f_thEPdj
0x00429070:0x004290f4, _ZN3pov7f_torusEPdj
0x00429100:0x004291e0, _ZN3pov8f_torus2EPdj
0x004291e0:0x00429272, _ZN3pov15f_torus_gumdropEPdj
0x00429280:0x004292cd, _ZN3pov10f_umbrellaEPdj
0x004292d0:0x00429332, _ZN3pov17f_witch_of_agnesiEPdj
0x00429340:0x00429488, _ZN3pov20f_witch_of_agnesi_2dEPdj
0x00429490:0x004294b5, _ZN3pov9f_noise3dEPdj
0x004294c0:0x00429524, _ZN3pov9f_patternEPdj
0x00429530:0x0042956e, _ZN3pov17f_noise_generatorEPdj
0x00429570:0x00429645, _ZN3pov9f_pigmentEPdjj
