0x00401700:0x00401792, AddColumnType
0x0041e090:0x0041e27c, CompactDataBase
0x0041e280:0x0041e340, bDBRndDeleteEntry
0x0041e340:0x0041e3c2, DBRndLoopEntryWithPrefix
0x0041e3d0:0x0041e460, bDBRndNextEntryWithPrefix
0x0041e460:0x0041e4b0, DBSeqRewind
0x0041e4b0:0x0041e586, dbDBSeqOpen
0x0041e590:0x0041e5d8, DBSeqSkipData
0x0041e5e0:0x0041e5e9, lDBSeqCurPos
0x0041e5f0:0x0041e608, DBSeqGoto
0x0041e610:0x0041e708, bDBGetType
0x0041e710:0x0041ea10, bDBGetValue
0x0041ea10:0x0041ed98, DBPutValue
0x0041eda0:0x0041f5f9, bDBGetTableType
0x0041f600:0x00420142, bDBGetTable
0x00420150:0x00421052, DBPutTable
0x00421060:0x0042114b, DBClose
0x00421150:0x00421317, dbDBRndOpen
0x00421320:0x004213a9, DBPushPrefix
0x004213b0:0x004213d1, DBPopPrefix
0x004213e0:0x004213f2, DBZeroPrefix
0x00421400:0x00421454, DBPushZeroPrefix
0x00421460:0x0042148b, rt_errormsg
0x00421490:0x004214be, rt_errormsg_s
0x004214c0:0x004214f1, rt_errormsg_2s
0x00421500:0x0042152d, rt_errormsg_d
0x00421530:0x00421724, chirvol
0x00421730:0x00421772, spec_init_genrand
0x00421780:0x00421785, spec_srand
0x00421790:0x004218d4, spec_init_by_array
0x004218e0:0x00421a5d, spec_genrand_int32
0x00421a60:0x00421a69, spec_genrand_int31
0x00421a70:0x00421a72, spec_lrand48
0x00421a80:0x00421ac2, spec_genrand_real1
0x00421ad0:0x00421b12, spec_genrand_real2
0x00421b20:0x00421b22, spec_rand
0x00421b30:0x00421b73, spec_genrand_real3
0x00421b80:0x00421bbc, spec_genrand_res53
0x00421bc0:0x00421ccc, p_b_coll_elem
0x00421cd0:0x00421d3d, othercase
0x00421d40:0x00421d98, freeset
0x00421da0:0x00421db6, dofwd
0x00421dc0:0x00421e55, p_count
0x00421e60:0x00421f1f, p_b_symbol
0x00421f20:0x00421f87, enlarge
0x00421f90:0x00421fe7, dupl
0x00421ff0:0x00422052, doemit
0x00422060:0x004220f3, doinsert
0x00422100:0x004223f6, repeat
0x00422400:0x00422eb8, p_bracket
0x00422ec0:0x00422fa3, ordinary
0x00422fb0:0x004239ed, p_ere
0x004239f0:0x0042422d, p_bre
0x00424230:0x0042493c, regcomp
0x00424940:0x00424b75, regerror
0x00424b80:0x00425204, sbackref
0x00425210:0x00425894, lbackref
0x004258a0:0x00425ca6, sstep
0x00425cb0:0x004260d2, sslow
0x004260e0:0x00426493, sdissect
0x004264a0:0x0042683f, lstep
0x00426840:0x00426cbf, lslow
0x00426cc0:0x004270b0, ldissect
0x004270b0:0x004283d8, regexec
0x004283e0:0x00428455, regfree
0x00428460:0x004284c5, __libc_csu_init
0x004284d0:0x004284d2, __libc_csu_fini
