0x00400cb0:0x00400cf5, free_properties
0x00414cf0:0x00414cf9, simple_coder_update
0x00414d00:0x00414d2e, simple_coder_end
0x00414d30:0x00414db5, copy_or_code
0x00414dc0:0x0041507c, simple_code
0x00415080:0x0041520a, lzma_simple_coder_init
0x00415210:0x00415237, lzma_simple_props_size
0x00415240:0x00415266, lzma_simple_props_encode
0x00415270:0x004152cc, lzma_simple_props_decode
0x004152d0:0x004154ba, x86_code
0x004154c0:0x00415503, x86_coder_init
0x00415510:0x00415517, lzma_simple_x86_encoder_init
0x00415520:0x00415524, lzma_simple_x86_decoder_init
0x00415530:0x004155ea, powerpc_code
0x004155f0:0x00415610, lzma_simple_powerpc_encoder_init
0x00415610:0x00415630, lzma_simple_powerpc_decoder_init
0x00415630:0x0041579a, ia64_code
0x004157a0:0x004157c0, lzma_simple_ia64_encoder_init
0x004157c0:0x004157e0, lzma_simple_ia64_decoder_init
0x004157e0:0x0041585a, arm_code
0x00415860:0x00415880, lzma_simple_arm_encoder_init
0x00415880:0x004158a0, lzma_simple_arm_decoder_init
0x004158a0:0x004159a1, armthumb_code
0x004159b0:0x004159d0, lzma_simple_armthumb_encoder_init
0x004159d0:0x004159f0, lzma_simple_armthumb_decoder_init
0x004159f0:0x00415ad2, sparc_code
0x00415ae0:0x00415b00, lzma_simple_sparc_encoder_init
0x00415b00:0x00415b20, lzma_simple_sparc_decoder_init
0x00415b20:0x00415b62, forget_filter_chain
0x00415b70:0x00415ba4, memlimit_too_small
0x00415bb0:0x00415be3, is_format_xz
0x00415bf0:0x00415cde, is_format_lzma
0x00415ce0:0x00415cee, coder_set_check
0x00415cf0:0x00415d06, coder_set_preset
0x00415d10:0x00415d1f, coder_set_extreme
0x00415d20:0x00415d71, coder_add_filter
0x00415d80:0x004161c1, coder_set_compression_settings
0x004161d0:0x00416740, coder_run
0x00416740:0x004167ec, io_write_buf
0x004167f0:0x004167fa, io_init
0x00416800:0x00416802, io_no_sparse
0x00416810:0x0041693a, io_open_src
0x00416940:0x004169cb, io_open_dest
0x004169d0:0x00416af9, io_close
0x00416b00:0x00416bb1, io_read
0x00416bc0:0x00416c67, io_pread
0x00416c70:0x00416d55, io_write
0x00416d60:0x00416d71, hardware_threadlimit_set
0x00416d80:0x00416d87, hardware_threadlimit_get
0x00416d90:0x00416dd6, hardware_memlimit_set
0x00416de0:0x00416e00, hardware_memlimit_get
0x00416e00:0x00416e20, hardware_memlimit_show
0x00416e20:0x00416e4c, hardware_init
0x00416e50:0x00416f0b, get_check_names
0x00416f10:0x00416fbe, get_ratio
0x00416fc0:0x004170d3, print_totals_robot
0x004170e0:0x00417243, print_adv_helper
0x00417250:0x004173db, print_totals_basic
0x004173e0:0x00417535, parse_check_value
0x00417540:0x0041780f, parse_block_header
0x00417810:0x00417f49, print_info_adv
0x00417f50:0x0041813b, print_info_basic
0x00418140:0x0041858c, parse_indexes
0x00418590:0x00418928, print_info_robot
0x00418930:0x00418a4c, list_totals
0x00418a50:0x00418c07, list_file
0x00418c10:0x00418c21, set_exit_status
0x00418c30:0x00418c32, set_exit_no_warn
0x00418c40:0x00418c42, message_init
0x00418c50:0x00418c66, message_verbosity_increase
0x00418c70:0x00418c85, message_verbosity_decrease
0x00418c90:0x00418c97, message_verbosity_get
0x00418ca0:0x00418ca2, message_set_files
0x00418cb0:0x00418cb8, message_filename
0x00418cc0:0x00418cc2, message_progress_start
0x00418cd0:0x00418cd2, message_progress_update
0x00418ce0:0x00418ce2, message_progress_end
0x00418cf0:0x00418d28, message
0x00418d30:0x00418d72, message_warning
0x00418d80:0x00418dc2, message_error
0x00418dd0:0x00418dff, message_fatal
0x00418e20:0x00418e29, message_bug
0x00418e30:0x00418e39, message_signal_handler
0x00418e40:0x00418ed6, message_strm
0x00418ee0:0x00419005, message_mem_needed
0x00419010:0x004192e0, message_filters_to_str
0x004192e0:0x00419351, message_filters_show
0x00419360:0x00419378, message_try_help
0x00419380:0x004193f7, message_version
0x00419400:0x004195ab, message_help
0x004195b0:0x004195b9, set_delta
0x004195c0:0x004195c8, set_bcj
0x004195d0:0x004197ba, parse_options
0x004197c0:0x004198b3, set_lzma
0x004198c0:0x00419931, options_delta
0x00419940:0x00419989, options_bcj
0x00419990:0x00419a27, options_lzma
0x00419a30:0x00419a32, signals_init
0x00419a40:0x00419a42, signals_block
0x00419a50:0x00419a52, signals_unblock
0x00419a60:0x00419a62, signals_exit
0x00419a70:0x00419a9e, xrealloc_0
0x00419ab0:0x00419ad8, xrealloc
0x00419af0:0x00419b2f, xstrdup
0x00419b40:0x00419d19, str_to_uint64
0x00419d20:0x00419d33, round_up_to_mib
0x00419d40:0x00419d77, uint64_to_str
0x00419d80:0x00419e76, my_snprintf
0x00419e80:0x00419ff7, uint64_to_nicestr
0x0041a000:0x0041a028, is_empty_filename
0x0041a030:0x0041a033, is_tty_stdin
0x0041a040:0x0041a043, is_tty_stdout
0x0041a050:0x0041a052, tuklib_open_stdxxx
0x0041a060:0x0041a062, tuklib_progname_init
0x0041a070:0x0041a079, tuklib_exit
0x0041a080:0x0041a083, tuklib_cpucores
0x0041a090:0x0041a0a3, tuklib_mbstr_width
0x0041a0b0:0x0041a119, tuklib_mbstr_fw
0x0041a120:0x0041a1d8, fd_grow
0x0041a1e0:0x0041a34e, spec_mem_init
0x0041a350:0x0041a41d, spec_mem_sum
0x0041a420:0x0041a5f8, spec_mem_read
0x0041a600:0x0041a7e5, spec_mem_fread
0x0041a7f0:0x0041a98c, spec_mem_getc
0x0041a990:0x0041ab3f, spec_mem_ungetc
0x0041ab40:0x0041ad38, spec_mem_lseek
0x0041ad40:0x0041ad93, spec_mem_rewind
0x0041ada0:0x0041ae42, spec_mem_reset
0x0041ae50:0x0041aed2, spec_mem_get_length
0x0041aee0:0x0041b006, spec_mem_fopen
0x0041b010:0x0041b12d, spec_mem_open
0x0041b130:0x0041b2bd, spec_mem_write
0x0041b2c0:0x0041b43e, spec_mem_fwrite
0x0041b440:0x0041b5b6, spec_mem_putc
0x0041b5c0:0x0041b688, spec_mem_feof
0x0041b690:0x0041b71d, spec_mem_close
0x0041b720:0x0041b723, spec_empty
0x0041b730:0x0041b732, spec_initbufs
0x0041b740:0x0041b7a5, spec_compress
0x0041b7b0:0x0041b815, spec_uncompress
0x0041b820:0x0041b823, debug_time
0x0041b830:0x0041b87e, print_sum
0x0041b880:0x0041b963, sum_str_to_hex
0x0041b970:0x0041ba2c, compare_sum
0x0041ba30:0x0041bf33, spec_mem_load
0x0041bf40:0x0041bff2, spec_mem_alloc_fds
0x0041c000:0x0041c0b9, spec_mem_free_fds
0x0041c0c0:0x0041c66e, sha_compress
0x0041c670:0x0041c6ef, sha_init
0x0041c6f0:0x0041c80e, sha_process
0x0041c810:0x0041c906, sha_done
0x0041c910:0x0041c975, __libc_csu_init
0x0041c980:0x0041c982, __libc_csu_fini
