0x00400c00:0x00400c2a, _start
0x0040e542:0x0040e55a, _Z4logLi
0x0040e55a:0x0040e55c, _Z14dumpsearchstatP7state_t
0x0040e55c:0x0040e71d, _Z13allocate_timeP11gamestate_ti
0x0040e71d:0x0040ed7b, _Z11comp_to_sanP7state_tiPc
0x0040ed7b:0x0040efce, _Z13comp_to_coordP7state_tiPc
0x0040efce:0x0040f1d6, _ZL15hash_extract_pvP7state_tiPc
0x0040f1d6:0x0040f21c, _Z7is_movePc
0x0040f21c:0x0040f350, _Z19extract_ponder_moveP7state_t
0x0040f350:0x0040f369, _Z12stringize_pvP7state_tPc
0x0040f369:0x0040f36f, _Z9rdifftimeii
0x0040f36f:0x0040f50c, _Z18reset_piece_squareP7state_t
0x0040f50c:0x0040f606, _Z9init_gameP11gamestate_tP7state_t
0x0040f606:0x0040f715, _Z8myprintfPKcz
0x0040f715:0x0040f8eb, _Z13display_boardP7state_ti
0x0040f8eb:0x0040f9d3, _Z20extract_current_pathP7state_t
0x0040f9d3:0x0040fa3d, _Z24extract_current_bestlineP7state_t
0x0040fa3d:0x0040fc61, _Z13post_thinkingP7state_tiiPci
0x0040fc61:0x0040fe24, _Z16post_fh_thinkingP7state_tiiPci
0x0040fe24:0x0040ffe6, _Z16post_fl_thinkingP7state_tiiPci
0x0040ffe6:0x0041030b, _Z21post_multipv_thinkingP7state_tiii
0x0041030b:0x00410481, _Z6rinputPciP8_IO_FILE
0x00410481:0x00410487, _Z5rtimev
0x00410487:0x0041049f, _Z8start_upv
0x0041049f:0x00410585, _Z12verify_coordP7state_tPcPi
0x00410585:0x004107c6, _Z17input_causes_stopv
0x004107c6:0x004107cc, _Z9interruptv
0x004107cc:0x00410847, _Z11reset_boardP7state_t
0x00410847:0x004109c5, _Z15make_text_movesP11gamestate_tP7state_tPc
0x004109c5:0x00410a2a, _Z8myrandomv
0x00410a2a:0x00410a64, _Z7mysrandj
0x00410a70:0x00410ad5, __libc_csu_init
0x00410ae0:0x00410ae2, __libc_csu_fini
