0x004021f0:0x0040221a, _start
0x0040adc5:0x0040b17e, _ZN3povL25bezier_subpatch_intersectEPNS_10Ray_StructEPNS_20Bicubic_Patch_StructEPA4_A4_A3_dddddPNS_13istack_structE
0x0040b17e:0x0040b4f7, _ZN3povL23bezier_split_left_rightEPA4_A4_A3_dS3_S3_
0x0040b4f7:0x0040b864, _ZN3povL20bezier_split_up_downEPA4_A4_A3_dS3_S3_
0x0040b864:0x0040bdba, _ZN3povL27determine_subpatch_flatnessEPA4_A4_A3_d
0x0040bdba:0x0040be14, _ZN3povL11flat_enoughEPNS_20Bicubic_Patch_StructEPA4_A4_A3_d
0x0040be14:0x0040c4c6, _ZN3povL17bezier_subdividerEPNS_10Ray_StructEPNS_20Bicubic_Patch_StructEPA4_A4_A3_dddddiPNS_13istack_structE
0x0040c4c6:0x0040c589, _ZN3povL19bezier_tree_deleterEPNS_18Bezier_Node_StructE
0x0040c589:0x0040ca5c, _ZN3povL18bezier_tree_walkerEPNS_10Ray_StructEPNS_20Bicubic_Patch_StructEPNS_18Bezier_Node_StructEPNS_13istack_structE
0x0040ca5c:0x0040cabc, _ZN3povL24intersect_bicubic_patch0EPNS_10Ray_StructEPNS_20Bicubic_Patch_StructEPNS_13istack_structE
0x0040cabc:0x0040cb65, _ZN3povL31All_Bicubic_Patch_IntersectionsEPNS_13Object_StructEPNS_10Ray_StructEPNS_13istack_structE
0x0040cb65:0x0040cb78, _ZN3povL20Inside_Bicubic_PatchEPdPNS_13Object_StructE
0x0040cb78:0x0040cba6, _ZN3povL20Bicubic_Patch_NormalEPdPNS_13Object_StructEPNS_10istk_entryE
0x0040cba6:0x0040cca2, _ZN3povL23Translate_Bicubic_PatchEPNS_13Object_StructEPdPNS_16Transform_StructE
0x0040cca2:0x0040cccc, _ZN3povL20Rotate_Bicubic_PatchEPNS_13Object_StructEPdPNS_16Transform_StructE
0x0040cccc:0x0040cdc8, _ZN3povL19Scale_Bicubic_PatchEPNS_13Object_StructEPdPNS_16Transform_StructE
0x0040cdc8:0x0040cec0, _ZN3povL23Transform_Bicubic_PatchEPNS_13Object_StructEPNS_16Transform_StructE
0x0040cec0:0x0040cecb, _ZN3povL20Invert_Bicubic_PatchEPNS_13Object_StructE
0x0040cecb:0x0040d0d2, _ZN3pov20Create_Bicubic_PatchEv
0x0040d0d2:0x0040d2d4, _ZN3povL18Copy_Bicubic_PatchEPNS_13Object_StructE
0x0040d2d4:0x0040d374, _ZN3povL21Destroy_Bicubic_PatchEPNS_13Object_StructE
0x0040d374:0x0040d689, _ZN3pov26Compute_Bicubic_Patch_BBoxEPNS_20Bicubic_Patch_StructE
0x0040d689:0x0040d6b7, _ZN3povL21Bicubic_Patch_UVCoordEPdPNS_13Object_StructEPNS_10istk_entryE
0x0040d6b7:0x0040d83d, _ZN3povL18Compute_Texture_UVEPdPA2_dS0_
0x0040d83d:0x0040d871, _ZN3pov14Assign_UV_VectEPdS0_
0x0040d871:0x0040d8a8, _ZN3pov4itopEPNS_13istack_structE
0x0040d8a8:0x0040d978, _ZN3pov20push_normal_uv_entryEdPdS0_S0_PNS_13Object_StructEPNS_13istack_structE
0x0040d978:0x0040d9f7, _ZN3pov4VAddEPdPKdS2_
0x0040d9f7:0x0040da72, _ZN3pov6VAddEqEPdPKd
0x0040da72:0x0040dad5, _ZN3pov6VScaleEPdPKdd
0x0040dad5:0x0040db34, _ZN3pov8VScaleEqEPdd
0x0040db34:0x0040dba9, _ZN3pov13VInverseScaleEPdPKdd
0x0040dba9:0x0040dca9, _ZN3pov6VCrossEPdPKdS2_
0x0040dca9:0x0040dd28, _ZN3pov9VEvaluateEPdPKdS2_
0x0040dd28:0x0040dda0, _ZN3pov7VLengthERdPKd
0x0040dda0:0x0040ddfe, _ZN3pov7VSumSqrEPd
0x0040ddfe:0x0040de8d, _ZN3pov12VAddScaledEqEPddPKd
0x0040de8d:0x0040f441, _ZN3povL22All_Blob_IntersectionsEPNS_13Object_StructEPNS_10Ray_StructEPNS_13istack_structE
0x0040f441:0x0040f83a, _ZN3povL10insert_hitEPNS_19Blob_Element_StructEddPNS_20Blob_Interval_StructEPj
0x0040f83a:0x0040fd93, _ZN3povL18intersect_cylinderEPNS_19Blob_Element_StructEPdS2_dS2_S2_
0x0040fd93:0x00410034, _ZN3povL19intersect_ellipsoidEPNS_19Blob_Element_StructEPdS2_dS2_S2_
0x00410034:0x00410691, _ZN3povL20intersect_hemisphereEPNS_19Blob_Element_StructEPdS2_dS2_S2_
0x00410691:0x0041085b, _ZN3povL16intersect_sphereEPNS_19Blob_Element_StructEPdS2_dS2_S2_
0x0041085b:0x004109cc, _ZN3povL17intersect_elementEPdS0_PNS_19Blob_Element_StructEdS0_S0_
0x004109cc:0x00410cf1, _ZN3povL20determine_influencesEPdS0_PNS_11Blob_StructEdPNS_20Blob_Interval_StructE
0x00410cf1:0x004110aa, _ZN3povL23calculate_element_fieldEPNS_19Blob_Element_StructEPd
0x004110aa:0x004112ae, _ZN3povL21calculate_field_valueEPNS_11Blob_StructEPd
0x004112ae:0x00411384, _ZN3povL11Inside_BlobEPdPNS_13Object_StructE
0x00411384:0x00411817, _ZN3povL14element_normalEPdS0_PNS_19Blob_Element_StructE
0x00411817:0x00411b48, _ZN3povL11Blob_NormalEPdPNS_13Object_StructEPNS_10istk_entryE
0x00411b48:0x00411b72, _ZN3povL14Translate_BlobEPNS_13Object_StructEPdPNS_16Transform_StructE
0x00411b72:0x00411b9c, _ZN3povL11Rotate_BlobEPNS_13Object_StructEPdPNS_16Transform_StructE
0x00411b9c:0x00411bc6, _ZN3povL10Scale_BlobEPNS_13Object_StructEPdPNS_16Transform_StructE
0x00411bc6:0x00411c73, _ZN3povL14Transform_BlobEPNS_13Object_StructEPNS_16Transform_StructE
0x00411c73:0x00411c91, _ZN3povL11Invert_BlobEPNS_13Object_StructE
0x00411c91:0x00411e07, _ZN3pov11Create_BlobEv
0x00411e07:0x00411f3d, _ZN3povL9Copy_BlobEPNS_13Object_StructE
0x00411f3d:0x00411f74, _ZN3pov24Create_Blob_List_ElementEv
0x00411f74:0x00412231, _ZN3povL12Destroy_BlobEPNS_13Object_StructE
0x00412231:0x004124ed, _ZN3povL17Compute_Blob_BBoxEPNS_11Blob_StructE
0x004124ed:0x004127b8, _ZN3povL27get_element_bounding_sphereEPNS_19Blob_Element_StructEPdS2_
0x004127b8:0x004128c3, _ZN3povL17init_blob_elementEPNS_19Blob_Element_StructE
0x004128c3:0x00412e04, _ZN3pov9Make_BlobEPNS_11Blob_StructEdPNS_16Blob_List_StructEi
0x00412e04:0x00412ee4, _ZN3pov17Test_Blob_OpacityEPNS_11Blob_StructE
0x00412ee4:0x00413079, _ZN3povL24build_bounding_hierarchyEPNS_11Blob_StructE
0x00413079:0x00413432, _ZN3pov23Determine_Blob_TexturesEPNS_11Blob_StructEPdPiPPNS_14Texture_StructES2_
0x00413432:0x00413589, _ZN3povL25determine_element_textureEPNS_11Blob_StructEPNS_19Blob_Element_StructEPNS_14Texture_StructEPdPiPS5_S6_
0x00413589:0x00413646, _ZN3pov22Translate_Blob_ElementEPNS_19Blob_Element_StructEPd
0x00413646:0x0041370e, _ZN3pov19Rotate_Blob_ElementEPNS_19Blob_Element_StructEPd
0x0041370e:0x00413897, _ZN3pov18Scale_Blob_ElementEPNS_19Blob_Element_StructEPd
0x00413897:0x004138fe, _ZN3pov22Transform_Blob_ElementEPNS_19Blob_Element_StructEPNS_16Transform_StructE
0x004138fe:0x00413927, _ZN3pov19Invert_Blob_ElementEPNS_19Blob_Element_StructE
0x00413927:0x004139f9, _ZN3povL11insert_nodeEPNS_11Blob_StructEPNS_19BSphere_Tree_StructEPj
0x004139f9:0x00413d04, _ZN3pov32Create_Blob_Element_Texture_ListEPNS_11Blob_StructEPNS_16Blob_List_StructEi
0x00413d04:0x00413dad, _ZN3pov10push_entryEdPdPNS_13Object_StructEPNS_13istack_structE
0x00413dad:0x00413e1e, _ZN3pov15VInverseScaleEqEPdd
0x00413e1e:0x00413e87, _ZN3pov10VNormalizeEPdPKd
0x00413e87:0x0041401a, _ZN3povL21All_Box_IntersectionsEPNS_13Object_StructEPNS_10Ray_StructEPNS_13istack_structE
0x0041401a:0x00414a45, _ZN3pov13Intersect_BoxEPNS_10Ray_StructEPNS_16Transform_StructEPdS4_S4_S4_PiS5_
0x00414a45:0x00414b82, _ZN3povL10Inside_BoxEPdPNS_13Object_StructE
0x00414b82:0x00414cd1, _ZN3povL10Box_NormalEPdPNS_13Object_StructEPNS_10istk_entryE
0x00414cd1:0x00414d47, _ZN3povL13Translate_BoxEPNS_13Object_StructEPdPNS_16Transform_StructE
0x00414d47:0x00414d71, _ZN3povL10Rotate_BoxEPNS_13Object_StructEPdPNS_16Transform_StructE
0x00414d71:0x00414ef2, _ZN3povL9Scale_BoxEPNS_13Object_StructEPdPNS_16Transform_StructE
0x00414ef2:0x00414f10, _ZN3povL10Invert_BoxEPNS_13Object_StructE
0x00414f10:0x00414f6b, _ZN3povL13Transform_BoxEPNS_13Object_StructEPNS_16Transform_StructE
0x00414f6b:0x00415110, _ZN3pov10Create_BoxEv
0x00415110:0x0041515f, _ZN3pov8Copy_BoxEPNS_13Object_StructE
0x0041515f:0x0041519c, _ZN3pov11Destroy_BoxEPNS_13Object_StructE
0x0041519c:0x0041521c, _ZN3pov16Compute_Box_BBoxEPNS_10Box_StructE
0x0041521c:0x004154ee, _ZN3povL11Box_UVCoordEPdPNS_13Object_StructEPNS_10istk_entryE
0x004154ee:0x00415543, _ZN3pov16Assign_BBox_VectERA3_fPd
0x00415543:0x004155e5, _ZN3pov13push_entry_i1EdPdPNS_13Object_StructEiPNS_13istack_structE
0x004155e5:0x00415670, _ZN3pov4VSubEPfPKdS2_
0x00415670:0x004156eb, _ZN3pov6VSubEqEPdPKd
0x004156eb:0x00415766, _ZN3pov6VDivEqEPdPKd
0x00415766:0x0041594c, _ZN3povL13merge_spheresEPdS0_S0_dS0_d
0x0041594c:0x00415a52, _ZN3povL15recompute_boundEPNS_19BSphere_Tree_StructE
0x00415a52:0x00415add, _ZN3povL13comp_elementsEPKvS1_
0x00415add:0x00415d4d, _ZN3povL9find_axisEPPNS_19BSphere_Tree_StructEii
0x00415d4d:0x00415e96, _ZN3povL16build_area_tableEPPNS_19BSphere_Tree_StructEiiPd
0x00415e96:0x00416271, _ZN3povL14sort_and_splitEPPNS_19BSphere_Tree_StructEPS2_Piii
0x00416271:0x004162e4, _ZN3pov31Build_Bounding_Sphere_HierarchyEPPNS_19BSphere_Tree_StructEiPS2_
0x004162e4:0x0041638d, _ZN3pov33Destroy_Bounding_Sphere_HierarchyEPNS_19BSphere_Tree_StructE
0x0041638d:0x004163b3, _ZN3pov16Translate_CameraEPNS_13Camera_StructEPd
0x004163b3:0x00416424, _ZN3pov13Rotate_CameraEPNS_13Camera_StructEPd
0x00416424:0x00416495, _ZN3pov12Scale_CameraEPNS_13Camera_StructEPd
0x00416495:0x0041651c, _ZN3pov16Transform_CameraEPNS_13Camera_StructEPNS_16Transform_StructE
0x0041651c:0x00416712, _ZN3pov13Create_CameraEv
0x00416712:0x00416801, _ZN3pov11Copy_CameraEPNS_13Camera_StructE
0x00416801:0x0041685b, _ZN3pov14Destroy_CameraEPNS_13Camera_StructE
0x0041685b:0x004168f8, _ZN3pov6chdtriEdd
0x004168f8:0x00416d5e, _ZN3povL4lgamEd
0x00416d5e:0x004170b8, _ZN3povL5igamcEdd
0x004170b8:0x0041724c, _ZN3povL4igamEdd
0x0041724c:0x00417456, _ZN3povL5igamiEdd
0x00417456:0x004176de, _ZN3povL5ndtriEd
0x004176de:0x0041774c, _ZN3povL6polevlEdPKdi
0x0041774c:0x004177c2, _ZN3povL5p1evlEdPKdi
0x004177c2:0x00417817, _ZN3pov13Create_ColourEv
0x00417817:0x00417856, _ZN3pov11Copy_ColourEPf
0x00417856:0x0041788d, _ZN3pov19Create_BMap_EntriesEi
0x0041788d:0x004179f3, _ZN3pov17Copy_BMap_EntriesEPNS_15Blend_Map_EntryEii
0x004179f3:0x00417a4e, _ZN3pov16Create_Blend_MapEv
0x00417a4e:0x00417a84, _ZN3pov14Copy_Blend_MapEPNS_16Blend_Map_StructE
0x00417a84:0x00417b16, _ZN3pov15Colour_DistanceEPfS0_
0x00417b16:0x00417bd8, _ZN3pov20Colour_Distance_RGBTEPfS0_
0x00417bd8:0x00417ca7, _ZN3pov10Add_ColourEPfS0_S0_
0x00417ca7:0x00417d6c, _ZN3pov12Scale_ColourEPfS0_d
0x00417d6c:0x00417f9b, _ZN3pov11Clip_ColourEPfS0_
0x00417f9b:0x004180c9, _ZN3pov17Destroy_Blend_MapEPNS_16Blend_Map_StructE
0x004180c9:0x00418326, _ZN3pov8RGBtoHueEPf
0x00418326:0x0041842d, _ZN3pov13gamma_correctEPf
0x0041842d:0x004185e1, _ZN3pov14extract_colorsEPfPhS1_S1_S1_Pd
0x004185e1:0x004187fe, _ZN3pov24extract_colors_nocorrectEPfPhS1_S1_S1_Pd
0x004187fe:0x00418963, _ZN3pov17colour2photonRgbeEPhPf
0x00418963:0x00418a51, _ZN3pov17photonRgbe2colourEPfPh
0x00418a51:0x00418ae6, _ZN3pov19prepare_output_lineEPA5_f
0x00418ae6:0x00418b13, _ZN3pov11ClipColorAAEPf
0x00418b13:0x00418c60, _ZN3povL22All_Cone_IntersectionsEPNS_13Object_StructEPNS_10Ray_StructEPNS_13istack_structE
0x00418c60:0x00419695, _ZN3povL14intersect_coneEPNS_10Ray_StructEPNS_11Cone_StructEPNS_27Cone_Intersection_StructureE
0x00419695:0x00419843, _ZN3povL11Inside_ConeEPdPNS_13Object_StructE
0x00419843:0x00419958, _ZN3povL11Cone_NormalEPdPNS_13Object_StructEPNS_10istk_entryE
0x00419958:0x00419982, _ZN3povL14Translate_ConeEPNS_13Object_StructEPdPNS_16Transform_StructE
0x00419982:0x004199ac, _ZN3povL11Rotate_ConeEPNS_13Object_StructEPdPNS_16Transform_StructE
0x004199ac:0x004199d6, _ZN3povL10Scale_ConeEPNS_13Object_StructEPdPNS_16Transform_StructE
0x004199d6:0x00419a14, _ZN3povL14Transform_ConeEPNS_13Object_StructEPNS_16Transform_StructE
0x00419a14:0x00419a32, _ZN3povL11Invert_ConeEPNS_13Object_StructE
0x00419a32:0x00419c1a, _ZN3pov11Create_ConeEv
0x00419c1a:0x00419c79, _ZN3povL9Copy_ConeEPNS_13Object_StructE
0x00419c79:0x00419e76, _ZN3pov15Create_CylinderEv
0x00419e76:0x0041a128, _ZN3pov17Compute_Cone_DataEPNS_13Object_StructE
0x0041a128:0x0041a22e, _ZN3pov21Compute_Cylinder_DataEPNS_13Object_StructE
0x0041a22e:0x0041a26b, _ZN3povL12Destroy_ConeEPNS_13Object_StructE
0x0041a26b:0x0041a2f9, _ZN3pov17Compute_Cone_BBoxEPNS_11Cone_StructE
0x0041a2f9:0x0041a598, _ZN3povL27All_CSG_Union_IntersectionsEPNS_13Object_StructEPNS_10Ray_StructEPNS_13istack_structE
0x0041a598:0x0041a758, _ZN3povL31All_CSG_Intersect_IntersectionsEPNS_13Object_StructEPNS_10Ray_StructEPNS_13istack_structE
0x0041a758:0x0041aa3a, _ZN3povL27All_CSG_Merge_IntersectionsEPNS_13Object_StructEPNS_10Ray_StructEPNS_13istack_structE
0x0041aa3a:0x0041aaab, _ZN3povL16Inside_CSG_UnionEPdPNS_13Object_StructE
0x0041aaab:0x0041ab1f, _ZN3povL23Inside_CSG_IntersectionEPdPNS_13Object_StructE
0x0041ab1f:0x0041ab85, _ZN3povL13Translate_CSGEPNS_13Object_StructEPdPNS_16Transform_StructE
0x0041ab85:0x0041abeb, _ZN3povL10Rotate_CSGEPNS_13Object_StructEPdPNS_16Transform_StructE
0x0041abeb:0x0041ac51, _ZN3povL9Scale_CSGEPNS_13Object_StructEPdPNS_16Transform_StructE
0x0041ac51:0x0041acaf, _ZN3povL13Transform_CSGEPNS_13Object_StructEPNS_16Transform_StructE
0x0041acaf:0x0041ad09, _ZN3povL16Invert_CSG_UnionEPNS_13Object_StructE
0x0041ad09:0x0041ad63, _ZN3povL23Invert_CSG_IntersectionEPNS_13Object_StructE
0x0041ad63:0x0041ae84, _ZN3pov16Create_CSG_UnionEv
0x0041ae84:0x0041af97, _ZN3pov16Create_CSG_MergeEv
0x0041af97:0x0041b0aa, _ZN3pov23Create_CSG_IntersectionEv
0x0041b0aa:0x0041b193, _ZN3povL8Copy_CSGEPNS_13Object_StructE
0x0041b193:0x0041b1d0, _ZN3povL11Destroy_CSGEPNS_13Object_StructE
0x0041b1d0:0x0041ba16, _ZN3pov16Compute_CSG_BBoxEPNS_13Object_StructE
0x0041ba16:0x0041bafe, _ZN3povL17Find_CSG_TexturesEPNS_10CSG_StructEPdPiPPNS_14Texture_StructE
0x0041bafe:0x0041bc0b, _ZN3pov22Determine_CSG_TexturesEPNS_10CSG_StructEPdPiPPNS_14Texture_StructES2_
0x0041bc0b:0x0041bcaa, _ZN3pov22Make_min_max_from_BBoxERA3_dS1_NS_19Bounding_Box_StructE
0x0041bcaa:0x0041bced, _ZN3pov9push_copyEPNS_13istack_structEPNS_10istk_entryE
0x0041bced:0x0041bd47, _ZN3pov9pop_entryEPNS_13istack_structE
0x0041bd47:0x0041bd85, _ZN3pov13BOUNDS_VOLUMEERdRKNS_19Bounding_Box_StructE
0x0041bd85:0x0041be53, _ZN3povL22All_Disc_IntersectionsEPNS_13Object_StructEPNS_10Ray_StructEPNS_13istack_structE
0x0041be53:0x0041c057, _ZN3povL14Intersect_DiscEPNS_10Ray_StructEPNS_11Disc_StructEPd
0x0041c057:0x0041c0e1, _ZN3povL11Inside_DiscEPdPNS_13Object_StructE
0x0041c0e1:0x0041c112, _ZN3povL11Disc_NormalEPdPNS_13Object_StructEPNS_10istk_entryE
0x0041c112:0x0041c13c, _ZN3povL14Translate_DiscEPNS_13Object_StructEPdPNS_16Transform_StructE
0x0041c13c:0x0041c166, _ZN3povL11Rotate_DiscEPNS_13Object_StructEPdPNS_16Transform_StructE
0x0041c166:0x0041c190, _ZN3povL10Scale_DiscEPNS_13Object_StructEPdPNS_16Transform_StructE
0x0041c190:0x0041c1ae, _ZN3povL11Invert_DiscEPNS_13Object_StructE
0x0041c1ae:0x0041c231, _ZN3povL14Transform_DiscEPNS_13Object_StructEPNS_16Transform_StructE
0x0041c231:0x0041c408, _ZN3pov11Create_DiscEv
0x0041c408:0x0041c467, _ZN3povL9Copy_DiscEPNS_13Object_StructE
0x0041c467:0x0041c4a4, _ZN3povL12Destroy_DiscEPNS_13Object_StructE
0x0041c4a4:0x0041c4f5, _ZN3pov12Compute_DiscEPNS_11Disc_StructE
0x0041c4f5:0x0041c5ad, _ZN3povL17Compute_Disc_BBoxEPNS_11Disc_StructE
0x0041c5ad:0x0041c66d, _ZN3pov17Parse_Float_ParamEv
0x0041c66d:0x0041c6fa, _ZN3pov18Parse_Float_Param2EPdS0_
0x0041c6fa:0x0041c74d, _ZN3povL18Parse_Vector_ParamEPd
0x0041c74d:0x0041c7b5, _ZN3povL19Parse_Vector_Param2EPdS0_
0x0041c7b5:0x0041cab1, _ZN3povL11Parse_TraceEPd
0x0041cab1:0x0041cbd5, _ZN3povL12Parse_InsideEv
0x0041cbd5:0x0041cc45, _ZN3povL10Parse_CallEv
0x0041cc45:0x0041cdba, _ZN3povL19Parse_Function_CallEv
0x0041cdba:0x0041cfad, _ZN3povL26Parse_Vector_Function_CallEPdPi
0x0041cfad:0x0041d11a, _ZN3povL17Parse_Spline_CallEPdPi
0x0041d11a:0x0041f713, _ZN3povL16Parse_Num_FactorEPdPi
0x0041f713:0x0041f7a1, _ZN3povL15Promote_ExpressEPdPii
0x0041f7a1:0x0041f9e1, _ZN3povL14Parse_Num_TermEPdPi
