0x00400cc0:0x00400cea, _start
0x0040d3c0:0x0040d44d, _Z16static_pawn_evalP7state_t
0x0040d450:0x0040e692, _ZL14full_pawn_evalP7state_tP8pawntt_t
0x0040e6a0:0x0040e7c0, _Z8psq_evalP7state_tP12t_eval_comps
0x0040e7c0:0x0040e842, _Z14init_psq_scoreP7state_t
0x0040e850:0x0040ea6a, _Z18preprocess_preparev
0x0040ea70:0x0040f5e9, _Z7qsearchP7state_tiiii
0x0040f5f0:0x0040f92e, _ZL17search_time_checkP7state_t
0x0040f930:0x0040fc13, _ZL16fast_order_movesP7state_tPiS1_ij
0x0040fc20:0x0040fd56, _ZL15remove_one_fastPiS_S_i
0x0040fd60:0x0040fe0d, _ZL15history_pre_cutP7state_tii
0x0040fe10:0x004122c7, _Z6searchP7state_tiiiii
0x004122d0:0x004126cf, _ZL11order_movesP7state_tPiS1_ij
0x004126d0:0x0041276e, _ZL13history_scoreP7state_ti
0x00412770:0x00412bb4, _ZL12history_goodP7state_tii
0x00412bc0:0x00412d92, _ZL11history_badP7state_tii
0x00412da0:0x00412e03, _Z14rootmovesearchP7state_tiiiii
0x00412e10:0x00413ce4, _Z11search_rootP7state_tiii
0x00413cf0:0x00413ddb, _Z21reset_search_countersP7state_t
0x00413de0:0x00413f3b, _Z17reset_search_dataP7state_t
0x00413f40:0x00414c20, _Z5thinkP11gamestate_tP7state_t
0x00414c20:0x00414fd0, _ZL12make_blunderP7state_tiPii
0x00414fd0:0x00415009, _ZSt3maxIiERKT_S2_S2_
0x00415010:0x00415608, _Z3seeP7state_tiiii
0x00415610:0x00415854, main
0x00415860:0x00415885, _Z8clear_ttv
0x00415890:0x004158c0, _Z11clear_dp_ttv
0x004158c0:0x00415999, _Z18initialize_zobristP7state_t
0x004159a0:0x00415abc, _Z15initialize_hashP7state_t
0x00415ac0:0x00415e63, _Z7StoreTTP7state_tiiijiiii
0x00415e70:0x004161fc, _Z7ProbeTTP7state_tPiiiPjS1_S1_S1_S1_i
0x00416200:0x0041626f, _Z10alloc_hashv
0x00416270:0x00416292, _Z9free_hashv
0x004162a0:0x004163c1, _Z12elo_to_depthi
0x004163d0:0x004164f1, _Z14elo_to_blunderi
0x00416500:0x0041656f, _Z12compact_movei
0x00416570:0x004165a3, _Z4logLi
0x004165b0:0x004165cd, _Z14dumpsearchstatP7state_t
0x004165d0:0x004168a8, _Z13allocate_timeP11gamestate_ti
0x004168b0:0x004170fc, _Z11comp_to_sanP7state_tiPc
0x00417100:0x004173be, _Z13comp_to_coordP7state_tiPc
0x004173c0:0x0041761c, _Z13display_boardP7state_ti
0x00417620:0x00417804, _Z8myprintfPKcz
0x00417810:0x0041794c, _Z9init_gameP11gamestate_tP7state_t
0x00417950:0x00417c24, _Z18reset_piece_squareP7state_t
0x00417c30:0x00417caf, _Z7is_movePc
0x00417cb0:0x00417de2, _Z20extract_current_pathP7state_t
0x00417df0:0x00417f64, _Z19extract_ponder_moveP7state_t
0x00417f70:0x00417fcf, _Z24extract_current_bestlineP7state_t
0x00417fd0:0x0041825c, _ZL15hash_extract_pvP7state_tiPc
0x00418260:0x0041829e, _Z12stringize_pvP7state_tPc
0x004182a0:0x0041858e, _Z13post_thinkingP7state_tiiPci
0x00418590:0x0041859e, _Z9rdifftimeii
0x004185a0:0x004185a8, _Z5rtimev
0x004185b0:0x00418820, _Z16post_fh_thinkingP7state_tiiPci
0x00418820:0x00418a7c, _Z16post_fl_thinkingP7state_tiiPci
0x00418a80:0x00418e31, _Z21post_multipv_thinkingP7state_tiii
0x00418e40:0x00418fcb, _ZL14resort_multipvv
0x00418fd0:0x004191dc, _Z6rinputPciP8_IO_FILE
0x004191e0:0x004191f7, _Z8start_upv
0x00419200:0x00419350, _Z12verify_coordP7state_tPcPi
0x00419350:0x0041973a, _Z17input_causes_stopv
0x00419740:0x00419748, _Z9interruptv
0x00419750:0x004197d4, _Z11reset_boardP7state_t
0x004197e0:0x004199e1, _Z15make_text_movesP11gamestate_tP7state_tPc
0x004199f0:0x00419a9c, _Z8myrandomv
0x00419aa0:0x00419b1f, _Z7mysrandj
0x00419b20:0x00419b85, __libc_csu_init
0x00419b90:0x00419b92, __libc_csu_fini
