0x00400bd0:0x00400bfa, _start
0x0040c510:0x0040cd2b, _Z5thinkP11gamestate_tP7state_t
0x0040cd30:0x0040cf0b, _ZL12make_blunderP7state_tiPii
0x0040cf10:0x0040cf1c, _ZSt3maxIiERKT_S2_S2_
0x0040cf20:0x0040d275, _Z3seeP7state_tiiii
0x0040d280:0x0040d3e3, main
0x0040d3f0:0x0040d40c, _Z8clear_ttv
0x0040d410:0x0040d428, _Z11clear_dp_ttv
0x0040d430:0x0040d4d1, _Z18initialize_zobristP7state_t
0x0040d4e0:0x0040d551, _Z15initialize_hashP7state_t
0x0040d560:0x0040d752, _Z7StoreTTP7state_tiiijiiii
0x0040d760:0x0040d93f, _Z7ProbeTTP7state_tPiiiPjS1_S1_S1_S1_i
0x0040d940:0x0040d999, _Z10alloc_hashv
0x0040d9a0:0x0040d9ba, _Z9free_hashv
0x0040d9c0:0x0040da10, _Z12elo_to_depthi
0x0040da10:0x0040da62, _Z14elo_to_blunderi
0x0040da70:0x0040da9f, _Z12compact_movei
0x0040daa0:0x0040daba, _Z4logLi
0x0040dac0:0x0040dac1, _Z14dumpsearchstatP7state_t
0x0040dad0:0x0040dc0c, _Z13allocate_timeP11gamestate_ti
0x0040dc10:0x0040dfb6, _Z11comp_to_sanP7state_tiPc
0x0040dfc0:0x0040e131, _Z13comp_to_coordP7state_tiPc
0x0040e140:0x0040e24b, _Z13display_boardP7state_ti
0x0040e250:0x0040e32a, _Z8myprintfPKcz
0x0040e330:0x0040e427, _Z9init_gameP11gamestate_tP7state_t
0x0040e430:0x0040e537, _Z18reset_piece_squareP7state_t
0x0040e540:0x0040e57e, _Z7is_movePc
0x0040e580:0x0040e64c, _Z20extract_current_pathP7state_t
0x0040e650:0x0040e748, _Z19extract_ponder_moveP7state_t
0x0040e750:0x0040e78d, _Z24extract_current_bestlineP7state_t
0x0040e790:0x0040e93f, _ZL15hash_extract_pvP7state_tiPc
0x0040e940:0x0040e953, _Z12stringize_pvP7state_tPc
0x0040e960:0x0040ebac, _Z13post_thinkingP7state_tiiPci
0x0040ebb0:0x0040ebb3, _Z9rdifftimeii
0x0040ebc0:0x0040ebc3, _Z5rtimev
0x0040ebd0:0x0040ed38, _Z16post_fh_thinkingP7state_tiiPci
0x0040ed40:0x0040ee97, _Z16post_fl_thinkingP7state_tiiPci
0x0040eea0:0x0040f1ac, _Z21post_multipv_thinkingP7state_tiii
0x0040f1b0:0x0040f297, _ZL14resort_multipvv
0x0040f2a0:0x0040f3d6, _Z6rinputPciP8_IO_FILE
0x0040f3e0:0x0040f3ec, _Z8start_upv
0x0040f3f0:0x0040f4b5, _Z12verify_coordP7state_tPcPi
0x0040f4c0:0x0040f6a2, _Z17input_causes_stopv
0x0040f6b0:0x0040f6b3, _Z9interruptv
0x0040f6c0:0x0040f72a, _Z11reset_boardP7state_t
0x0040f730:0x0040f846, _Z15make_text_movesP11gamestate_tP7state_tPc
0x0040f850:0x0040f8b3, _Z8myrandomv
0x0040f8c0:0x0040f8f8, _Z7mysrandj
0x0040f900:0x0040f965, __libc_csu_init
0x0040f970:0x0040f972, __libc_csu_fini
