0x00403d30:0x00403d5a, _start
0x00413978:0x004139cc, WM_event_add_keymap_handler_bb
0x004139cc:0x00413a2d, WM_event_remove_keymap_handler
0x00413a2d:0x00413b2e, WM_event_add_ui_handler
0x00413b2e:0x00413bd4, WM_event_remove_ui_handler
0x00413bd4:0x00413c69, WM_event_free_ui_handler_all
0x00413c69:0x00413cee, WM_event_add_dropbox_handler
0x00413cee:0x00413d61, WM_event_remove_area_handler
0x00413d61:0x00413d8a, WM_event_add_mousemove
0x00413d8a:0x00413e14, WM_modal_tweak_exit
0x00413e14:0x0041406b, convert_key
0x0041406b:0x0041424b, wm_eventemulation
0x0041424b:0x004142f8, update_tablet_data
0x004142f8:0x00414409, attach_ndof_data
0x00414409:0x00414656, wm_event_cursor_other_windows
0x00414656:0x00414774, wm_event_is_double_click
0x00414774:0x00414808, wm_event_add_mousemove
0x00414808:0x004155ac, wm_event_add_ghostevent
0x004155ac:0x004155de, WM_set_locked_interface
0x004155de:0x004156ae, WM_event_ndof_pan_get
0x004156ae:0x00415767, WM_event_ndof_rotate_get
0x00415767:0x00415856, WM_event_ndof_to_axis_angle
0x00415856:0x004158c4, WM_event_ndof_to_quat
0x004158c4:0x00415986, WM_event_tablet_data
0x00415986:0x0041599e, WM_event_is_tablet
0x0041599e:0x004159b5, BLI_listbase_is_empty_2
0x004159b5:0x004159db, BLI_listbase_clear
0x004159db:0x00415b09, wm_window_match_init
0x00415b09:0x00415bef, wm_window_substitute_old
0x00415bef:0x00415f3f, wm_window_match_do
0x00415f3f:0x0041600a, wm_init_userdef
0x0041600a:0x0041610a, wm_read_exotic
0x0041610a:0x004161a2, WM_file_autoexec_init
0x004161a2:0x00416514, WM_file_read
0x00416514:0x0041698b, wm_homefile_read
0x0041698b:0x004169ac, wm_history_read_exec
0x004169ac:0x00416b6f, wm_homefile_read_exec
0x00416b6f:0x00416ce6, wm_read_history
0x00416ce6:0x00416f5d, write_history
0x00416f5d:0x004172c0, blend_file_thumb
0x004172c0:0x004173a5, write_crash_blend
0x004173a5:0x00417798, wm_file_write
0x00417798:0x00417937, wm_homefile_write_exec
0x00417937:0x00417a1f, wm_userpref_write_exec
0x00417a1f:0x00417a98, wm_autosave_location
0x00417a98:0x00417afe, WM_autosave_init
0x00417afe:0x00417cf2, wm_autosave_timer
0x00417cf2:0x00417d3c, wm_autosave_timer_ended
0x00417d3c:0x00417df3, wm_autosave_delete
0x00417df3:0x00417e61, wm_autosave_read
0x00417e61:0x00417eef, wm_open_init_load_ui
0x00417eef:0x00417f7d, wm_open_init_use_scripts
0x00417f7d:0x00417f98, BLI_rcti_size_x
0x00417f98:0x00417fb4, BLI_rcti_size_y
0x00417fb4:0x00417fe5, iroundf
0x00417fe5:0x004181e1, WM_gesture_new
0x004181e1:0x00418283, WM_gesture_end
0x00418283:0x004182ce, WM_gestures_remove
0x004182ce:0x004183fe, wm_gesture_evaluate
0x004183fe:0x00418420, wm_gesture_draw_rect
0x00418569:0x0041858b, wm_gesture_draw_line
0x00418622:0x00418662, wm_gesture_draw_circle
0x004187a5:0x00418810, draw_filled_lasso_px_cb
0x00418810:0x00418a4e, draw_filled_lasso
0x00418a4e:0x00418a92, wm_gesture_draw_lasso
0x00418b9b:0x00418bdf, wm_gesture_draw_cross
0x00418ce6:0x00418e0d, wm_gesture_draw
0x00418e0d:0x00418e73, wm_gesture_tag_redraw
0x00418e73:0x00418ea3, wm_init_reports
0x00418ea3:0x00418ece, wm_free_reports
0x00418ece:0x00419082, WM_init
0x00419082:0x00419118, WM_init_splash
0x00419118:0x00419498, WM_init_game
0x00419498:0x004194e0, free_openrecent
0x004194e0:0x0041984c, WM_exit_ext
0x0041984c:0x00419889, WM_exit
0x00419889:0x004198cd, WM_job_main_thread_lock_acquire
0x004198cd:0x004198fe, WM_job_main_thread_lock_release
0x004198fe:0x00419949, wm_job_main_thread_yield
0x00419949:0x00419a33, wm_job_find
0x00419a33:0x00419b20, WM_jobs_get
0x00419b20:0x00419b9c, WM_jobs_test
0x00419b9c:0x00419bf0, WM_jobs_progress
0x00419bf0:0x00419c34, WM_jobs_name
0x00419c34:0x00419c7c, WM_jobs_customdata
0x00419c7c:0x00419cbf, WM_jobs_customdata_from_type
0x00419cbf:0x00419cd1, WM_jobs_is_running
0x00419cd1:0x00419cfd, WM_jobs_customdata_get
0x00419cfd:0x00419d65, WM_jobs_customdata_set
0x00419d65:0x00419d9d, WM_jobs_timer
0x00419d9d:0x00419de8, WM_jobs_callbacks
0x00419de8:0x00419e3d, do_job_thread
0x00419e3d:0x00419f2b, wm_jobs_test_suspend_stop
0x00419f2b:0x0041a0db, WM_jobs_start
0x0041a0db:0x0041a13e, wm_job_free
0x0041a13e:0x0041a23c, wm_jobs_kill_job
0x0041a23c:0x0041a276, WM_jobs_kill_all
0x0041a276:0x0041a2d5, WM_jobs_kill_all_except
0x0041a2d5:0x0041a34c, WM_jobs_kill_type
0x0041a34c:0x0041a3b5, WM_jobs_stop
0x0041a3b5:0x0041a433, WM_jobs_kill
0x0041a433:0x0041a48b, wm_jobs_timer_ended
0x0041a48b:0x0041a85b, wm_jobs_timer
0x0041a85b:0x0041a8a1, WM_jobs_has_running
0x0041a8a1:0x0041a8c7, BLI_listbase_clear_0
0x0041a8c7:0x0041a9a0, wm_keymap_item_copy
0x0041a9a0:0x0041a9e9, wm_keymap_item_free
0x0041a9e9:0x0041aa35, wm_keymap_item_properties_set
0x0041aa35:0x0041ab1d, wm_keymap_item_properties_update_ot
0x0041ab1d:0x0041abd8, wm_keyconfig_properties_update_ot
0x0041abd8:0x0041ac87, wm_keymap_item_equals_result
0x0041ac87:0x0041ada4, wm_keymap_item_equals
0x0041ada4:0x0041ae18, WM_keymap_properties_reset
0x0041ae18:0x0041af33, WM_keymap_map_type_get
0x0041af33:0x0041afc4, wm_keymap_diff_item_copy
0x0041afc4:0x0041b035, wm_keymap_diff_item_free
0x0041b035:0x0041b098, WM_keyconfig_new
0x0041b098:0x0041b0de, WM_keyconfig_new_user
0x0041b0de:0x0041b18f, WM_keyconfig_remove
0x0041b18f:0x0041b1ec, WM_keyconfig_free
0x0041b1ec:0x0041b232, WM_keyconfig_active
0x0041b232:0x0041b282, WM_keyconfig_set_active
0x0041b282:0x0041b2e7, wm_keymap_new
0x0041b2e7:0x0041b3e6, wm_keymap_copy
0x0041b3e6:0x0041b46d, WM_keymap_free
0x0041b46d:0x0041b4e0, WM_keymap_remove
0x0041b4e0:0x0041b650, keymap_event_set
0x0041b650:0x0041b6b0, keymap_item_set_id
0x0041b6b0:0x0041b7af, WM_keymap_verify_item
0x0041b7af:0x0041b873, WM_keymap_add_item
0x0041b873:0x0041b8da, WM_keymap_add_menu
0x0041b8da:0x0041b941, WM_keymap_add_menu_pie
0x0041b941:0x0041b9dd, WM_keymap_remove_item
0x0041b9dd:0x0041ba4a, wm_keymap_addon_add
0x0041ba4a:0x0041ba9e, wm_keymap_find_item_equals
0x0041ba9e:0x0041baf2, wm_keymap_find_item_equals_result
0x0041baf2:0x0041bd26, wm_keymap_diff
0x0041bd26:0x0041beff, wm_keymap_patch
0x0041beff:0x0041c109, wm_keymap_patch_update
0x0041c109:0x0041c28e, wm_keymap_diff_update
0x0041c28e:0x0041c30c, WM_keymap_list_find
0x0041c30c:0x0041c393, WM_keymap_find
0x0041c393:0x0041c3df, WM_keymap_find_all
0x0041c3df:0x0041c4c0, WM_modalkeymap_add
0x0041c4c0:0x0041c52c, WM_modalkeymap_get
0x0041c52c:0x0041c5d7, WM_modalkeymap_add_item
0x0041c5d7:0x0041c68e, WM_modalkeymap_add_item_str
0x0041c68e:0x0041c6e7, WM_modalkeymap_find_propvalue
0x0041c6e7:0x0041c73d, WM_modalkeymap_assign
0x0041c73d:0x0041c889, wm_user_modal_keymap_set_items
0x0041c889:0x0041c8e7, WM_key_event_string
0x0041c8e7:0x0041cb1c, WM_keymap_item_to_string
0x0041cb1c:0x0041cde0, wm_keymap_item_find_handlers
0x0041cde0:0x0041d0ad, wm_keymap_item_find_props
0x0041d0ad:0x0041d259, wm_keymap_item_find
0x0041d259:0x0041d2d6, WM_key_event_operator_string
0x0041d2d6:0x0041d346, WM_key_event_operator_id
0x0041d346:0x0041d61a, WM_keymap_item_compare
0x0041d61a:0x0041d677, WM_keyconfig_update_tag
0x0041d677:0x0041d68e, WM_keyconfig_update_operatortype
0x0041d68e:0x0041d726, wm_keymap_test_and_clear_update
0x0041d726:0x0041d7d2, wm_keymap_preset
0x0041d7d2:0x0041dc2c, WM_keyconfig_update
0x0041dc2c:0x0041dc98, WM_keymap_active
0x0041dc98:0x0041df3b, WM_keymap_restore_item_to_default
0x0041df3b:0x0041dfcb, WM_keymap_restore_to_default
0x0041dfcb:0x0041e014, WM_keymap_item_find_id
0x0041e014:0x0041edbd, WM_keymap_guess_opname
0x0041edbd:0x0041edda, WM_bool_as_string
0x0041edda:0x0041ee00, BLI_listbase_clear_1
0x0041ee00:0x0041ee16, min_ii
0x0041ee16:0x0041ee2c, max_ii
0x0041ee2c:0x0041ee7b, len_v2
0x0041ee7b:0x0041ee91, BLI_ghashIterator_getValue_0
0x0041ee91:0x0041eea9, BLI_ghashIterator_done_0
0x0041eea9:0x0041ef39, WM_operatortype_find
0x0041ef39:0x0041ef5e, WM_operatortype_iter
0x0041ef5e:0x0041f06c, WM_operatortype_append
0x0041f06c:0x0041f14d, WM_operatortype_append_ptr
0x0041f14d:0x0041f187, wm_macro_start
0x0041f187:0x0041f1fd, wm_macro_end
0x0041f1fd:0x0041f2d5, wm_macro_exec
0x0041f2d5:0x0041f3c6, wm_macro_invoke_internal
0x0041f3c6:0x0041f407, wm_macro_invoke
0x0041f407:0x0041f699, wm_macro_modal
0x0041f699:0x0041f70f, wm_macro_cancel
0x0041f70f:0x0041f8c3, WM_operatortype_append_macro
0x0041f8c3:0x0041f9f2, WM_operatortype_append_macro_ptr
0x0041f9f2:0x0041fad4, WM_operatortype_macro_define
0x0041fad4:0x0041fb44, wm_operatortype_free_macro
0x0041fb44:0x0041fbe8, WM_operatortype_remove_ptr
0x0041fbe8:0x0041fc2a, WM_operatortype_remove
0x0041fc2a:0x0041fccf, WM_operatortype_last_properties_clear_all
0x0041fccf:0x0041fd95, WM_operator_py_idname
0x0041fd95:0x0041fe6b, WM_operator_bl_idname
0x0041fe6b:0x00420180, WM_operator_pystring_ex
0x00420180:0x004201c8, WM_operator_pystring
0x004201c8:0x00420313, WM_operator_pystring_abbreviate
0x00420313:0x0042080a, wm_prop_pystring_from_context
0x0042080a:0x004208ff, WM_prop_pystring_assign
0x004208ff:0x00420933, WM_operator_properties_create_ptr
0x00420933:0x00420992, WM_operator_properties_create
0x00420992:0x00420a59, WM_operator_properties_alloc
0x00420a59:0x00420bc8, WM_operator_properties_sanitize
0x00420bc8:0x00420d57, WM_operator_properties_default
0x00420d57:0x00420e91, WM_operator_properties_reset
0x00420e91:0x00420ebf, WM_operator_properties_clear
0x00420ebf:0x00420f09, WM_operator_properties_free
0x00420f09:0x0042110b, WM_operator_view3d_unit_defaults
0x0042110b:0x00421137, WM_operator_smooth_viewtx_get
0x00421137:0x004212d0, WM_menu_invoke
0x004212d0:0x004214d5, wm_enum_search_menu
0x004214d5:0x00421505, WM_enum_search_invoke
0x00421505:0x00421619, WM_operator_confirm_message_ex
0x00421619:0x00421650, WM_operator_confirm_message
0x00421650:0x0042167e, WM_operator_confirm
0x0042167e:0x004216da, WM_operator_filesel
0x004216da:0x004217a8, WM_operator_filesel_ensure_ext_imtype
0x004217a8:0x00421c51, WM_operator_properties_filesel
0x00421c51:0x00421c8f, wm_operator_properties_select_action_ex
0x00421c8f:0x00421cb7, WM_operator_properties_select_action
0x00421cb7:0x00421cdf, WM_operator_properties_select_action_simple
0x00421cdf:0x00421cff, WM_operator_properties_select_all
0x00421cff:0x00421e6a, WM_operator_properties_border
0x00421e6a:0x00421ef4, WM_operator_properties_border_to_rcti
0x00421ef4:0x00421f50, WM_operator_properties_border_to_rctf
0x00421f50:0x00421fdd, WM_operator_properties_gesture_border
0x00421fdd:0x0042209a, WM_operator_properties_mouse_select
0x0042209a:0x00422260, WM_operator_properties_gesture_straightline
0x00422260:0x0042228b, WM_operator_winactive
0x0042228b:0x004222fc, WM_operator_check_ui_enabled
0x004222fc:0x00422373, WM_operator_last_redo
0x00422373:0x004223f1, wm_block_redo_cb
0x004223f1:0x0042242a, wm_block_redo_cancel_cb
0x0042242a:0x004225e3, wm_block_create_redo
0x004225e3:0x00422648, dialog_exec_cb
0x00422648:0x004226bb, dialog_check_cb
0x004226bb:0x0042289f, wm_block_dialog_create
0x0042289f:0x00422999, wm_operator_ui_create
0x00422999:0x00422a1a, wm_operator_ui_popup_cancel
0x00422a1a:0x00422a78, wm_operator_ui_popup_ok
0x00422a78:0x00422af8, WM_operator_ui_popup
0x00422af8:0x00422c3f, wm_operator_props_popup_ex
0x00422c3f:0x00422c6f, WM_operator_props_popup_confirm
0x00422c6f:0x00422c9f, WM_operator_props_popup_call
0x00422c9f:0x00422ccf, WM_operator_props_popup
0x00422ccf:0x00422d4f, WM_operator_props_dialog_popup
0x00422d4f:0x00422e34, WM_operator_redo_popup
0x00422e34:0x00422ea9, wm_debug_menu_exec
0x00422ea9:0x00422f09, wm_debug_menu_invoke
0x00422f09:0x00422fa1, WM_OT_debug_menu
0x00422fa1:0x0042302b, wm_operator_defaults_exec
0x0042302b:0x00423072, WM_OT_operator_defaults
0x00423072:0x0042309c, wm_block_splash_close
0x0042309c:0x004230af, wm_block_splash_refreshmenu
0x004230af:0x004230fc, wm_resource_check_prev
0x004230fc:0x004238a1, wm_block_create_splash
0x004238a1:0x004238d2, wm_splash_invoke
0x004238d2:0x00423918, WM_OT_splash
0x00423918:0x00423b07, wm_block_search_menu
0x00423b07:0x00423b1a, wm_search_menu_exec
0x00423b1a:0x00423b4a, wm_search_menu_invoke
0x00423b4a:0x00423be1, wm_search_menu_poll
0x00423be1:0x00423c33, WM_OT_search_menu
0x00423c33:0x00423c9c, wm_call_menu_exec
0x00423c9c:0x00423d1e, WM_OT_call_menu
0x00423d1e:0x00423d87, wm_call_pie_menu_invoke
0x00423d87:0x00423dfb, wm_call_pie_menu_exec
0x00423dfb:0x00423e89, WM_OT_call_menu_pie
0x00423e89:0x00423edb, wm_operator_winactive_normal
0x00423edb:0x00423f21, WM_OT_window_duplicate
0x00423f21:0x00423f67, WM_OT_save_homefile
0x00423f67:0x00423fa6, wm_userpref_autoexec_add_exec
0x00423fa6:0x00423fed, WM_OT_userpref_autoexec_path_add
0x00423fed:0x00424047, wm_userpref_autoexec_remove_exec
0x00424047:0x004240d1, WM_OT_userpref_autoexec_path_remove
0x004240d1:0x00424117, WM_OT_save_userpref
0x00424117:0x0042416a, WM_OT_read_history
0x0042416a:0x0042422e, WM_OT_read_homefile
0x0042422e:0x00424274, WM_OT_read_factory_settings
0x00424274:0x004242d5, wm_file_read_opwrap
0x004242d5:0x004243b1, wm_open_mainfile_invoke
0x004243b1:0x00424515, wm_open_mainfile_exec
0x00424515:0x00424644, wm_open_mainfile_check
0x00424644:0x00424732, wm_open_mainfile_ui
0x00424732:0x00424805, WM_OT_open_mainfile
0x00424805:0x004248a8, wm_revert_mainfile_exec
0x004248a8:0x004248bc, wm_revert_mainfile_poll
0x004248bc:0x00424937, WM_OT_revert_mainfile
0x00424937:0x00424979, wm_link_append_poll
0x00424979:0x00424a9b, wm_link_append_invoke
0x00424a9b:0x00424b64, wm_link_append_flag
0x00424b64:0x004250e3, wm_link_append_exec
0x004250e3:0x004251dd, wm_link_append_properties_common
0x004251dd:0x00425286, WM_OT_link
0x00425286:0x0042532f, WM_OT_append
0x0042532f:0x00425416, WM_recover_last_session
0x00425416:0x00425444, wm_recover_last_session_exec
0x00425444:0x0042548a, WM_OT_recover_last_session
0x0042548a:0x0042554a, wm_recover_auto_save_exec
0x0042554a:0x004255db, wm_recover_auto_save_invoke
0x004255db:0x0042564c, WM_OT_recover_auto_save
0x0042564c:0x0042567c, wm_filepath_default
0x0042567c:0x004256f3, save_set_compress
0x004256f3:0x00425802, wm_save_as_mainfile_invoke
0x00425802:0x00425a17, wm_save_as_mainfile_exec
0x00425a17:0x00425acb, blend_save_check
0x00425acb:0x00425bf1, WM_OT_save_as_mainfile
0x00425bf1:0x00425e16, wm_save_mainfile_invoke
0x00425e16:0x00425edd, WM_OT_save_mainfile
0x00425edd:0x00425f23, WM_OT_window_fullscreen_toggle
0x00425f23:0x00425f4b, wm_exit_blender_exec
0x00425f52:0x00425f98, WM_OT_quit_blender
0x00425f98:0x0042600b, WM_paint_cursor_activate
0x0042600b:0x00426076, WM_paint_cursor_end
0x00426076:0x00426184, border_apply_rect
0x00426184:0x00426206, border_apply
0x00426206:0x00426286, wm_gesture_end
0x00426286:0x00426324, WM_border_select_invoke
0x00426324:0x00426533, WM_border_select_modal
0x00426533:0x00426559, WM_border_select_cancel
