0x00402170:0x0040219a, _start
0x00413830:0x004138ec, bitmap_single_bit_set_p
0x004138f0:0x00413aeb, bitmap_first_set_bit
0x00413af0:0x00413d36, bitmap_last_set_bit
0x00413d40:0x00413fd4, bitmap_and
0x00413fe0:0x00414104, bitmap_elt_insert_after
0x00414110:0x00414335, bitmap_and_into
0x00414340:0x00414787, bitmap_and_compl
0x00414790:0x0041489a, bitmap_elt_copy
0x004148a0:0x00414b0b, bitmap_and_compl_into
0x00414b10:0x00414da6, bitmap_set_range
0x00414db0:0x004150c9, bitmap_clear_range
0x004150d0:0x004153d9, bitmap_compl_and_into
0x004153e0:0x0041563a, bitmap_ior
0x00415640:0x00415895, bitmap_elt_ior
0x004158a0:0x00415a3f, bitmap_ior_into
0x00415a40:0x00415d66, bitmap_xor
0x00415d70:0x00415f90, bitmap_xor_into
0x00415f90:0x00416099, bitmap_equal_p
0x004160a0:0x004161b0, bitmap_intersect_p
0x004161b0:0x004162ce, bitmap_intersect_compl_p
0x004162d0:0x004167e6, bitmap_ior_and_compl
0x004167f0:0x00416854, bitmap_ior_and_compl_into
0x00416860:0x00416b83, bitmap_ior_and_into
0x00416b90:0x00416d2e, debug_bitmap_file
0x00416d30:0x00416d53, debug_bitmap
0x00416d60:0x00416e13, bitmap_print
0x00416e20:0x00416f43, bmp_iter_set_init
0x00416f50:0x00417099, bmp_iter_set
0x004170a0:0x004170c9, bmp_iter_next
0x004170d0:0x004170d6, dump_bitmap_statistics
0x004170e0:0x0041716a, bitmap_hash
0x00417170:0x004171db, bitmap_elem_to_freelist
0x004171e0:0x004171f2, gate_handle_branch_target_load_optimize1
0x00417200:0x00417219, rest_of_handle_branch_target_load_optimize1
0x00417220:0x00417256, gate_handle_branch_target_load_optimize2
0x00417260:0x004172cc, rest_of_handle_branch_target_load_optimize2
0x004172d0:0x00417387, branch_target_load_optimize
0x00417390:0x004177ae, migrate_btr_defs
0x004177b0:0x004177f5, VEC_basic_block_base_index
0x00417800:0x0041799d, build_btr_def_use_webs
0x004179a0:0x00417eb0, migrate_btr_def
0x00417eb0:0x00418933, compute_defs_uses_and_gen
0x00418940:0x00418a65, compute_kill
0x00418a70:0x00418b8e, compute_out
0x00418b90:0x0041912e, link_btr_uses
0x00419130:0x0041933e, insn_sets_btr_p
0x00419340:0x004195df, add_btr_def
0x004195e0:0x00419685, SET_BIT
0x00419690:0x004196fa, note_other_use_this_block
0x00419700:0x0041973b, btr_referenced_p
0x00419740:0x00419a09, new_btr_user
0x00419a10:0x00419a21, rhs_regno_0
0x00419a30:0x00419b5d, note_btr_set
0x00419b60:0x00419bc1, dump_btrs_live
0x00419bd0:0x00419be1, basic_block_freq
0x00419bf0:0x00419f03, find_btr_def_group
0x00419f10:0x00419fd1, find_btr_reference
0x00419fe0:0x0041a08e, overlaps_hard_reg_set_p
0x0041a090:0x0041a0c1, end_hard_regno
0x0041a0d0:0x0041a11a, find_btr_use
0x0041a120:0x0041a1a0, dump_hard_reg_set
0x0041a1a0:0x0041a237, sbitmap_iter_init
0x0041a240:0x0041a30b, sbitmap_iter_cond
0x0041a310:0x0041a337, sbitmap_iter_next
0x0041a340:0x0041a5b0, btr_def_live_range
0x0041a5b0:0x0041a671, can_move_up
0x0041a680:0x0041a6aa, ei_start_1_0
0x0041a6b0:0x0041a70c, ei_cond_0
0x0041a710:0x0041a7b5, ei_next_0
0x0041a7c0:0x0041abfc, augment_live_range
0x0041ac00:0x0041acd1, choose_btr
0x0041ace0:0x0041b1c8, move_btr_def
0x0041b1d0:0x0041b2f3, bmp_iter_set_init_0
0x0041b300:0x0041b449, bmp_iter_set_0
0x0041b450:0x0041b479, bmp_iter_next_0
0x0041b480:0x0041b4f4, ei_end_p_0
0x0041b500:0x0041b55c, ei_edge_0
0x0041b560:0x0041b590, VEC_edge_base_length_0
0x0041b590:0x0041b5df, ei_container_0
0x0041b5e0:0x0041b625, VEC_edge_base_index_0
0x0041b630:0x0041b65e, hard_reg_set_subset_p
0x0041b660:0x0041b7b1, clear_btr_from_live_range
0x0041b7c0:0x0041baec, combine_btr_defs
0x0041baf0:0x0041bc06, add_btr_to_live_range
0x0041bc10:0x0041bd50, block_at_edge_of_live_range_p
0x0041bd50:0x0041bd56, finish_file
0x0041bd60:0x0041bf23, pedwarn_c99
0x0041bf30:0x0041c0f3, pedwarn_c90
0x0041c100:0x0041c20d, init_c_lex
0x0041c210:0x0041c2dd, get_fileinfo
0x0041c2e0:0x0041c319, cb_line_change
0x0041c320:0x0041c3dc, cb_ident
0x0041c3e0:0x0041c4ce, cb_def_pragma
0x0041c4d0:0x0041c547, cb_define
0x0041c550:0x0041c5b2, cb_undef
0x0041c5c0:0x0041c6c7, dump_time_statistics
0x0041c6d0:0x0041c6ff, dump_one_header
0x0041c700:0x0041c820, fe_file_change
0x0041c820:0x0041c88b, update_header_times
0x0041c890:0x0041cd11, c_lex_with_flags
0x0041cd20:0x0041d04b, interpret_integer
0x0041d050:0x0041dc7e, interpret_float
0x0041dc80:0x0041e27f, lex_string
0x0041e280:0x0041e3af, lex_charconst
0x0041e3b0:0x0041e489, narrowest_unsigned_type
0x0041e490:0x0041e569, narrowest_signed_type
0x0041e570:0x0041e95b, interpret_fixed
0x0041e960:0x0041ea72, maybe_apply_pragma_weak
0x0041ea80:0x0041eb8a, apply_pragma_weak
0x0041eb90:0x0041ec97, maybe_apply_pending_pragma_weaks
0x0041eca0:0x0041ed23, add_to_renaming_pragma_list
0x0041ed30:0x0041f0ce, maybe_apply_renaming_pragma
0x0041f0d0:0x0041f1f2, push_visibility
0x0041f200:0x0041f262, VEC_int_heap_safe_push
0x0041f270:0x0041f3c4, pop_visibility
0x0041f3d0:0x0041f400, VEC_int_base_length
0x0041f400:0x0041f446, VEC_int_base_last
0x0041f450:0x0041f477, VEC_int_base_pop
0x0041f480:0x0041f496, mark_valid_location_for_stdc_pragma
0x0041f4a0:0x0041f4ae, valid_location_for_stdc_pragma_p
0x0041f4b0:0x0041f65b, c_pp_lookup_pragma
0x0041f660:0x0041f690, VEC_pragma_ns_name_base_length
0x0041f690:0x0041f6db, VEC_pragma_ns_name_base_index
0x0041f6e0:0x0041f70d, c_register_pragma
0x0041f710:0x0041f86b, c_register_pragma_1
0x0041f870:0x0041f8a0, c_register_pragma_with_expansion
0x0041f8a0:0x0041f90b, c_invoke_pragma_handler
0x0041f910:0x0041f95b, VEC_pragma_handler_base_index
0x0041f960:0x0041fbed, init_pragma
0x0041fbf0:0x0042010c, handle_pragma_pack
0x00420110:0x0042025b, handle_pragma_weak
0x00420260:0x00420447, handle_pragma_visibility
0x00420450:0x004206a9, handle_pragma_diagnostic
0x004206b0:0x00420847, handle_pragma_target
0x00420850:0x00420a43, handle_pragma_optimize
0x00420a50:0x00420b10, handle_pragma_push_options
0x00420b10:0x00420c67, handle_pragma_pop_options
0x00420c70:0x00420d73, handle_pragma_reset_options
0x00420d80:0x00420edc, handle_pragma_float_const_decimal64
0x00420ee0:0x004210db, handle_pragma_redefine_extname
0x004210e0:0x004211f3, handle_pragma_extern_prefix
0x00421200:0x00421381, handle_pragma_message
0x00421390:0x004214ae, gt_ggc_mx_opt_stack
0x004214b0:0x00421555, gt_ggc_mx_align_stack
0x00421560:0x00421672, gt_pch_nx_opt_stack
0x00421680:0x00421751, gt_pch_p_9opt_stack
0x00421760:0x004217f9, gt_pch_nx_align_stack
0x00421800:0x0042186c, gt_pch_p_11align_stack
0x00421870:0x00421907, VEC_int_heap_reserve
0x00421910:0x0042194e, VEC_int_base_quick_push
0x00421950:0x0042199d, VEC_int_base_space
0x004219a0:0x00421a04, VEC_pragma_ns_name_heap_safe_push
0x00421a10:0x00421a74, VEC_pragma_handler_heap_safe_push
0x00421a80:0x00421ab0, VEC_pragma_handler_base_length
0x00421ab0:0x00421b47, VEC_pragma_ns_name_heap_reserve
0x00421b50:0x00421ba7, VEC_pragma_ns_name_base_quick_push
0x00421bb0:0x00421bfd, VEC_pragma_ns_name_base_space
0x00421c00:0x00421c91, VEC_pragma_handler_heap_reserve
0x00421ca0:0x00421cef, VEC_pragma_handler_base_quick_push
0x00421cf0:0x00421d3d, VEC_pragma_handler_base_space
0x00421d40:0x00421dc0, push_alignment
0x00421dc0:0x00421ed9, pop_alignment
0x00421ee0:0x00422055, handle_stdc_pragma
0x00422060:0x004221b1, add_stmt
0x004221c0:0x004221d0, current_stmt_tree
0x004221d0:0x00422373, c_print_identifier
0x00422380:0x00422456, c_finish_incomplete_decl
0x00422460:0x004224d7, record_inline_static
0x004224e0:0x004224ee, objc_get_current_scope
0x004224f0:0x004225ab, objc_mark_locals_volatile
0x004225b0:0x004225f4, global_bindings_p
0x00422600:0x0042260e, keep_next_level
0x00422610:0x0042263d, set_float_const_decimal64
0x00422640:0x00422660, clear_float_const_decimal64
0x00422660:0x00422681, float_const_decimal64_p
0x00422690:0x004226b4, declare_parm_level
0x004226c0:0x004229bf, push_scope
0x004229c0:0x004233eb, pop_scope
0x004233f0:0x004235ae, update_label_decls
0x004235b0:0x004235f8, set_type_context
0x00423600:0x00423650, free_binding_and_advance
0x00423650:0x004236dd, push_file_scope
0x004236e0:0x00423984, bind
0x00423990:0x00423a04, pop_file_scope
0x00423a10:0x00423b26, check_inline_statics
0x00423b30:0x00423c77, c_bindings_start_stmt_expr
0x00423c80:0x00423ce1, VEC_c_goto_bindings_p_base_iterate
0x00423cf0:0x00423eb4, c_bindings_end_stmt_expr
0x00423ec0:0x00424906, pushdecl
0x00424910:0x00424991, duplicate_decls
0x004249a0:0x00424bc7, warn_if_shadowing
0x00424bd0:0x00424d0e, pushdecl_top_level
0x00424d10:0x0042507c, implicitly_declare
0x00425080:0x0042511e, implicit_decl_warning
0x00425120:0x004251fb, locate_old_decl
0x00425200:0x004252e2, undeclared_variable
0x004252f0:0x00425410, lookup_label
0x00425410:0x004254d5, make_label
0x004254e0:0x0042559b, bind_label
0x004255a0:0x00425768, lookup_label_for_goto
0x00425770:0x004257dc, set_spot_bindings
0x004257e0:0x00425844, VEC_c_goto_bindings_p_gc_safe_push
0x00425850:0x004258b1, VEC_tree_base_iterate_0
0x004258c0:0x00425962, warn_about_goto
0x00425970:0x00425a55, declare_label
0x00425a60:0x00425c40, define_label
0x00425c40:0x00425e8c, check_earlier_gotos
0x00425e90:0x00425ee4, lookup_name
0x00425ef0:0x00425f20, c_get_switch_bindings
0x00425f20:0x00425f82, c_release_switch_bindings
0x00425f90:0x0042611f, c_check_switch_jump_warnings
0x00426120:0x00426219, decl_jump_unsafe
0x00426220:0x00426261, pending_xref_error
0x00426270:0x0042638d, c_init_decl_processing
0x00426390:0x00426542, c_make_fname_decl
0x00426550:0x0042667b, c_builtin_function
0x00426680:0x004267a8, c_builtin_function_ext_scope
0x004267b0:0x004267cd, shadow_tag
0x004267d0:0x00426d8f, shadow_tag_warned
0x00426d90:0x00426f00, lookup_tag
0x00426f00:0x004270c3, pushtag
0x004270d0:0x004272f6, quals_from_declspecs
0x00427300:0x00427605, build_array_declarator
0x00427610:0x0042762e, set_array_declarator_inner
0x00427630:0x004276cb, groktypename
0x004276d0:0x0042ab70, grokdeclarator
0x0042ab70:0x0042b33a, start_decl
0x0042b340:0x0042c154, finish_decl
0x0042c160:0x0042c2ad, add_flexible_array_elts_to_size
0x0042c2b0:0x0042c2d0, VEC_tree_gc_alloc
0x0042c2d0:0x0042c311, VEC_tree_base_quick_push
0x0042c320:0x0042c35a, VEC_tree_gc_free
0x0042c360:0x0042c3d9, grokparm
0x0042c3e0:0x0042c485, push_parm_decl
0x0042c490:0x0042c572, mark_forward_parm_decls
0x0042c580:0x0042c8d5, build_compound_literal
0x0042c8e0:0x0042c93b, check_compound_literal_type
0x0042c940:0x0042d0c3, get_parm_info
0x0042d0d0:0x0042d401, parser_xref_tag
0x0042d410:0x0042d443, xref_tag
0x0042d450:0x0042d729, start_struct
0x0042d730:0x0042d750, VEC_tree_heap_alloc
0x0042d750:0x0042d770, VEC_c_binding_ptr_heap_alloc
0x0042d770:0x0042da29, grokfield
0x0042da30:0x0042da94, VEC_c_binding_ptr_heap_safe_push
0x0042daa0:0x0042e769, finish_struct
0x0042e770:0x0042e8bf, flexible_array_type_p
0x0042e8c0:0x0042eab8, detect_field_duplicates
0x0042eac0:0x0042eb05, layout_array_type
0x0042eb10:0x0042ed60, warn_cxx_compat_finish_struct
0x0042ed60:0x0042ed9a, VEC_tree_heap_free
0x0042eda0:0x0042edda, VEC_c_binding_ptr_heap_free
0x0042ede0:0x0042ee44, VEC_tree_heap_safe_push
0x0042ee50:0x0042f069, start_enum
0x0042f070:0x0042f684, finish_enum
0x0042f690:0x0042fad9, build_enumerator
0x0042fae0:0x00430524, start_function
0x00430530:0x004305ad, lookup_name_in_scope
0x004305b0:0x004305d3, store_parm_decls_from
0x004305e0:0x004306e7, store_parm_decls
0x004306f0:0x00430962, store_parm_decls_newstyle
0x00430970:0x00431302, store_parm_decls_oldstyle
0x00431310:0x0043174e, finish_function
0x00431750:0x00431975, check_for_loop_decls
0x00431980:0x00431a46, c_push_function_context
0x00431a50:0x00431b69, c_pop_function_context
0x00431b70:0x00431bf0, identifier_global_value
0x00431bf0:0x00431c8c, record_builtin_type
0x00431c90:0x00431cb7, build_void_list_node
0x00431cc0:0x00431e45, build_c_parm
0x00431e50:0x00431fd0, build_attrs_declarator
0x00431fd0:0x00432150, build_function_declarator
0x00432150:0x004322da, build_id_declarator
0x004322e0:0x004324b1, make_pointer_declarator
0x004324c0:0x0043279e, build_null_declspecs
0x004327a0:0x0043283e, declspecs_add_addrspace
0x00432840:0x00432a1d, declspecs_add_qual
0x00432a20:0x0043444d, declspecs_add_type
0x00434450:0x004347a8, declspecs_add_scspec
0x004347b0:0x004347f3, declspecs_add_attrs
0x00434800:0x00435b31, finish_declspecs
0x00435b40:0x00435d41, c_write_global_declarations
0x00435d50:0x00435ebf, c_write_global_declarations_1
0x00435ec0:0x00435f0b, c_write_global_declarations_2
0x00435f10:0x00436037, gt_ggc_mx_c_inline_static
0x00436040:0x004391c3, gt_ggc_mx_lang_tree_node
0x004391d0:0x0043928e, gt_ggc_mx_VEC_c_goto_bindings_p_gc
0x00439290:0x00439335, gt_ggc_mx_c_goto_bindings
0x00439340:0x004394b5, gt_ggc_mx_c_scope
0x004394c0:0x004396a6, gt_ggc_mx_c_binding
0x004396b0:0x004397ce, gt_ggc_mx_c_label_vars
0x004397d0:0x0043989c, gt_ggc_mx_language_function
0x004398a0:0x004398f3, gt_ggc_mx_lang_decl
0x00439900:0x004399f5, gt_ggc_mx_lang_type
0x00439a00:0x00439a61, tree_operand_length
0x00439a70:0x00439b6a, gt_pch_nx_c_inline_static
0x00439b70:0x00439bff, gt_pch_p_15c_inline_static
0x00439c00:0x0043cd4a, gt_pch_nx_lang_tree_node
0x0043cd50:0x0043ce02, gt_pch_nx_VEC_c_goto_bindings_p_gc
0x0043ce10:0x0043ce9c, gt_pch_p_24VEC_c_goto_bindings_p_gc
0x0043cea0:0x0043cf39, gt_pch_nx_c_goto_bindings
0x0043cf40:0x0043cfb0, gt_pch_p_15c_goto_bindings
0x0043cfb0:0x0043d0f8, gt_pch_nx_c_scope
0x0043d100:0x0043d2b9, gt_pch_nx_c_binding
0x0043d2c0:0x0043d391, gt_pch_p_7c_scope
0x0043d3a0:0x0043d4db, gt_pch_p_9c_binding
0x0043d4e0:0x0043d5f2, gt_pch_nx_c_label_vars
0x0043d600:0x0043d6d5, gt_pch_p_12c_label_vars
0x0043d6e0:0x0043d7a0, gt_pch_nx_language_function
0x0043d7a0:0x0043d82b, gt_pch_p_17language_function
0x0043d830:0x0044024b, gt_pch_p_14lang_tree_node
0x00440250:0x00440297, gt_pch_nx_lang_decl
0x004402a0:0x004403a7, gt_pch_nx_lang_type
0x004403b0:0x004403ce, gt_pch_p_9lang_decl
0x004403d0:0x0044047e, gt_pch_p_9lang_type
0x00440480:0x004404d1, update_spot_bindings
0x004404e0:0x00440544, VEC_tree_gc_safe_push
0x00440550:0x004405d7, VEC_tree_gc_reserve
0x004405e0:0x0044062d, VEC_tree_base_space
0x00440630:0x00441a9a, diagnose_mismatched_decls
0x00441aa0:0x00442fb2, merge_decls
0x00442fc0:0x00443201, match_builtin_function_types
0x00443210:0x00443370, diagnose_arglist_conflict
0x00443370:0x00443521, validate_proto_after_old_defn
0x00443530:0x00443550, VEC_c_goto_bindings_p_gc_alloc
0x00443550:0x004435d7, VEC_c_goto_bindings_p_gc_reserve
0x004435e0:0x00443621, VEC_c_goto_bindings_p_base_quick_push
0x00443630:0x0044367d, VEC_c_goto_bindings_p_base_space
0x00443680:0x004436d7, VEC_c_goto_bindings_p_base_truncate
0x004436e0:0x00443710, VEC_constructor_elt_base_length
0x00443710:0x0044375e, VEC_constructor_elt_base_last
0x00443760:0x0044392d, warn_variable_length_array
0x00443930:0x004439e2, c_variable_size
0x004439f0:0x00443d3c, grokparms
0x00443d40:0x004441c2, check_bitfield_type_and_width
0x004441d0:0x00444257, VEC_c_binding_ptr_heap_reserve
0x00444260:0x004442a1, VEC_c_binding_ptr_base_quick_push
0x004442b0:0x004442fd, VEC_c_binding_ptr_base_space
0x00444300:0x00444330, VEC_tree_base_length
0x00444330:0x00444391, VEC_c_binding_ptr_base_iterate
0x004443a0:0x00444427, VEC_tree_heap_reserve
0x00444430:0x004444bc, require_complete_type
0x004444c0:0x004446a0, c_incomplete_type_error
0x004446a0:0x0044475b, c_type_promotes_to
0x00444760:0x004447aa, c_vla_type_p
0x004447b0:0x004455e6, composite_type
0x004455f0:0x004456f8, qualify_type
0x00445700:0x00445a2a, c_build_qualified_type
0x00445a30:0x00445a72, comptypes
0x00445a80:0x00445ba1, common_type
0x00445bb0:0x0044696f, c_common_type
0x00446970:0x004473b8, comptypes_internal
0x004473c0:0x0044741c, free_all_tagged_tu_seen_up_to
0x00447420:0x00447602, same_translation_unit_p
0x00447610:0x004476f7, decl_constant_value
0x00447700:0x0044792e, default_function_array_conversion
0x00447930:0x00447af6, lvalue_p
0x00447b00:0x00447cbe, array_to_pointer_conversion
0x00447cc0:0x00447e0f, function_to_pointer_conversion
0x00447e10:0x00448094, perform_integral_promotions
0x004480a0:0x00448315, default_conversion
0x00448320:0x0044870a, build_component_ref
0x00448710:0x00448a3e, lookup_field
0x00448a40:0x00448e06, build_indirect_ref
0x00448e10:0x0044948e, build_array_ref
0x00449490:0x004496eb, c_mark_addressable
0x004496f0:0x0044c131, build_binary_op
0x0044c140:0x0044c5f4, build_external_ref
0x0044c600:0x0044c792, record_maybe_used_decl
0x0044c7a0:0x0044c871, pop_maybe_used
0x0044c880:0x0044c9dd, c_expr_sizeof_expr
0x0044c9e0:0x0044cb59, c_expr_sizeof_type
0x0044cb60:0x0044cc0b, build_function_call
0x0044cc10:0x0044cc30, VEC_tree_gc_alloc_0
0x0044cc30:0x0044cc71, VEC_tree_base_quick_push_0
0x0044cc80:0x0044d5aa, build_function_call_vec
0x0044d5b0:0x0044d5ea, VEC_tree_gc_free_0
0x0044d5f0:0x0044d620, VEC_tree_base_length_0
0x0044d620:0x0044d665, VEC_tree_base_index
